
[00:00:00.000 --> 00:00:02.760]  好 今天我們要講另一本書
[00:00:02.760 --> 00:00:07.680]  講之前都是要講一點點的溫習的
[00:00:07.680 --> 00:00:10.520]  我們從頭到尾 其實你看《舊約》的時候
[00:00:10.520 --> 00:00:14.420]  你會發現《舊約》是有一個連貫性在的
[00:00:14.420 --> 00:00:18.380]  有一個原因 為什麼我們一定要看《摩西吾京》
[00:00:18.380 --> 00:00:21.060]  因為《摩西吾京》之後的書信
[00:00:21.060 --> 00:00:25.540]  都是假設你已經知道了《摩西吾京》是發生了什麼事
[00:00:25.540 --> 00:00:30.540]  我們很快的溫習一下《摩西吾京》是講墮落
[00:00:30.540 --> 00:00:34.520]  創造、墮落、救贖三部曲
[00:00:34.520 --> 00:00:38.480]  偶像之家屠生記、出埃及記
[00:00:38.480 --> 00:00:42.160]  聖潔溫王保衛者、利美記
[00:00:42.160 --> 00:00:45.420]  曠野中的大叛逆、文素記
[00:00:45.420 --> 00:00:49.180]  因為他們的叛逆 所以他們在曠野留了40年
[00:00:49.180 --> 00:00:53.420]  一代人全部都是被上帝所審判
[00:00:53.420 --> 00:00:56.360]  新一代進入去 但是新一代進入去的時候
[00:00:56.360 --> 00:01:01.300]  你也不知道他們以後會不會忠心侍主
[00:01:01.300 --> 00:01:05.560]  所以《摩西》在生命紀最後的祝福
[00:01:05.560 --> 00:01:10.620]  它的講道裡面 就是會講心受國禮、心愛主
[00:01:10.620 --> 00:01:15.080]  叫他們心中受到國禮 以致他們一生人可以愛主
[00:01:15.080 --> 00:01:18.500]  當然這些所有都是影子指向主耶穌基督的
[00:01:18.500 --> 00:01:24.080]  在每一本書裡面 我們都會看到耶穌基督的影子
[00:01:24.080 --> 00:01:26.800]  講完這個《摩西吾京》之後
[00:01:26.800 --> 00:01:31.360]  摩西就交了棒 交了棒給約書亞
[00:01:31.360 --> 00:01:34.080]  去到約書亞的時候 就再不在曠野了
[00:01:34.080 --> 00:01:36.420]  他們現在要進入迦南地
[00:01:36.420 --> 00:01:38.180]  約書亞我給了一個題目
[00:01:38.180 --> 00:01:42.000]  約書亞記就是書、劍、恩、仇、盡、應、許
[00:01:42.000 --> 00:01:47.360]  書就是生命記 或者是《摩西吾京》
[00:01:47.360 --> 00:01:52.900]  劍就是因為他們要打聖戰進入迦南地
[00:01:52.900 --> 00:01:58.260]  有恩有仇 當中是講他們怎樣進入
[00:01:58.260 --> 00:02:01.300]  上帝的應許的當中
[00:02:01.300 --> 00:02:06.020]  在約書亞記完了之後
[00:02:06.020 --> 00:02:09.620]  我們上個禮拜就看了史詩記 約書亞四侯
[00:02:09.620 --> 00:02:14.420]  約書亞四侯 誰可以帶領以色列人呢?
[00:02:14.420 --> 00:02:18.440]  史詩記簡單來講就不是一個好的階段
[00:02:18.440 --> 00:02:20.280]  可能歷史上來講
[00:02:20.280 --> 00:02:27.000]  我想史詩由約書亞基督到後來由皇帝的中間
[00:02:27.000 --> 00:02:30.020]  隔了可能三、四百年的時候
[00:02:30.020 --> 00:02:32.660]  而這段時間是很紛亂的
[00:02:32.660 --> 00:02:35.640]  這段時間裡面我們相信有兩本書
[00:02:35.640 --> 00:02:38.820]  一個是史詩記 上個禮拜介紹了
[00:02:38.820 --> 00:02:43.240]  另外一本書其實是他的孿生 或者是龍鳳胎
[00:02:43.240 --> 00:02:44.840]  就是《路德記》
[00:02:44.840 --> 00:02:48.180]  一本比較長 一本比較短
[00:02:48.180 --> 00:02:51.980]  今天就會想和你講多一點《路德記》
[00:02:51.980 --> 00:02:57.200]  兩本有一天我們一起做舊約講座的時候
[00:02:57.200 --> 00:02:58.520]  就會一起看
[00:02:58.520 --> 00:03:01.000]  我給了一個題目給他
[00:03:01.000 --> 00:03:04.720]  就叫做《亂世君王真舊主》
[00:03:04.720 --> 00:03:08.240]  在亂世裡面求君王
