
[00:00:00.000 --> 00:00:02.320]  今天的經課當中的舊約經文
[00:00:02.320 --> 00:00:06.760]  就是《出開及記》第32章1至14節
[00:00:06.760 --> 00:00:10.400]  這一段可能是大家很熟悉的經文
[00:00:10.400 --> 00:00:13.200]  所以我就藉著這一段的經文
[00:00:13.200 --> 00:00:15.280]  讓我們一起去思考
[00:00:15.280 --> 00:00:18.560]  是誰在這裡帶領呢
[00:00:18.560 --> 00:00:22.040]  是誰在這裡帶領呢
[00:00:22.040 --> 00:00:24.640]  三唐都是六十週年
[00:00:24.640 --> 00:00:27.360]  走過一個甲子的歲月
[00:00:27.360 --> 00:00:29.800]  經歷了很多的變遷
[00:00:29.800 --> 00:00:35.160]  剛才路師帶領我們一起去祈禱的時候
[00:00:35.160 --> 00:00:38.120]  都提到不單止有三唐
[00:00:38.120 --> 00:00:41.280]  每一間唐也都有自己的分唐
[00:00:41.280 --> 00:00:42.960]  在不同的時候
[00:00:42.960 --> 00:00:46.800]  在不同的地區繼續將福音傳揚
[00:00:46.800 --> 00:00:50.840]  而當中基真唐還經歷過千唐
[00:00:50.840 --> 00:00:53.360]  經歷過有不同的地方
[00:00:53.360 --> 00:00:56.080]  去到今天的位置
[00:00:56.080 --> 00:00:59.680]  當我們按照唐慶
[00:00:59.680 --> 00:01:00.880]  這麼高興的日子
[00:01:00.880 --> 00:01:02.160]  感恩的日子
[00:01:02.160 --> 00:01:03.800]  是一個好的時機
[00:01:03.800 --> 00:01:05.680]  來去再想一下
[00:01:05.680 --> 00:01:09.840]  究竟是誰在帶領我們的教會前行呢
[00:01:09.840 --> 00:01:15.320]  這個問題不單單是向三唐發出的
[00:01:15.320 --> 00:01:18.720]  其實這個問題也是我經常問自己的
[00:01:18.720 --> 00:01:21.800]  尤其是在這兩年多的時候
[00:01:21.800 --> 00:01:24.680]  要擔任區會總幹事的崗位
[00:01:24.680 --> 00:01:28.880]  究竟區會是否由我來帶領著呢
[00:01:28.880 --> 00:01:32.000]  現實其實是怎樣的呢
[00:01:32.000 --> 00:01:33.680]  今天不是區會主日
[00:01:33.680 --> 00:01:36.120]  是三唐的六十週年的唐慶
[00:01:36.120 --> 00:01:37.800]  所以我們就不去想
[00:01:37.800 --> 00:01:39.640]  區會究竟是誰帶領的
[00:01:39.640 --> 00:01:43.520]  我們去想教會是誰去帶領
[00:01:43.520 --> 00:01:45.720]  當然可能很多頂姐妹心目當中
[00:01:45.720 --> 00:01:48.360]  馬上已經有一個標準的答案了
[00:01:48.360 --> 00:01:50.960]  教會當然是由神帶領的了
[00:01:50.960 --> 00:01:52.720]  不過在實際的上面
[00:01:52.720 --> 00:01:56.160]  我們是否見到神在帶領呢
[00:01:56.160 --> 00:01:58.400]  在我們找這個答案之前
[00:01:58.400 --> 00:02:03.320]  我們就再回去經文那裡看一看了
[00:02:03.320 --> 00:02:08.520]  在《春埃及記》第三十二章一至十四節
[00:02:08.520 --> 00:02:12.160]  這一段是很多基督徒都很熟悉的經文
[00:02:12.160 --> 00:02:17.080]  當中提到以色列人他們離開埃及
[00:02:17.080 --> 00:02:19.760]  去到西內的曠野
[00:02:19.760 --> 00:02:22.640]  摩西按照著上帝的指示
[00:02:22.640 --> 00:02:25.800]  上去了西內山
[00:02:25.800 --> 00:02:31.040]  我們知道摩西上山並不是看日出
[00:02:31.040 --> 00:02:37.400]  他上山是要拿上帝給他的十誡的法辦
[00:02:37.400 --> 00:02:43.240]  接著是要向以色列人頒布上帝的誡命
[00:02:43.240 --> 00:02:44.000]  對我們來說
[00:02:44.000 --> 00:02:48.080]  我們當然知道摩西上山是做了些什麼
[00:02:48.080 --> 00:02:50.880]  但是對於當時的以色列百姓來說
[00:02:50.880 --> 00:02:54.600]  他們是不知道摩西在山上
[00:02:54.600 --> 00:02:58.120]  究竟是遇到什麼情況
[00:02:58.120 --> 00:03:01.200]  所以在經文的第一節很清楚指出
[00:03:01.200 --> 00:03:05.720]  百姓見到摩西遲遲北下山
