
[00:00:00.000 --> 00:00:02.040]  主:今天我們要來再一次講
[00:00:02.040 --> 00:00:04.440]  建造永生神上帝的家
[00:00:04.440 --> 00:00:08.040]  我這是第三次每個月第一個禮拜都要講
[00:00:08.040 --> 00:00:10.040]  我第一次講說
[00:00:10.040 --> 00:00:12.680]  讓永生神有祂的居所
[00:00:12.680 --> 00:00:15.560]  因為耶和華神說
[00:00:15.560 --> 00:00:18.360]  天是我的座位 地是我的腳墩
[00:00:18.360 --> 00:00:21.320]  你們要在哪裡為我建造聖殿
[00:00:21.320 --> 00:00:23.680]  我在哪裡才有居所呢
[00:00:23.680 --> 00:00:25.960]  所以我們上帝沒有居所
[00:00:25.960 --> 00:00:28.360]  主耶穌基督祂說
[00:00:28.360 --> 00:00:30.880]  飛鳥有窩 狐狸有洞
[00:00:30.880 --> 00:00:32.880]  人子沒有枕頭的地方
[00:00:32.880 --> 00:00:35.880]  哎呀 祂誕生在馬槽裡面
[00:00:35.880 --> 00:00:37.880]  因為客殿沒有地方
[00:00:37.880 --> 00:00:43.080]  我們也沒有為耶穌預備好祂的居所所在
[00:00:43.080 --> 00:00:46.080]  看了羅亞方舟的電影嗎
[00:00:46.080 --> 00:00:49.080]  當羅亞把那個兒子放出去的時候
[00:00:49.080 --> 00:00:50.680]  祂又飛回來了
[00:00:50.680 --> 00:00:53.280]  因為沒有落腳的地方
[00:00:53.280 --> 00:00:55.680]  聖靈也沒有落腳的地方
[00:00:55.680 --> 00:00:57.680]  哎呀 我真慚愧呀
[00:00:57.680 --> 00:01:00.680]  我們沒有為神預備好地方不是嗎
[00:01:00.680 --> 00:01:03.280]  所以我第二次我就說
[00:01:03.280 --> 00:01:06.280]  到底永生神上帝的居所就是什麼
[00:01:06.280 --> 00:01:07.680]  就是神的家
[00:01:07.680 --> 00:01:10.280]  就是永生神的教會
[00:01:10.280 --> 00:01:13.280]  這是保羅他在《已復鎖書》第二章說的
[00:01:13.280 --> 00:01:15.680]  這樣你們不再做外人和賀禮
[00:01:15.680 --> 00:01:17.680]  是以聖徒同國
[00:01:17.680 --> 00:01:20.080]  是神家裡面的人了
[00:01:20.080 --> 00:01:24.080]  並且被建造在使徒和先知的根基上
[00:01:24.080 --> 00:01:27.280]  耶穌基督是頭塊的防角石
[00:01:27.280 --> 00:01:29.880]  各房靠祂聯絡合石
[00:01:29.880 --> 00:01:32.880]  得以漸漸成為主的聖殿
[00:01:32.880 --> 00:01:35.880]  你們也靠祂同輩建造
[00:01:35.880 --> 00:01:39.880]  成為神藉著聖靈居住的所在
[00:01:39.880 --> 00:01:41.680]  這就是教會
[00:01:41.680 --> 00:01:43.480]  這就是神的家
[00:01:43.480 --> 00:01:47.480]  所以新光安靈陽堂是神的家
[00:01:47.480 --> 00:01:51.480]  全世界的基督教會都是神的家
[00:01:51.480 --> 00:01:53.880]  哈雷羅亞讚美神
[00:01:53.880 --> 00:01:57.880]  今天我要講在神的家中
[00:01:57.880 --> 00:02:01.880]  在神的家中你要幹什麼
[00:02:01.880 --> 00:02:04.080]  在神的家中有什麼人
[00:02:04.080 --> 00:02:06.880]  在神的家中我們的使命是什麼
[00:02:06.880 --> 00:02:10.880]  在神的家中當如何行等等
[00:02:10.880 --> 00:02:13.280]  讓我來跟各位問一下
[00:02:13.280 --> 00:02:15.480]  到底什麼叫教會
[00:02:15.480 --> 00:02:18.680]  有沒有人可以跟我說什麼叫教會
[00:02:18.680 --> 00:02:19.880]  沒有關係
[00:02:19.880 --> 00:02:22.480]  跟我說什麼叫教會
[00:02:22.480 --> 00:02:24.280]  神的家 好的
[00:02:24.280 --> 00:02:25.480]  非常正確
[00:02:25.480 --> 00:02:27.080]  因為我剛才講了這麼多
[00:02:27.080 --> 00:02:29.080]  都是神說我哪裡有居所呢
[00:02:29.080 --> 00:02:30.880]  人子沒有枕頭的地方
[00:02:30.880 --> 00:02:32.280]  聖靈沒有落腳的地方
[00:02:32.280 --> 00:02:34.880]  所以教會就是神的家
[00:02:34.880 --> 00:02:37.080]  因為各房靠祂聯絡合石
[00:02:37.080 --> 00:02:39.280]  得以漸漸成為主的聖殿
[00:02:39.280 --> 00:02:40.680]  不是嗎
[00:02:40.680 --> 00:02:42.880]  還有什麼叫做教會嗎
[00:02:42.880 --> 00:02:44.880]  誰可以說
[00:02:44.880 --> 00:02:47.880]  哎呀 你這是聖經的答案
[00:02:47.880 --> 00:02:50.680]  教會的原文叫做Ecclesia
[00:02:50.680 --> 00:02:53.880]  就是神所召出來一群人的聚集
[00:02:53.880 --> 00:02:56.080]  或者是分別為聖
[00:02:56.080 --> 00:02:58.480]  那麼有人說教會是
[00:02:58.480 --> 00:03:02.080]  基督徒聚會的教堂
[00:03:02.080 --> 00:03:06.280]  有人說教會是在教堂聚會的基督徒
[00:03:06.280 --> 00:03:09.080]  不管你是人也好 堂也好
[00:03:09.080 --> 00:03:11.080]  這都是教會
[00:03:11.080 --> 00:03:14.080]  硬體也要有 軟體也要有
[00:03:14.080 --> 00:03:15.080]  上次我說
[00:03:15.080 --> 00:03:18.080]  我們總不希望在大雨天
[00:03:18.080 --> 00:03:20.080]  在戶外聚會不是嗎
[00:03:20.080 --> 00:03:22.880]  我們不希望說在冰雪天
[00:03:22.880 --> 00:03:25.480]  我們在外面聚會不是嗎
[00:03:25.480 --> 00:03:27.480]  所以我們要有一個教堂
[00:03:27.480 --> 00:03:30.080]  教堂沒有人也不行
[00:03:30.080 --> 00:03:33.080]  教會實際上也有一個使命
[00:03:33.080 --> 00:03:35.080]  等一下我要講的
[00:03:35.080 --> 00:03:37.480]  大約是說我們要敬拜詹姆士
[00:03:37.480 --> 00:03:38.880]  我們要來服侍神
[00:03:38.880 --> 00:03:40.280]  我們要來傳福音
[00:03:40.280 --> 00:03:44.080]  我們要來為神做許多的事情
[00:03:44.080 --> 00:03:46.280]  這是我們教會
[00:03:46.280 --> 00:03:48.480]  那麼各位你有可能說
