
[00:00:00.000 --> 00:00:02.000]  提升使命與祖內平安
[00:00:02.000 --> 00:00:08.600]  相信應該這裏大部分應該兩個禮拜之前我們見過面
[00:00:08.600 --> 00:00:17.400]  而且我們探討的課題好像與今天的崇拜的講題好像有一點的關係
[00:00:17.400 --> 00:00:21.800]  我要開這個powerpoint
[00:00:21.800 --> 00:00:26.800]  好 講題是重新得利
[00:00:26.800 --> 00:00:34.000]  這個講題好像與兩個禮拜之前與焦慮共舞好像有一點相似的地方
[00:00:34.000 --> 00:00:35.200]  是什麼呢
[00:00:35.200 --> 00:00:37.200]  它有一個共同的背景
[00:00:37.200 --> 00:00:40.400]  背景是我們現在的處境
[00:00:40.400 --> 00:00:43.200]  這是我們在疫情之下
[00:00:43.200 --> 00:00:47.600]  我們活在這個社會里面受的影響
[00:00:47.600 --> 00:00:51.000]  其實不單只是在經濟受了影響
[00:00:51.000 --> 00:00:53.400]  並讓我們受了影響
[00:00:53.400 --> 00:00:57.200]  最困難的地方好像在香港特別嚴重
[00:00:57.200 --> 00:00:59.600]  就是我們人與人的距離
[00:00:59.600 --> 00:01:01.800]  我們雖然說要隔離
[00:01:01.800 --> 00:01:04.400]  但其實因爲我們住的地方很小
[00:01:04.400 --> 00:01:07.600]  所以我們都要住在家裏面 住在一起
[00:01:07.600 --> 00:01:12.200]  然後人與人之間的矛盾就更加嚴重
[00:01:12.200 --> 00:01:14.200]  所以有調查告訴我們
[00:01:14.200 --> 00:01:19.400]  家裏面的人基本上有很多人因爲相聚的再多
[00:01:19.400 --> 00:01:21.000]  矛盾更多
[00:01:21.000 --> 00:01:24.200]  人與人之間的關係出現問題
[00:01:24.200 --> 00:01:28.000]  然後人與人之間的關係出現問題還好
[00:01:28.000 --> 00:01:31.800]  最大的問題是自己與自己出現問題
[00:01:31.800 --> 00:01:35.400]  有時候我們自己內心很多的無奈
[00:01:35.400 --> 00:01:38.600]  內心很多的焦慮出現的時候
[00:01:38.600 --> 00:01:39.800]  那怎麼辦呢
[00:01:39.800 --> 00:01:41.600]  所以今天這段經文
[00:01:41.600 --> 00:01:45.400]  是希望我們面對我們現在的情緒
[00:01:45.400 --> 00:01:47.400]  面對我們現在的現況
[00:01:47.400 --> 00:01:50.800]  從經文當中 從保羅的教訓當中
[00:01:50.800 --> 00:01:53.800]  我們去理解與提出
[00:01:53.800 --> 00:01:56.800]  怎樣才能重新得利
[00:01:56.800 --> 00:02:03.600]  菲律賓書其實是監獄的書信
[00:02:03.600 --> 00:02:09.800]  它是寫於保羅坐牢的後期
[00:02:09.800 --> 00:02:11.000]  所以大概吧
[00:02:11.000 --> 00:02:14.200]  大家都認爲他在後期的時候
[00:02:14.200 --> 00:02:19.000]  還有提到他要離世與基督同在的年代
[00:02:19.000 --> 00:02:22.800]  但是如果這樣的情況
[00:02:22.800 --> 00:02:25.000]  如果你是保羅坐牢
[00:02:25.000 --> 00:02:30.400]  坐到幾乎要離世與基督同在
[00:02:30.400 --> 00:02:33.800]  你心裏面會悲哀 會悲觀
[00:02:33.800 --> 00:02:35.600]  還是怎樣的情緒呢
[00:02:35.600 --> 00:02:40.800]  但這段經文 菲律賓書裏面看見的是喜樂
[00:02:40.800 --> 00:02:45.800]  他用喜樂的方式去帶出鼓勵教會
[00:02:45.800 --> 00:02:51.200]  他的博人要合一 要相信福音的大能
[00:02:51.200 --> 00:02:55.200]  這個主題讓我們看見
[00:02:55.200 --> 00:02:58.000]  其實福音與喜樂
[00:02:58.000 --> 00:03:03.000]  這兩個主題貫穿在整個菲律賓書裏面
[00:03:03.000 --> 00:03:06.200]  它其實還有另外一個重要的主題
[00:03:06.200 --> 00:03:09.800]  就是用合一鼓勵勉勵人
[00:03:09.800 --> 00:03:13.000]  要同心合意地發能 希望福音
[00:03:13.000 --> 00:03:17.600]  謙卑與同心的人才能更合一
[00:03:17.600 --> 00:03:20.800]  更重要的是 以基督耶穌的心爲心
[00:03:20.800 --> 00:03:22.800]  方能同頌一主
[00:03:22.800 --> 00:03:27.200]  而希望福音需要同勞同心
[00:03:27.200 --> 00:03:31.200]  希望福音更需要竭力竭心
[00:03:31.200 --> 00:03:35.200]  原來合一的對象不設遮體
[00:03:35.200 --> 00:03:38.800]  不是將教會的人合一地在一起
[00:03:38.800 --> 00:03:41.000]  然後福音才能希望
[00:03:41.000 --> 00:03:43.200]  它裏面還有更重要的是
[00:03:43.200 --> 00:03:48.200]  每個信徒他自己的信仰怎樣合一
[00:03:48.200 --> 00:03:52.400]  他怎樣才能面對自己情緒的危機
[00:03:52.400 --> 00:03:54.600]  與人的關係的挑戰
[00:03:54.600 --> 00:03:59.400]  所以如果說保羅重新得力的《真之作戒》
[00:03:59.400 --> 00:04:04.400]  首要的是叩主喜樂 增觀愛
[00:04:04.400 --> 00:04:08.400]  你說這兩個名詞爲什麼會放在一起呢
[00:04:12.000 --> 00:04:14.200]  那要看經文了
[00:04:14.200 --> 00:04:19.000]  經文是我們剛剛說的第一節開始
[00:04:19.000 --> 00:04:21.800]  弟兄們 我還有話說
[00:04:21.800 --> 00:04:24.000]  你們要叩主喜樂
[00:04:24.000 --> 00:04:26.400]  我把這話再寫給你們
