
[00:00:00.000 --> 00:00:02.000]  有請再次祈禱
[00:00:30.000 --> 00:00:32.000]  第一個的主日
[00:00:32.000 --> 00:00:35.000]  這個第一個的主日
[00:00:35.000 --> 00:00:38.000]  在東正教來說
[00:00:38.000 --> 00:00:40.000]  1月6日
[00:00:40.000 --> 00:00:43.000]  是東正教的教會
[00:00:43.000 --> 00:00:45.000]  慶祝聖誕的日子
[00:00:45.000 --> 00:00:47.000]  那就是說
[00:00:47.000 --> 00:00:50.000]  剛剛過去的12月25日
[00:00:50.000 --> 00:00:52.000]  他們不會慶祝聖誕
[00:00:52.000 --> 00:00:55.000]  是今天才慶祝聖誕
[00:00:55.000 --> 00:00:57.000]  那為什麼會有這樣的分別呢?
[00:00:58.000 --> 00:01:00.000]  西方的教會
[00:01:00.000 --> 00:01:02.000]  今天我們以羅馬天主教
[00:01:02.000 --> 00:01:04.000]  和基督新教
[00:01:04.000 --> 00:01:07.000]  作為一個概括的分類
[00:01:07.000 --> 00:01:10.000]  西方的教會就在第四世紀開始
[00:01:10.000 --> 00:01:13.000]  就以12月25日
[00:01:13.000 --> 00:01:16.000]  作為慶祝基督誕誕的日子
[00:01:16.000 --> 00:01:18.000]  原因就是因為
[00:01:18.000 --> 00:01:23.000]  當時在羅馬帝國的曆法裡面
[00:01:23.000 --> 00:01:25.000]  12月25日
[00:01:25.000 --> 00:01:27.000]  就是冬至的時間
[00:01:28.000 --> 00:01:29.000]  冬至是什麼呢?
[00:01:29.000 --> 00:01:32.000]  冬至就是夜晚最長
[00:01:32.000 --> 00:01:35.000]  白天最短的日子
[00:01:35.000 --> 00:01:36.000]  就叫做冬至
[00:01:36.000 --> 00:01:38.000]  過了這一天之後
[00:01:38.000 --> 00:01:41.000]  日光的時間會越來越長
[00:01:41.000 --> 00:01:44.000]  夜晚黑暗的時間會越來越短
[00:01:44.000 --> 00:01:48.000]  所以在西方的教會就認為
[00:01:48.000 --> 00:01:51.000]  基督的降生就是帶來光明
[00:01:51.000 --> 00:01:55.000]  所以在那天來慶祝基督的降生
[00:01:55.000 --> 00:01:56.000]  是非常有意思的
[00:01:57.000 --> 00:01:59.000]  代表著在我們生命當中
[00:01:59.000 --> 00:02:01.000]  會越來越見到光明
[00:02:01.000 --> 00:02:04.000]  而黑暗是會越來越少的
[00:02:04.000 --> 00:02:06.000]  但是東方的教會
[00:02:06.000 --> 00:02:10.000]  就在一個更加早的傳統
[00:02:10.000 --> 00:02:11.000]  第三世紀
[00:02:11.000 --> 00:02:16.000]  就以1月6日來慶祝基督的誕降
[00:02:16.000 --> 00:02:17.000]  原因就是因為
[00:02:17.000 --> 00:02:20.000]  在當時一個異教徒的環境當中
[00:02:20.000 --> 00:02:23.000]  基督徒當然不可以很自由地
[00:02:23.000 --> 00:02:26.000]  有他們信仰的表達
[00:02:26.000 --> 00:02:28.000]  但是當時的1月6日
[00:02:28.000 --> 00:02:31.000]  就是異教徒來去敬拜
[00:02:31.000 --> 00:02:34.000]  去慶祝他們所謂的永恆之神
[00:02:34.000 --> 00:02:35.000]  的一個誕生的日子
[00:02:35.000 --> 00:02:38.000]  所以東方的基督徒
[00:02:38.000 --> 00:02:40.000]  就用了1月6日
[00:02:40.000 --> 00:02:42.000]  來去慶祝耶穌基督的誕生
[00:02:42.000 --> 00:02:45.000]  當然對於西方的教會來說
[00:02:45.000 --> 00:02:49.000]  我們12月25日已經慶祝了耶穌的誕降
[00:02:49.000 --> 00:02:51.000]  1月6日是一個什麼樣的日子呢
[00:02:51.000 --> 00:02:55.000]  當然今天我們定為新年主日
