
[00:00:00.000 --> 00:00:02.840]  今日的訊息很重要
[00:00:02.840 --> 00:00:05.600]  第一,我看到今天年青的一代
[00:00:05.600 --> 00:00:08.200]  我們很愛惜自己的孩子
[00:00:08.200 --> 00:00:11.960]  我們如何去教導我們的孩子
[00:00:11.960 --> 00:00:13.280]  這是很重要的
[00:00:13.280 --> 00:00:15.280]  所以我今日的訊息會提醒他們
[00:00:15.280 --> 00:00:18.880]  第二,我會更加提醒教會要小心
[00:00:18.880 --> 00:00:19.920]  我們很感恩
[00:00:19.920 --> 00:00:22.360]  我們和明鏡過去三十年很和諧
[00:00:22.360 --> 00:00:24.840]  來來去去的關係很好
[00:00:24.840 --> 00:00:27.080]  但我見過不少教會出問題
[00:00:27.080 --> 00:00:28.960]  是因為內部有紛爭
[00:00:28.960 --> 00:00:32.280]  所以內戰帶來的傷害很大
[00:00:32.280 --> 00:00:34.520]  所以我希望藉著今天一篇訊息
[00:00:34.520 --> 00:00:36.280]  成為大家的提醒
[00:00:36.280 --> 00:00:38.720]  我們先彌大人去低頭祈禱
[00:00:38.720 --> 00:00:40.720]  天父,我們感謝祢讓我們有機會
[00:00:40.720 --> 00:00:42.320]  一起彌大人去服侍祢
[00:00:42.320 --> 00:00:44.280]  願神祢自己使用孩子
[00:00:44.280 --> 00:00:45.280]  今日所說的道
[00:00:45.280 --> 00:00:47.280]  成為我們的提醒和幫助
[00:00:47.280 --> 00:00:48.720]  帶領我們以後的時間
[00:00:48.720 --> 00:00:50.560]  祈禱拉奉主,得聖的名
[00:00:50.560 --> 00:00:51.560]  阿們
[00:00:51.560 --> 00:00:56.800]  我們會透過時思記一場的外戰和內戰
[00:00:56.800 --> 00:01:00.960]  教導我們如何面對自己和我們的下一代
[00:01:00.960 --> 00:01:02.960]  我們先看外戰
[00:01:02.960 --> 00:01:06.720]  在時思記裏面有不同的領袖
[00:01:06.720 --> 00:01:10.080]  其中有一個領袖叫耶佛他
[00:01:10.080 --> 00:01:14.720]  耶佛他的出身其實是非常寒美的
[00:01:14.720 --> 00:01:19.080]  時思記裏面記載耶佛他就是基烈
[00:01:19.080 --> 00:01:21.080]  他的父親就是基烈
[00:01:21.080 --> 00:01:24.080]  基烈是馬來西亞的孫子
[00:01:24.080 --> 00:01:28.560]  即是耶佛他是馬來西亞的曾孫
[00:01:28.560 --> 00:01:32.080]  馬來西亞是甚麼呢?
[00:01:32.080 --> 00:01:33.760]  要講一些背景
[00:01:33.760 --> 00:01:36.640]  大家知道以色列有十二支派
[00:01:36.640 --> 00:01:38.640]  但是雅各有十二個兒子
[00:01:38.640 --> 00:01:40.640]  大家最熟悉的兒子叫甚麼呢?
[00:01:40.640 --> 00:01:42.640]  就是約瑟
[00:01:42.640 --> 00:01:45.400]  但有沒有留意到約瑟是沒有支派出現的
[00:01:45.400 --> 00:01:47.400]  沒有一個叫約瑟的支派
[00:01:47.400 --> 00:01:50.040]  約瑟有兩個兒子
[00:01:50.040 --> 00:01:52.040]  一個是馬來西亞
[00:01:52.040 --> 00:01:54.040]  一個是以法連
[00:01:54.040 --> 00:01:58.080]  他們兩個的兒子竟然被提升了一個地位
[00:01:58.080 --> 00:02:00.520]  與那些白富同等
[00:02:00.520 --> 00:02:03.640]  成為十二支派的兩個支派
[00:02:03.640 --> 00:02:08.720]  所以馬來西亞以法連支派是特別尊貴的
[00:02:08.720 --> 00:02:13.920]  好了,耶佛他是馬來西亞的曾孫
[00:02:13.920 --> 00:02:18.120]  但最大的問題是他父親可能風流成性
[00:02:18.120 --> 00:02:20.480]  很多個太太,不僅如此
[00:02:20.480 --> 00:02:25.840]  竟然這個父親與一個妓女發生關係
[00:02:25.840 --> 00:02:27.840]  而生下了這個兒子
[00:02:27.840 --> 00:02:29.840]  就是馬來西亞
[00:02:29.840 --> 00:02:31.840]  好了,大家可以想像到
[00:02:31.840 --> 00:02:36.960]  這個妓女的兒子會不會被她家族的人接納呢?
[00:02:36.960 --> 00:02:38.520]  是絕對不會的
[00:02:38.520 --> 00:02:41.520]  更加會怕他分我們身家
[00:02:41.520 --> 00:02:44.720]  所以當他慢慢年長的時候
[00:02:44.720 --> 00:02:47.400]  他的同父異母的兄弟
[00:02:47.400 --> 00:02:50.280]  就要將他趕離自己的家族
[00:02:50.280 --> 00:02:53.320]  我們一起來讀士詩記第十一章第二節
[00:02:53.320 --> 00:02:55.320]  我們一起來讀出
[00:02:55.320 --> 00:02:58.920]  「激烈的妻也生了幾個兒子」
[00:02:58.920 --> 00:03:02.000]  「他妻所生的兒子長大了」
[00:03:02.000 --> 00:03:04.600]  「就趕逐耶佛他說」
[00:03:04.600 --> 00:03:08.280]  「你不可在我們父家承受產業」
[00:03:08.280 --> 00:03:11.160]  「因為你是妓女的兒子」
[00:03:11.160 --> 00:03:15.200]  大家知道一個妓女的兒子一定是被藐視的
[00:03:15.200 --> 00:03:17.680]  被拒絕、被否定
[00:03:17.680 --> 00:03:20.480]  後來她被趕離開她的家族
[00:03:20.480 --> 00:03:22.800]  當被趕離開她的家族的時候
[00:03:22.800 --> 00:03:24.440]  她無路可走
[00:03:24.440 --> 00:03:28.720]  竟然跟一群歹徒結識了
[00:03:28.720 --> 00:03:30.720]  於是落草為寇
[00:03:30.720 --> 00:03:32.040]  成為強盜
[00:03:32.040 --> 00:03:34.040]  做一些不法的勾當
[00:03:34.040 --> 00:03:36.440]  這是絕對的錯誤
[00:03:36.440 --> 00:03:40.000]  但是我經常提醒自己和弟兄姊妹
[00:03:40.000 --> 00:03:42.680]  當我們要判斷一個人的錯的時候
[00:03:42.680 --> 00:03:44.240]  是他有錯
[00:03:44.240 --> 00:03:47.800]  但有時我們有沒有體諒到甚麼原因
[00:03:47.800 --> 00:03:49.800]  驅使他有這個錯呢
[00:03:49.800 --> 00:03:53.200]  會否是他的家庭、其他人在影響他
[00:03:53.200 --> 00:03:57.400]  正如我們剛剛去了德國和瑞士
[00:03:57.400 --> 00:03:58.920]  誰知我們臨去德國之前
[00:03:58.920 --> 00:04:00.920]  德國發生了幾件很恐怖的事
[00:04:00.920 --> 00:04:02.920]  有人問我們還要不要去
[00:04:02.920 --> 00:04:04.440]  有一個年輕人
[00:04:04.440 --> 00:04:06.680]  還在網上引誘一些人
[00:04:06.680 --> 00:04:10.240]  說麥當勞有免費的東西送給他們
[00:04:10.240 --> 00:04:11.720]  引誘了很多小朋友去
[00:04:11.720 --> 00:04:14.480]  然後拿著槍去掃射
[00:04:14.480 --> 00:04:16.480]  這些人死了很多人
[00:04:16.480 --> 00:04:18.480]  這個人絕對是錯誤的
[00:04:18.480 --> 00:04:20.880]  但如果追溯到那個源頭
[00:04:20.880 --> 00:04:24.120]  原來這個人在他讀書期間
[00:04:24.120 --> 00:04:28.240]  經常被其他同學欺凌、侮辱、藐視
[00:04:28.240 --> 00:04:30.240]  所以他積怨在心
[00:04:30.240 --> 00:04:32.760]  要報復在別人的身上
[00:04:32.760 --> 00:04:34.760]  這個就很重要
[00:04:34.760 --> 00:04:37.000]  所以求神幫助我們
[00:04:37.000 --> 00:04:39.680]  我們要作出一個適當的判斷
[00:04:39.680 --> 00:04:42.240]  耶佛他出身漢尾
[00:04:42.240 --> 00:04:45.640]  但後來他被人捧為領袖
[00:04:45.640 --> 00:04:47.320]  前懼後攻
[00:04:47.320 --> 00:04:48.480]  為甚麼呢?
[00:04:48.480 --> 00:04:50.480]  當時的民族
[00:04:50.480 --> 00:04:55.000]  被另一個民族叫阿蒙來攻擊
[00:04:55.000 --> 00:04:57.000]  當阿蒙要打他們的時候
[00:04:57.000 --> 00:04:58.200]  他們去對抗
[00:04:58.200 --> 00:04:59.800]  但每次都打輸
[00:04:59.800 --> 00:05:01.240]  於是這群人就想起
[00:05:01.240 --> 00:05:04.240]  我們需要找一個英明的元帥
[00:05:04.240 --> 00:05:05.920]  帶領我們去打這場仗
[00:05:05.920 --> 00:05:08.800]  就想起耶佛他也很勇敢
[00:05:08.800 --> 00:05:11.280]  他經常打劫,也打得很厲害
[00:05:11.280 --> 00:05:13.120]  不如我們就請他出來
[00:05:13.120 --> 00:05:15.440]  來當我們的領袖
[00:05:15.440 --> 00:05:18.080]  於是他們的長老
[00:05:18.080 --> 00:05:20.720]  就一起去見耶佛他
[00:05:20.720 --> 00:05:24.480]  邀請耶佛他來當他們的領袖
[00:05:24.480 --> 00:05:25.680]  耶佛他就說
[00:05:25.680 --> 00:05:27.680]  不是吧?
[00:05:27.680 --> 00:05:30.880]  喂,你們是恨我的
[00:05:30.880 --> 00:05:32.480]  看不起我
[00:05:32.480 --> 00:05:34.160]  現在叫我做領袖?
[00:05:34.160 --> 00:05:35.120]  有沒有搞錯?
[00:05:35.120 --> 00:05:40.800]  我們一起讀《時詩記》第十一章第七節
[00:05:40.800 --> 00:05:44.160]  耶佛他回答激烈的長老說
[00:05:44.160 --> 00:05:46.560]  從前你們不是恨我
[00:05:46.560 --> 00:05:49.040]  趕著我出來附加嗎?
[00:05:49.040 --> 00:05:51.520]  現在你們遭遇急難
[00:05:51.520 --> 00:05:54.800]  為何到我這裡來呢?
[00:05:54.800 --> 00:05:56.640]  第八節我們沒有打出來
[00:05:56.640 --> 00:05:57.440]  那些長老就說
[00:05:57.440 --> 00:05:58.800]  因為我們現在不夠打
[00:05:58.800 --> 00:06:01.280]  所以想找你來當我們的領袖
[00:06:01.280 --> 00:06:03.600]  你看到其實聖經很寶貴
[00:06:03.600 --> 00:06:06.400]  你看到政治的現實是甚麼一回事
[00:06:06.400 --> 00:06:08.320]  今天跟你是朋友
[00:06:08.320 --> 00:06:10.160]  但可能為了一些政治的利益
[00:06:10.160 --> 00:06:12.080]  或者自己個人的利益
[00:06:12.080 --> 00:06:14.720]  很快可能成為敵人,是不是?
[00:06:14.720 --> 00:06:17.200]  同樣今天我跟你是不妥的
[00:06:17.200 --> 00:06:19.440]  但是為了一些政治的好處
[00:06:19.440 --> 00:06:20.720]  或者自己的利益
[00:06:20.720 --> 00:06:21.760]  我可以跟你合作
[00:06:21.760 --> 00:06:23.040]  我可以來高舉你
[00:06:23.040 --> 00:06:25.040]  可以前懼後攻
[00:06:25.040 --> 00:06:26.080]  大家很現實的
[00:06:26.080 --> 00:06:29.120]  記不記得有一位叫葉劉淑儀呢?
[00:06:29.120 --> 00:06:30.720]  上一屆想出來選特首
[00:06:30.720 --> 00:06:32.400]  但是不夠提名
[00:06:32.400 --> 00:06:33.600]  但是那時候她說
[00:06:33.600 --> 00:06:34.960]  不要相信梁振英
