
[00:00:00.000 --> 00:00:03.200]  丁姊妹,早安,你們好,我是黃牧師
[00:00:03.200 --> 00:00:06.600]  很高興能夠在今天主日崇拜的時間
[00:00:06.600 --> 00:00:08.600]  再次和大家一起見面
[00:00:08.600 --> 00:00:10.600]  在神的說話的帶領之下
[00:00:10.600 --> 00:00:13.700]  讓我們能夠有一個有根有機的敬拜
[00:00:13.700 --> 00:00:15.400]  我們再次在崇拜以先
[00:00:15.400 --> 00:00:18.400]  我們一起加上禱告
[00:00:18.400 --> 00:00:20.200]  讓神的一靈帶領我們
[00:00:20.200 --> 00:00:22.900]  讓我們一起同心低頭禱告
[00:00:22.900 --> 00:00:23.900]  慈悲先父,多謝你
[00:00:23.900 --> 00:00:25.600]  讓我們能夠再次回來
[00:00:25.600 --> 00:00:28.400]  在你寶貴的說話的面前
[00:00:28.400 --> 00:00:30.600]  去蒙主祢的詛咒
[00:00:30.600 --> 00:00:33.800]  讓我們在今天這個崇拜的時間
[00:00:33.800 --> 00:00:35.300]  藉著你的話語
[00:00:35.300 --> 00:00:38.200]  讓我們能夠有一個更準確的
[00:00:38.200 --> 00:00:41.200]  一個屬靈的生命成長方向
[00:00:41.200 --> 00:00:45.500]  免得我們只是處於一種人魂逆魂
[00:00:45.500 --> 00:00:47.500]  隨波逐流的狀態
[00:00:47.500 --> 00:00:49.500]  求主祢的幫助
[00:00:49.500 --> 00:00:51.000]  我們同心的禱告
[00:00:51.000 --> 00:00:53.800]  奉靠主耶穌,獲得生命之救
[00:00:53.800 --> 00:00:55.800]  阿們
[00:00:55.800 --> 00:00:58.000]  好,今天和大家一起思想的經文
[00:00:58.000 --> 00:01:03.800]  是出自於《馬太福音》第五章一至十二節
[00:01:03.800 --> 00:01:05.400]  今天的講題就是
[00:01:05.400 --> 00:01:07.700]  「你們是蒙福的人嗎?」
[00:01:07.700 --> 00:01:10.200]  Are you the blessed?
[00:01:10.200 --> 00:01:14.800]  今天是我們新一年的開始
[00:01:14.800 --> 00:01:18.900]  也是我們今年第一次的主要崇拜
[00:01:18.900 --> 00:01:20.900]  我相信很多時候
[00:01:20.900 --> 00:01:22.500]  我們在新年的時候
[00:01:22.500 --> 00:01:25.100]  我們最喜歡談論的就是關於
[00:01:25.100 --> 00:01:28.300]  「福」或者「福氣」這個題目
[00:01:28.300 --> 00:01:31.000]  所以我也希望趁著今天
