
[00:00:00.000 --> 00:00:01.260]  待會兒平安
[00:00:01.260 --> 00:00:03.140]  我們一起祈禱
[00:00:03.140 --> 00:00:16.540]  祈禱
[00:00:16.540 --> 00:00:22.540]  今天是十二月第一個主日
[00:00:22.540 --> 00:00:25.540]  一進入十二月的時候
[00:00:25.540 --> 00:00:28.940]  聖誕節將近
[00:00:30.940 --> 00:00:35.240]  二零二五年很快又會進入歷史
[00:00:35.240 --> 00:00:37.740]  在未來幾個星期
[00:00:37.740 --> 00:00:41.940]  我們會思想有關主耶穌的身份
[00:00:41.940 --> 00:00:47.740]  在舊約的《宣子書二冊書九章六節》裡這樣說
[00:00:47.740 --> 00:00:51.240]  因有一英孩為我們而生
[00:00:51.240 --> 00:00:54.240]  有一子賜給我們
[00:00:54.240 --> 00:00:57.740]  政權必擔在他的肩頭上
[00:00:59.740 --> 00:01:02.240]  他名稱為奇妙測試
[00:01:02.240 --> 00:01:04.240]  全能的上帝
[00:01:04.240 --> 00:01:05.740]  永在的父
[00:01:05.740 --> 00:01:07.240]  和平的君
[00:01:07.240 --> 00:01:10.240]  我們未來幾個星期的主題都在這裡
[00:01:10.240 --> 00:01:13.240]  今天就說奇妙測試
[00:01:13.240 --> 00:01:18.240]  猶太人的文化
[00:01:18.240 --> 00:01:20.740]  我覺得比較接近華人
[00:01:20.740 --> 00:01:23.740]  比如說一個人的名字
[00:01:23.740 --> 00:01:25.740]  是代表他的本質
[00:01:25.740 --> 00:01:29.740]  或者父母對這個小孩的期望
[00:01:29.740 --> 00:01:32.740]  華人有些人叫「大金」
[00:01:32.740 --> 00:01:39.740]  表明父母很希望這個小孩帶來好運財富
[00:01:39.740 --> 00:01:44.740]  中國有些人喜歡改小孩的名字
[00:01:44.740 --> 00:01:45.740]  加個「雄」字
[00:01:45.740 --> 00:01:47.740]  「響雄」
[00:01:47.740 --> 00:01:53.740]  不是希望小孩將來成為網紅
[00:01:53.740 --> 00:01:58.740]  而是希望小孩有共產主義思想
[00:01:58.740 --> 00:02:01.740]  不會被人打成黑五類
[00:02:01.740 --> 00:02:05.740]  猶太人的名字其實都是很有意思的
[00:02:05.740 --> 00:02:07.740]  比如說亞伯拉罕
[00:02:07.740 --> 00:02:09.740]  就是「多國的父」
[00:02:09.740 --> 00:02:11.740]  亞比米勒
[00:02:11.740 --> 00:02:15.740]  就是「我父真是王」
