
[00:00:00.000 --> 00:00:02.000]  今日的崇拜
[00:00:02.000 --> 00:00:04.000]  都是好像以往那樣
[00:00:04.000 --> 00:00:08.000]  是一個如常的崇拜
[00:00:08.000 --> 00:00:10.000]  但是今日的崇拜
[00:00:10.000 --> 00:00:13.000]  亦都不是好像如常的一種崇拜
[00:00:13.000 --> 00:00:17.000]  因為在今日分享主的話語裏面
[00:00:17.000 --> 00:00:19.000]  我們特別是講到
[00:00:19.000 --> 00:00:24.000]  我們基督教信仰的根本、根基
[00:00:24.000 --> 00:00:27.000]  講到為甚麼有些人
[00:00:27.000 --> 00:00:29.000]  可以成為基督徒
[00:00:29.000 --> 00:00:35.000]  為甚麼有教會這個信仰群體的出現
[00:00:35.000 --> 00:00:39.000]  中間是有關鍵
[00:00:39.000 --> 00:00:44.000]  而一切一切是從整個信仰的根基有關
[00:00:44.000 --> 00:00:47.000]  而這件事就是我們常講的
[00:00:47.000 --> 00:00:51.000]  福音、好消息
[00:00:51.000 --> 00:00:54.000]  所以今日在分享信息裏面
[00:00:54.000 --> 00:00:57.000]  我特別回到我們信仰的根本
[00:00:57.000 --> 00:01:01.000]  來跟各位朋友分享一下
[00:01:01.000 --> 00:01:03.000]  又或者讓我們弟兄姊妹
[00:01:03.000 --> 00:01:05.000]  可能都已熟能詳
[00:01:05.000 --> 00:01:09.000]  但都盼望能夠溫故知新
[00:01:09.000 --> 00:01:13.000]  能夠再一次回到我們信仰的根本裏面
[00:01:13.000 --> 00:01:16.000]  來檢視一下我們的生命
[00:01:16.000 --> 00:01:17.000]  我們的侍奉
[00:01:17.000 --> 00:01:20.000]  我們所走的人生路
[00:01:20.000 --> 00:01:25.000]  福音是我們的根本
[00:01:25.000 --> 00:01:28.000]  在基督徒的婚禮裏面
[00:01:28.000 --> 00:01:31.000]  特別在禮拜堂舉行的時候
[00:01:31.000 --> 00:01:34.000]  我相信很多弟兄姊妹都知道
[00:01:34.000 --> 00:01:38.000]  通常主婚、正婚的牧師
[00:01:38.000 --> 00:01:41.000]  都會講一件事
[00:01:41.000 --> 00:01:46.000]  就是查問一對新人的心願
[00:01:46.000 --> 00:01:47.000]  向一方講
[00:01:47.000 --> 00:01:50.000]  你是否願意一生一世愛他
[00:01:50.000 --> 00:01:52.000]  無論順境、逆境
[00:01:52.000 --> 00:01:55.000]  怎樣都要愛他到底
[00:01:55.000 --> 00:01:57.000]  永遠呢?
[00:01:57.000 --> 00:02:02.000]  通常如無意外
[00:02:02.000 --> 00:02:04.000]  對方會怎樣說?
[00:02:04.000 --> 00:02:06.000]  我願意
[00:02:06.000 --> 00:02:07.000]  三個字
[00:02:07.000 --> 00:02:08.000]  我願意
[00:02:08.000 --> 00:02:10.000]  好像很簡單
[00:02:10.000 --> 00:02:13.000]  但是鏗鏘有力
[00:02:13.000 --> 00:02:14.000]  是一個毀身
[00:02:14.000 --> 00:02:15.000]  一個承諾
[00:02:15.000 --> 00:02:17.000]  一生一世
[00:02:17.000 --> 00:02:22.000]  是表示很願意愛對方
[00:02:22.000 --> 00:02:24.000]  雙方都要這樣做
[00:02:24.000 --> 00:02:26.000]  這個我們都是習慣了
[00:02:26.000 --> 00:02:28.000]  我們都聽過、見過
[00:02:28.000 --> 00:02:30.000]  我們嘗試想一想
[00:02:30.000 --> 00:02:32.000]  將這種想法
[00:02:32.000 --> 00:02:35.000]  轉一個場景去想像一下
[00:02:35.000 --> 00:02:38.000]  如果我們有機會
[00:02:38.000 --> 00:02:42.000]  對著我們的主、我們的神去講
[00:02:42.000 --> 00:02:45.000]  你願不願意永永遠遠
[00:02:45.000 --> 00:02:48.000]  毫無條件的愛我
[00:02:48.000 --> 00:02:50.000]  和愛世上所有的人
[00:02:50.000 --> 00:02:53.000]  所有的族群呢?
[00:02:53.000 --> 00:02:55.000]  你猜當我們這樣去問
[00:02:55.000 --> 00:02:57.000]  上帝、我們的主的時候
[00:02:57.000 --> 00:03:01.000]  祂會怎樣回答?
[00:03:01.000 --> 00:03:02.000]  祂會說
[00:03:02.000 --> 00:03:04.000]  我願意
[00:03:04.000 --> 00:03:07.000]  這是我很深信的一件事
[00:03:07.000 --> 00:03:10.000]  當我們去問耶穌基督
[00:03:10.000 --> 00:03:12.000]  問祂是否很願意去
[00:03:12.000 --> 00:03:15.000]  永永遠遠毫無條件的去愛我
[00:03:15.000 --> 00:03:16.000]  愛祂
[00:03:16.000 --> 00:03:18.000]  愛世上所有的人
[00:03:18.000 --> 00:03:19.000]  不同的族群
[00:03:19.000 --> 00:03:20.000]  不同的種族的人
