
[00:00:00.000 --> 00:00:04.120]  今天我定信息的主題叫「上帝和你說心」
[00:00:04.120 --> 00:00:08.380]  你可能在說下一句,ok?
[00:00:08.380 --> 00:00:10.500]  心是一個很重要的地方
[00:00:10.500 --> 00:00:12.960]  神和你說「心」是什麼意思呢?
[00:00:12.960 --> 00:00:18.720]  聖經提到人的心是需要好好去守護的
[00:00:18.720 --> 00:00:21.140]  《真言》四章二十三別這樣說
[00:00:21.140 --> 00:00:23.040]  你要保守你的心勝過保守一切
[00:00:23.040 --> 00:00:26.400]  因為一生的果效都是由心發出
[00:00:26.400 --> 00:00:28.380]  當你如果不好好保守你的心的時候
[00:00:28.380 --> 00:00:32.620]  不經不覺你的心就會被不同的東西所佔據
[00:00:32.620 --> 00:00:34.880]  有些不同的東西是隨著你的成長
[00:00:34.880 --> 00:00:39.720]  你的家庭,甚至你的一些經歷
[00:00:39.720 --> 00:00:41.900]  想想你的一些處事手法
[00:00:41.900 --> 00:00:43.640]  可能在你家裏面
[00:00:43.640 --> 00:00:45.720]  你很想你可能是一個媽媽
[00:00:45.720 --> 00:00:48.240]  你很想你老公和你的子女聽你的話
[00:00:48.240 --> 00:00:49.440]  不過他們不聽你的話的時候
[00:00:49.440 --> 00:00:51.040]  你的反應會怎樣?
[00:00:51.040 --> 00:00:54.360]  可能你的心裏面就是那團火就起了
[00:00:54.360 --> 00:00:56.720]  可能你要將行動升級
[00:00:56.720 --> 00:00:59.120]  為了你很想他們聽
[00:00:59.120 --> 00:01:02.520]  不要只說你處事的手法
[00:01:02.520 --> 00:01:03.780]  想想你的價值觀
[00:01:03.780 --> 00:01:05.720]  很多人這樣說
[00:01:05.720 --> 00:01:08.840]  人人都這樣做,沒有問題
[00:01:08.840 --> 00:01:10.760]  你有沒有想想這句話其實有些問題呢?
[00:01:10.760 --> 00:01:12.360]  人人都這樣做,沒有問題
[00:01:12.360 --> 00:01:16.520]  是不是真的沒有問題呢?
[00:01:16.520 --> 00:01:17.560]  我們要承認一件事
[00:01:17.560 --> 00:01:21.080]  今天我們處身在這個世代的時候
[00:01:21.080 --> 00:01:24.680]  文化潮流有時候是令我們
[00:01:24.680 --> 00:01:29.280]  還有一個是我們不經不覺地妥協
[00:01:29.280 --> 00:01:32.880]  面對壓力,人人都有
[00:01:32.880 --> 00:01:36.680]  但面對壓力,內心裏面的鬥爭
[00:01:36.680 --> 00:01:38.240]  是你自己知道的
[00:01:38.240 --> 00:01:39.720]  有人很害怕
[00:01:39.720 --> 00:01:42.040]  很害怕的自己怕自己的失敗
[00:01:42.040 --> 00:01:44.520]  很害怕的別人怎樣看我
[00:01:44.520 --> 00:01:48.520]  很害怕的有沒有人欺負我
[00:01:48.520 --> 00:01:52.760]  怕受苦,怕失敗,怕挑戰
[00:01:52.760 --> 00:01:57.360]  想贏,不能輸
[00:01:57.360 --> 00:02:01.920]  面對壓力,背後我們一些想法
[00:02:01.920 --> 00:02:05.200]  甚至一些處事的模式
[00:02:05.200 --> 00:02:07.280]  你最後選擇的方式
[00:02:07.280 --> 00:02:12.360]  你有沒有想到有沒有和你的信仰產生衝突?
[00:02:12.360 --> 00:02:16.640]  今天當我們說要好好保守你的心
[00:02:16.640 --> 00:02:18.840]  好好保守你自己的心
[00:02:18.840 --> 00:02:21.800]  或者當上帝和你說心的時候
[00:02:21.800 --> 00:02:26.320]  我們每一個人都要誠實面對我們的內心
[00:02:26.320 --> 00:02:30.080]  更重要的是我們要明白上帝的心
[00:02:30.080 --> 00:02:33.400]  他的心究竟在乎什麼
[00:02:33.400 --> 00:02:35.240]  他在看重什麼
[00:02:35.240 --> 00:02:37.800]  你和我有沒有看重?
[00:02:37.800 --> 00:02:39.920]  當我們繼續看《出一腳記》的時候
[00:02:39.920 --> 00:02:42.240]  我想在這裏要特別說一件事
[00:02:42.240 --> 00:02:44.440]  如果你在看《出一腳記》
[00:02:44.440 --> 00:02:47.560]  你只是集中或者你記得
[00:02:47.560 --> 00:02:48.920]  不過大部分人都是這樣說的
[00:02:48.920 --> 00:02:52.960]  我記得就是神跡,過紅海,頒布十價
[00:02:52.960 --> 00:02:57.840]  但是卻忽略了神透過建造會幕
[00:02:57.840 --> 00:03:02.160]  其實是在建造他的心意
[00:03:02.160 --> 00:03:04.760]  所以我們有時候,正如我剛才所說
[00:03:04.760 --> 00:03:07.480]  看到會幕,因為我們不明白
[00:03:07.480 --> 00:03:12.480]  我們甚至覺得那麼長氣,那麼多章
[00:03:12.480 --> 00:03:15.400]  神透過摩西向以色列人納約
[00:03:15.400 --> 00:03:18.160]  摩西不單單作為上帝的代表
[00:03:18.160 --> 00:03:19.240]  《經文》更提及到
[00:03:19.240 --> 00:03:22.560]  摩西同時作為以色列民的代表
[00:03:22.560 --> 00:03:24.560]  摩西作為雙方的代表之下
[00:03:24.560 --> 00:03:26.400]  在《出一腳記》的二十四章
[00:03:26.400 --> 00:03:30.280]  就記載了摩西帶領以色列人
[00:03:30.280 --> 00:03:32.240]  納約的整個過程
[00:03:32.240 --> 00:03:34.720]  我們來看看
[00:03:34.720 --> 00:03:37.280]  很快我們來看看《出一腳記》的二十四章
[00:03:37.280 --> 00:03:40.000]  一至三節和九至十一節
[00:03:40.000 --> 00:03:41.000]  耶和對摩西說
[00:03:41.000 --> 00:03:44.160]  你和阿倫拿搭阿比乎並以色列長老中的七十人
[00:03:44.160 --> 00:03:47.200]  都要上到我這裏來,遠遠地下拜
[00:03:47.200 --> 00:03:49.000]  唯獨你可以親近耶和華
[00:03:49.000 --> 00:03:50.400]  他們卻不可親近
[00:03:50.400 --> 00:03:53.360]  百姓也不可和你一同上來
[00:03:53.360 --> 00:03:54.120]  摩西下山
