
[00:00:00.000 --> 00:00:03.400]  好,弟子姐妹,讓我們在聆聽主的說話之前
[00:00:03.400 --> 00:00:07.000]  我們再次同心低頭禱告仰望愛主愛的一神
[00:00:07.000 --> 00:00:12.600]  父神多謝祢讓我們有生命有氣息
[00:00:12.600 --> 00:00:17.400]  也讓我們活在一個非常漂亮的國度裏面
[00:00:17.400 --> 00:00:19.800]  讓我們知道在運行的當中
[00:00:19.800 --> 00:00:22.400]  我們應當怎樣在上主裏面
[00:00:22.400 --> 00:00:25.200]  踏著重棧來活在其中
[00:00:25.200 --> 00:00:29.400]  但頑固在今天我們仍活在地上的時候
[00:00:29.800 --> 00:00:33.400]  上主祢讓我們看見這個世界是充滿罪惡
[00:00:33.400 --> 00:00:37.000]  人性的醜惡,人性的詭詐
[00:00:37.000 --> 00:00:42.200]  甚至在親屬的之間也都能夠
[00:00:42.200 --> 00:00:46.400]  顯出人怎樣互相的攻姦彼此
[00:00:46.400 --> 00:00:48.600]  好在我們在這個世界
[00:00:48.600 --> 00:00:51.600]  見到一個這麼恐怖的世界的時候
[00:00:51.600 --> 00:00:55.400]  上帝祢讓我們促成我們更深的思想
[00:00:55.800 --> 00:01:04.000]  究竟我們在上帝的倉庫裏面從來有沒有去感恩上主祢的賦予呢?
[00:01:04.000 --> 00:01:07.000]  頑固今天的世界的每一個人
[00:01:07.000 --> 00:01:11.400]  為著自己的喜好,為著自己的利益而奔走
[00:01:11.400 --> 00:01:15.800]  上主求祢幫助我們,我們一班屬祢的子民
[00:01:15.800 --> 00:01:21.600]  讓我們每一個都能夠真真正正能夠活出有上主祢的生命樣式
[00:01:21.600 --> 00:01:24.400]  讓我們體貼上帝祢的心腸
[00:01:24.400 --> 00:01:26.400]  好想我們能夠在這個地上
[00:01:26.400 --> 00:01:30.600]  雖然按照祢的意願來活
[00:01:30.600 --> 00:01:35.200]  並不是容易一件的事,甚至可能會受到遭害
[00:01:35.200 --> 00:01:39.000]  但是求主祢讓我們明白到
[00:01:39.000 --> 00:01:42.800]  只要我們活出一個上主祢喜悅的生命
[00:01:42.800 --> 00:01:45.800]  主祢是最大的喜樂
[00:01:45.800 --> 00:01:52.800]  讓我們能夠在其中以上帝祢的喜悅為我們中心
[00:01:52.800 --> 00:01:55.600]  走在這條屬靈的人生的路上
[00:01:55.600 --> 00:01:59.200]  讓今天的講道,無論聽的、講的
[00:01:59.200 --> 00:02:02.400]  生命也能夠得到更深化
[00:02:02.400 --> 00:02:05.800]  求祢的帶領我們同心的禱告
[00:02:05.800 --> 00:02:09.800]  奉靠主耶穌基督得勝的名字而求
[00:02:09.800 --> 00:02:10.800]  阿們
