
[00:00:00.000 --> 00:00:02.000]  說這些故事是很開心的
[00:00:02.000 --> 00:00:05.600]  昨天說了藥室的採醫與發夢
[00:00:05.600 --> 00:00:09.600]  今天的聖經人聖經事生命說書網絡為大家預備的
[00:00:09.600 --> 00:00:12.600]  就是上主的手在帶領
[00:00:12.600 --> 00:00:14.800]  我們看聖經的人或聖經的事
[00:00:14.800 --> 00:00:20.000]  最重要看到背後上帝的手在做什麼
[00:00:20.000 --> 00:00:24.600]  昨天藥室又有採醫又發夢
[00:00:24.600 --> 00:00:26.800]  上帝的手你看到什麼
[00:00:26.800 --> 00:00:29.800]  上帝的手是帶領藥室
[00:00:29.800 --> 00:00:36.800]  他有一個出生的困境是什麼呢
[00:00:36.800 --> 00:00:41.800]  小,而且爸爸疼愛,有件採醫,害死他了
[00:00:41.800 --> 00:00:46.800]  他又不會做,不會死,不斷說哥哥的壞話
[00:00:46.800 --> 00:00:51.800]  還有一點點直和高傲
[00:00:51.800 --> 00:00:55.800]  你向我下拜,爸媽都向我下拜
[00:00:55.800 --> 00:00:58.800]  我的夢是這樣的,你們要拜我的
[00:00:58.800 --> 00:01:02.800]  你不是說哪位,排第幾
[00:01:02.800 --> 00:01:05.800]  如果以兄弟來說,你排第十一
[00:01:05.800 --> 00:01:09.800]  不要以為你很厲害,不是一,是十一
[00:01:09.800 --> 00:01:12.800]  所以哥哥不喜歡他
[00:01:12.800 --> 00:01:20.800]  不過上帝的手一直帶著藥室在他身上發生很多事
[00:01:20.800 --> 00:01:25.800]  我們看到上帝的手在藥室身上做什麼
[00:01:25.800 --> 00:01:30.800]  創世紀三十七章,繼續說創世紀十二節
[00:01:30.800 --> 00:01:35.800]  藥室的哥哥往事件去放他父親的羊
[00:01:35.800 --> 00:01:39.800]  以色列就是雅各對藥室說
[00:01:39.800 --> 00:01:43.800]  你哥哥們不是在事件放羊嗎
[00:01:43.800 --> 00:01:46.800]  你來,我要打發你往他們那裡去
[00:01:46.800 --> 00:01:48.800]  藥室說我在這裡
[00:01:48.800 --> 00:01:52.800]  藥室這裡都很乖,爸爸說藥室你來
[00:01:52.800 --> 00:01:54.800]  藥室說我來,我在這裡
[00:01:54.800 --> 00:01:56.800]  蠻有趣的
[00:01:56.800 --> 00:02:00.800]  藥室的哥哥去了事件放父親的羊
[00:02:00.800 --> 00:02:02.800]  藥室有沒有去呢
[00:02:02.800 --> 00:02:05.800]  沒有,藥室不用去
[00:02:05.800 --> 00:02:08.800]  你說哥哥是不是很生氣
[00:02:08.800 --> 00:02:13.800]  真的,爸爸真的很偏心
[00:02:13.800 --> 00:02:19.800]  我們出來日曬雨淋,辛苦到極
[00:02:19.800 --> 00:02:21.800]  也沒有一口好吃
[00:02:21.800 --> 00:02:24.800]  有時候跟野獸搏鬥
[00:02:24.800 --> 00:02:28.800]  他就好,不用出來
[00:02:28.800 --> 00:02:31.800]  留意一下,是上帝的工作
[00:02:31.800 --> 00:02:35.800]  是令到雅各的心很不安
[00:02:35.800 --> 00:02:38.800]  不安就是神的手在後面做事
[00:02:38.800 --> 00:02:40.800]  怎樣不安呢
[00:02:40.800 --> 00:02:46.800]  聽說你的哥哥去了事件放羊
[00:02:46.800 --> 00:02:49.800]  你跟我去看看他們
[00:02:49.800 --> 00:02:51.800]  藥室都孝順的
[00:02:51.800 --> 00:02:54.800]  在這裡,爸爸叫我一定做的
[00:02:54.800 --> 00:02:56.800]  以色列雅各就說
[00:02:56.800 --> 00:02:59.800]  留意一下,你去看看你的哥哥們
[00:02:59.800 --> 00:03:01.800]  平安不平安
[00:03:01.800 --> 00:03:03.800]  群羊平安不平安
[00:03:03.800 --> 00:03:07.800]  然後回來報信給我
[00:03:07.800 --> 00:03:12.800]  這樣很有趣,有點無稽
[00:03:12.800 --> 00:03:16.800]  你去看看他們平不平安
[00:03:16.800 --> 00:03:18.800]  我掛著他們,看他們平不平安
[00:03:18.800 --> 00:03:21.800]  看看羊平不平安回來告訴我
[00:03:21.800 --> 00:03:24.800]  其實是不必的
[00:03:24.800 --> 00:03:27.800]  我認為沒有什麼需要
[00:03:27.800 --> 00:03:29.800]  也沒有實效的
[00:03:29.800 --> 00:03:32.800]  因為如果兒子有一個損傷
[00:03:32.800 --> 00:03:36.800]  有些羊被野獸吃了或者被人搶了
[00:03:36.800 --> 00:03:38.800]  十個兒子,十個哥哥
[00:03:38.800 --> 00:03:41.800]  一定會有人回來報信
[00:03:41.800 --> 00:03:42.800]  而且不只是十個
[00:03:42.800 --> 00:03:45.800]  有些牧羊人跟著去
[00:03:45.800 --> 00:03:47.800]  一定有人回來報信
[00:03:47.800 --> 00:03:50.800]  其實不用去找他們
[00:03:50.800 --> 00:03:53.800]  他就說你去找他們
[00:03:53.800 --> 00:03:55.800]  我真的掛著他們
[00:03:55.800 --> 00:03:57.800]  看他們平安不平安
[00:03:57.800 --> 00:03:58.800]  然後回來報信
[00:03:58.800 --> 00:04:00.800]  我想知道
[00:04:00.800 --> 00:04:03.800]  其實會不會
[00:04:03.800 --> 00:04:08.800]  雅各也想藥室出去闖蕩呢
