
[00:00:00.000 --> 00:00:03.880]  我們一同低頭祈禱
[00:00:03.880 --> 00:00:07.000]  天父感謝祢讓我們眾弟兄姊妹
[00:00:07.000 --> 00:00:12.240]  在復活的清晨能夠來到祢的面前
[00:00:12.240 --> 00:00:16.160]  主耶穌昔日祢怎樣向瑪利亞顯現
[00:00:16.160 --> 00:00:18.800]  求主都向這班來到祢面前
[00:00:18.800 --> 00:00:21.560]  稱心敬拜祢的人顯現
[00:00:21.560 --> 00:00:24.000]  讓我們得著這個喜樂
[00:00:24.000 --> 00:00:26.680]  得著祢自己給我們的訊息
[00:00:26.680 --> 00:00:28.560]  願祢出去告訴人聽
[00:00:28.560 --> 00:00:30.960]  主已經復活了
[00:00:30.960 --> 00:00:32.520]  所以聽我們的禱告
[00:00:32.520 --> 00:00:35.160]  願聖靈在我們中間運行
[00:00:35.160 --> 00:00:38.240]  讓我們能夠從你的懷疑中間
[00:00:38.240 --> 00:00:40.840]  領受、學習、得益
[00:00:40.840 --> 00:00:42.560]  奉耶穌名字祈求
[00:00:42.560 --> 00:00:43.560]  阿們
[00:00:58.840 --> 00:01:00.920]  包括了聽碟
[00:01:00.920 --> 00:01:02.160]  去現場
[00:01:02.160 --> 00:01:04.200]  在大的歌劇院聽
[00:01:04.200 --> 00:01:11.160]  最近一次就是在機場的博覽館那裡
[00:01:11.160 --> 00:01:14.000]  聽四百人唱
[00:01:14.000 --> 00:01:19.040]  但我相信瑪利亞在復活節的清晨
[00:01:19.040 --> 00:01:20.760]  她所得到的訊息
[00:01:20.760 --> 00:01:24.960]  就是她親眼見到
[00:01:24.960 --> 00:01:26.560]  或者可以這麼說
[00:01:26.560 --> 00:01:29.600]  她親耳聽到主的聲音
[00:01:29.600 --> 00:01:31.680]  主耶穌
[00:01:31.680 --> 00:01:34.560]  我相信我不應該用復活這兩個字
[00:01:34.560 --> 00:01:37.480]  應該說主耶穌永活了
[00:01:37.480 --> 00:01:40.760]  因為用復活的字以為死過翻生
[00:01:40.760 --> 00:01:43.960]  耶穌復活不是單單死過翻生
[00:01:43.960 --> 00:01:48.000]  耶穌復活是死了然後永活
[00:01:48.000 --> 00:01:51.400]  這是我們要傳的訊息
[00:01:51.400 --> 00:01:55.360]  你說耶穌受難死
[00:01:55.360 --> 00:01:57.840]  祂會復活
[00:01:57.840 --> 00:02:01.440]  這個訊息到底有多少人信
[00:02:01.440 --> 00:02:03.960]  而信的人是怎樣呢?
[00:02:03.960 --> 00:02:05.960]  我可以跟弟兄姊妹說
[00:02:05.960 --> 00:02:07.120]  今時今日的光景
[00:02:07.120 --> 00:02:10.200]  跟適合門徒們的光景沒有什麼分別
[00:02:10.200 --> 00:02:11.800]  門徒們都是聽了
[00:02:11.800 --> 00:02:13.080]  信不信?信
[00:02:13.080 --> 00:02:15.320]  不過知不知道就知道
[00:02:15.320 --> 00:02:16.600]  信多少呢?
[00:02:16.600 --> 00:02:17.920]  耶穌說你們去加里尼
[00:02:17.920 --> 00:02:20.160]  他們叫我等在耶路撒冷
[00:02:20.160 --> 00:02:23.000]  就是聽了其實沒有行動
[00:02:23.000 --> 00:02:28.160]  還有祭司長民事化理賽人
[00:02:28.160 --> 00:02:29.480]  他們信不信?
[00:02:29.480 --> 00:02:31.440]  他們知道的
[00:02:31.440 --> 00:02:33.120]  如果不是祭司長
[00:02:33.120 --> 00:02:36.120]  為什麼要吩咐那些人
[00:02:36.120 --> 00:02:37.880]  跟比拉多說
[00:02:37.880 --> 00:02:41.800]  不如派重兵去駐守那個墓穴
[00:02:41.800 --> 00:02:46.720]  因為聽說他曾經說過三天會復活
[00:02:46.720 --> 00:02:48.200]  當時祭司長說
[00:02:48.200 --> 00:02:51.480]  恐怕那些門徒會盜屍
[00:02:51.480 --> 00:02:52.720]  其實他都有點害怕
[00:02:52.720 --> 00:02:54.480]  他們知道的
[00:02:54.480 --> 00:02:55.680]  怎樣呢?
[00:02:55.680 --> 00:02:57.800]  就算耶穌復活之後
[00:02:57.800 --> 00:03:00.320]  他們就用掩口費
