
[00:00:00.000 --> 00:00:03.360]  那怎麼去明白《約伯記》呢?
[00:00:03.360 --> 00:00:07.100]  《約伯記》是自慰的書
[00:00:07.100 --> 00:00:10.900]  就是算是自慰的自慰書
[00:00:10.900 --> 00:00:12.700]  所以是wisdom literature
[00:00:12.700 --> 00:00:15.400]  那就不是普通的先知書
[00:00:15.400 --> 00:00:18.380]  也都不是舊歷歷史的一部分
[00:00:18.380 --> 00:00:27.740]  那我覺得其中一個最關鍵去明白《約伯記》的
[00:00:27.740 --> 00:00:28.940]  就是第一章
[00:00:28.940 --> 00:00:33.900]  整本《約伯記》其實都是建基於第一章
[00:00:33.900 --> 00:00:41.180]  第一章基本上就是上帝和撒旦去做一個打賭
[00:00:41.180 --> 00:00:47.980]  所以有人說《約伯記》是關於受苦
[00:00:47.980 --> 00:00:50.700]  其實再基本一點
[00:00:50.700 --> 00:00:56.020]  其實《約伯記》是上帝和撒旦的一個賭博
[00:00:56.020 --> 00:01:01.620]  賭博就是說在約伯
[00:01:01.620 --> 00:01:03.620]  這個不是普通的天災人禍
[00:01:03.620 --> 00:01:10.900]  是上帝容許撒旦去攻擊約伯的時候
[00:01:10.900 --> 00:01:18.500]  約伯究竟會不會拒絕上帝、詛咒上帝
[00:01:18.500 --> 00:01:28.260]  還是約伯儘管在他的苦難當中仍然會堅信上帝是真神
[00:01:28.260 --> 00:01:30.140]  也都敬拜他呢?
[00:01:30.140 --> 00:01:33.860]  當然雖然中間有很多東西我們會說
[00:01:33.860 --> 00:01:35.460]  約伯是不是失去信心那些
[00:01:35.460 --> 00:01:37.660]  我想你看那個結局你知道
[00:01:37.660 --> 00:01:42.820]  其實上帝一直都是相信約伯是忠心於他
[00:01:42.820 --> 00:01:46.580]  而他最後是有忠心於他的
[00:01:46.580 --> 00:01:51.140]  你說我們作為基督徒怎麼去明白《約伯記》呢?
[00:01:51.140 --> 00:01:56.140]  第一《約伯記》是一個我們叫做二人受苦
[00:01:56.140 --> 00:01:59.740]  這個當然是耶穌基督的一個影子
[00:01:59.740 --> 00:02:04.820]  但是更加另外一個層次
[00:02:04.820 --> 00:02:07.940]  就是它是新約教會的影子
[00:02:07.940 --> 00:02:11.980]  如果你看看這個啟示裡面的教會
[00:02:11.980 --> 00:02:15.300]  就是被撒旦去攻擊
[00:02:15.300 --> 00:02:19.620]  甚至整個新約裡面所說的都是
[00:02:19.620 --> 00:02:25.620]  說的是上帝的教會是會被撒旦不斷的攻擊
[00:02:25.620 --> 00:02:28.540]  這個是耶穌自己的預言
[00:02:28.540 --> 00:02:30.540]  就是世界會恨你
[00:02:30.540 --> 00:02:33.500]  空中掌權就會攻擊你等等
[00:02:33.500 --> 00:02:38.540]  而上帝是知道這一切也是掌管這一切
[00:02:38.540 --> 00:02:43.580]  而最後上帝的勝利就是當他的教會屬於他的人
[00:02:43.580 --> 00:02:47.900]  就是堅持去敬拜他
[00:02:47.900 --> 00:02:49.900]  甚至奉上自己的生命
[00:02:49.900 --> 00:02:53.420]  如果你想一下啟示錄的主旨就是
[00:02:53.420 --> 00:02:55.420]  忍耐到底必然得救
[00:02:55.420 --> 00:02:59.580]  就是忠心於他的
[00:02:59.580 --> 00:03:01.180]  就是最後生天生地的
[00:03:01.180 --> 00:03:02.540]  忠心於他的
[00:03:02.540 --> 00:03:04.540]  他有復活有永生
[00:03:04.540 --> 00:03:06.860]  這些和《約伯記》很相似的
[00:03:06.860 --> 00:03:11.260]  其實《約伯記》到最後上帝使他復活
[00:03:11.260 --> 00:03:14.780]  因為他所失去的東西全部都給了他
[00:03:14.780 --> 00:03:15.580]  還有更多
[00:03:15.580 --> 00:03:17.580]  這些完全是一個影子
[00:03:17.580 --> 00:03:19.580]  對於基督徒來說
[00:03:19.580 --> 00:03:23.100]  這些復活這些賞賜
[00:03:23.100 --> 00:03:25.500]  都會是實現的
[00:03:25.500 --> 00:03:28.140]  但不是在今生的實現裡面
[00:03:28.140 --> 00:03:29.420]  而是來生
[00:03:29.420 --> 00:03:32.860]  如果當你去明白這樣的一個paradigm的話
[00:03:32.860 --> 00:03:37.180]  你會發現原來《約伯記》是在說我們
[00:03:37.180 --> 00:03:40.060]  當然所謂的我們就是
[00:03:40.060 --> 00:03:45.100]  真基督徒真是去忠心的基督徒
[00:03:45.100 --> 00:03:49.820]  但也都是明顯的去指向
[00:03:49.820 --> 00:03:52.540]  我們今生會有苦楚
[00:03:52.540 --> 00:03:54.540]  而這個苦楚不是普通的苦楚
[00:03:54.540 --> 00:03:57.820]  而是被世界的拒絕
[00:03:57.820 --> 00:03:59.260]  被撒旦的攻擊
[00:03:59.260 --> 00:04:02.860]  這個當然就是在信仰裡面
[00:04:02.860 --> 00:04:06.140]  保羅好像和提摩太郎的關係
[00:04:06.140 --> 00:04:12.780]  定義立志要敬虔的人
[00:04:12.780 --> 00:04:14.780]  必被逼白
[00:04:14.780 --> 00:04:16.300]  就是這樣的東西
[00:04:16.300 --> 00:04:21.820]  希望這個給你一個大圖畫去明白《約伯記》
[00:04:21.820 --> 00:04:25.420]  是一個非常重要
[00:04:25.420 --> 00:04:28.380]  非常值得我們去思考的一本書
