
[00:00:00.000 --> 00:00:03.000]  各位弟子妹,午安,我們一齊祈禱
[00:00:03.000 --> 00:00:08.000]  慈悲仁愛的天父,多謝你讓我們能夠透過約翰福音
[00:00:08.000 --> 00:00:16.000]  了解你所猜探的主耶穌基督,神的愛子,為我們所做的一切
[00:00:16.000 --> 00:00:19.000]  特別我們今天很想透過一個大神的經歷
[00:00:19.000 --> 00:00:25.000]  讓我們看到從看見,從相信到看見的一個過程
[00:00:25.000 --> 00:00:31.000]  要我們凡信的就能夠不致滅亡,並且能夠凡得永生
[00:00:31.000 --> 00:00:36.000]  也讓我們能夠有一個開放的心,謙卑的耳朵,去聆聽你寶貴的道
[00:00:36.000 --> 00:00:43.000]  幫助孩子講解你的說話清楚和明白,我們一同去到謙卑領受
[00:00:43.000 --> 00:00:46.000]  奉耶穌基督的名字祈禱,阿們
[00:00:46.000 --> 00:00:55.000]  今天和大家一齊去到思想的經文,就是來自約翰福音四章四十三到五十四節的經文
[00:00:55.000 --> 00:00:59.000]  我想大家讀過約翰福音的時候,你就會一定
[00:00:59.000 --> 00:01:03.000]  看一下先,應該要讀讀,可能要幫我按一按
[00:01:03.000 --> 00:01:08.000]  去到下一章的螢光幕,我們都會明白整個約翰福音的第四章
[00:01:08.000 --> 00:01:13.000]  我想最出名的那段經歷,應該就是撒瑪利亞婦人
[00:01:13.000 --> 00:01:17.000]  在井旁和耶穌傾計的那段故事
[00:01:17.000 --> 00:01:23.000]  這段故事,大家記得撒瑪利亞婦人有五個老公
[00:01:23.000 --> 00:01:27.000]  大家有印象,現在那個不是她的老公
[00:01:27.000 --> 00:01:33.000]  類似這樣的情況,就讓當時撒瑪利亞的村莊很多人
[00:01:33.000 --> 00:01:35.000]  就因為這樣去到相信了耶穌基督
[00:01:35.000 --> 00:01:39.000]  我先講講那個經歷,那個經歷就是一個路程
[00:01:39.000 --> 00:01:43.000]  那個路程就是由第四章的第三節,有一句說話
[00:01:43.000 --> 00:01:50.000]  就是說耶穌離開了猶大這個地方,然後去到加利利
