
[00:00:00.000 --> 00:00:04.160]  今日好高興要同大家開始一部新的書本
[00:00:04.160 --> 00:00:06.160]  就是《約書亞記》
[00:00:06.160 --> 00:00:09.360]  今年我們粵語堂會講兩部書
[00:00:09.360 --> 00:00:12.240]  一部是舊約,一部是新約
[00:00:12.240 --> 00:00:14.560]  舊約就是《約書亞記》
[00:00:14.560 --> 00:00:17.600]  新約就是《使徒行傳》
[00:00:17.600 --> 00:00:22.400]  我今日要講《約書亞記》的介紹
[00:00:22.400 --> 00:00:26.240]  我叫它為何要讀《約書亞記》
[00:00:26.240 --> 00:00:31.360]  大家,弟兄姊妹可能見到這個題目會覺得很熟口熟面
[00:00:31.360 --> 00:00:33.920]  我每講一部書的介紹
[00:00:33.920 --> 00:00:39.040]  我都叫那個題目為何要讀什麼書
[00:00:39.040 --> 00:00:42.880]  就好像今日為何要讀《約書亞記》
[00:00:42.880 --> 00:00:45.440]  為何要讀《耶利米哀歌》
[00:00:45.440 --> 00:00:48.240]  為何要讀《所羅門之歌》
[00:00:48.240 --> 00:00:52.320]  其實這些介紹是一個中覽
[00:00:52.320 --> 00:00:56.000]  如果你只想知道這部書是講什麼
[00:00:56.000 --> 00:00:59.520]  或者你想知道這部書的主題是什麼
[00:00:59.520 --> 00:01:01.520]  有什麼重點
[00:01:01.520 --> 00:01:04.720]  你只要聽這個介紹就可以了
[00:01:04.720 --> 00:01:07.520]  但如果你想深入了解這部書
[00:01:07.520 --> 00:01:09.520]  你要明白這部書的話
[00:01:09.520 --> 00:01:14.880]  你就需要聽完所有系列的訊息
[00:01:14.880 --> 00:01:19.840]  我數一數,其實我已經講了聖經裡面的28部書
[00:01:19.840 --> 00:01:23.200]  66部的書我講了28部
[00:01:23.200 --> 00:01:26.160]  我求神讓我有生之年
[00:01:26.160 --> 00:01:32.560]  有這樣的福分能夠講完全部66部書
[00:01:32.560 --> 00:01:37.520]  《約書亞記》就是舊約裡面的第六部書
[00:01:37.520 --> 00:01:42.160]  是創出利民生的第六部
[00:01:42.160 --> 00:01:44.160]  在《生命記》的結尾
[00:01:44.160 --> 00:01:46.720]  我們知道摩西去世
[00:01:46.720 --> 00:01:49.200]  約書亞就順理成章
[00:01:49.200 --> 00:01:51.520]  成為以色列人的領袖
[00:01:51.520 --> 00:01:54.400]  成為摩西的接班人
[00:01:54.400 --> 00:01:57.120]  但我們知道很有趣的事
[00:01:57.120 --> 00:02:00.400]  就是約書亞記是跟著《生命記》
[00:02:00.400 --> 00:02:04.720]  猶太人一年一度會在會堂讀《生命記》
[00:02:04.720 --> 00:02:08.320]  但他們不會在會堂讀約書亞記
[00:02:08.320 --> 00:02:09.680]  為什麼呢?
[00:02:09.680 --> 00:02:11.040]  要明白
[00:02:11.040 --> 00:02:15.840]  我們要知道猶太人聖經的結構是怎樣的
[00:02:15.840 --> 00:02:18.400]  我們手頭上的聖經
[00:02:18.400 --> 00:02:20.960]  一開始就是摩西吾經
[00:02:20.960 --> 00:02:27.360]  創世紀、出埃及紀、利美紀、文素紀和《生命記》
[00:02:27.360 --> 00:02:28.880]  摩西吾經之後
[00:02:28.880 --> 00:02:31.760]  我們的聖經就是歷史書
[00:02:31.760 --> 00:02:34.400]  第一部就是約書亞紀
[00:02:34.400 --> 00:02:37.280]  所以《生命記》之後就是約書亞紀
[00:02:37.280 --> 00:02:39.680]  約書亞紀是跟著《生命記》
[00:02:39.680 --> 00:02:42.480]  跟著有《時詩紀》、《路德紀》
[00:02:42.480 --> 00:02:45.280]  《撒姆爾上下》、《列王紀向下》
[00:02:45.280 --> 00:02:49.520]  《歷代至上下》、《以斯帖》、《以斯拉》、《尼希米》
[00:02:49.520 --> 00:02:52.720]  一共是十二部歷史書
[00:02:52.720 --> 00:02:56.240]  跟著歷史書的就是智慧書
[00:02:56.240 --> 00:03:01.280]  《詩篇》、《針研》、《約伯記》、《傳道書》和《雅歌》
[00:03:01.280 --> 00:03:05.040]  我們已經說了《針研》和《雅歌》
[00:03:05.040 --> 00:03:08.080]  猶太人也有他們的智慧書
[00:03:08.080 --> 00:03:09.840]  叫做《寫作》
[00:03:09.840 --> 00:03:12.880]  在猶太人的《寫作》
[00:03:12.880 --> 00:03:16.320]  除了我們手頭上的五部智慧書
[00:03:16.320 --> 00:03:19.680]  他們也有《哀歌》、《路德紀》、
[00:03:19.680 --> 00:03:23.040]  《以斯帖》、《以斯拉》、《尼希米》
[00:03:23.040 --> 00:03:26.960]  還有《但爾利書》和《歷代至上下》
[00:03:26.960 --> 00:03:27.680]  很有趣
[00:03:27.680 --> 00:03:30.320]  我們很多放在歷史書的
[00:03:30.320 --> 00:03:32.320]  他們也都放在寫作上
[00:03:32.320 --> 00:03:36.080]  甚至我們認為是先知書的《但爾利書》
[00:03:36.080 --> 00:03:39.280]  他們也都放在寫作上
[00:03:39.280 --> 00:03:44.160]  接下來的部分就是先知書
[00:03:44.160 --> 00:03:48.480]  我們手頭上的聖經就分開大小先知書
[00:03:48.480 --> 00:03:52.080]  我跟大家說12先知書的時候也說過
[00:03:52.080 --> 00:03:55.440]  12先知書的小先知書不是說不重要
[00:03:55.440 --> 00:03:57.280]  所以叫做小先知書
[00:03:57.280 --> 00:03:59.680]  是因為篇幅比較小
[00:03:59.680 --> 00:04:01.680]  大先知書是有
[00:04:01.680 --> 00:04:04.960]  《以賽雅》、《耶利米》、《耶利米哀歌》、
[00:04:04.960 --> 00:04:07.840]  《以西傑書》和《但爾利書》
[00:04:07.840 --> 00:04:11.280]  小先知書就是12部先知書
[00:04:11.280 --> 00:04:15.920]  你見到5部《摩西吾經》、12部歷史書
[00:04:15.920 --> 00:04:20.960]  5部智慧書、5部大先知書、12部小先知書
[00:04:20.960 --> 00:04:23.760]  剛剛就是39部書
[00:04:23.760 --> 00:04:26.880]  猶太人也有他們的先知書
[00:04:26.880 --> 00:04:28.560]  不是分開大小
[00:04:28.560 --> 00:04:30.880]  是分開前後
[00:04:30.880 --> 00:04:37.200]  前先知書就是我們今天要讀的《約書亞記》
[00:04:37.200 --> 00:04:42.640]  然後就是《史詩記》、《撒姆爾上下》、《獵王記上下》
