
[00:00:00.000 --> 00:00:03.840]  感恩我們可以聚集一齊敬拜
[00:00:03.840 --> 00:00:08.640]  也很感恩我們可以有很好的詩歌
[00:00:08.640 --> 00:00:16.400]  大家一起透過詩歌來唱出我們的重贊和感恩
[00:00:16.400 --> 00:00:20.040]  我不知道大家在剛才那些詩歌的時間
[00:00:20.040 --> 00:00:22.440]  那個投入程度是怎樣的呢?
[00:00:22.440 --> 00:00:26.000]  因為已經一整年不能這樣一起唱歌
[00:00:26.000 --> 00:00:28.840]  就好像已經不是很習慣唱歌了
[00:00:28.840 --> 00:00:31.400]  我剛才偷看了一下
[00:00:31.400 --> 00:00:34.800]  看看有多少弟兄姊妹剛才有唱歌的呢?
[00:00:34.800 --> 00:00:37.680]  我想只有一半吧
[00:00:37.680 --> 00:00:40.920]  我不知道你們有沒有唱出聲音
[00:00:40.920 --> 00:00:44.080]  現在又說要戴口罩才可以唱歌
[00:00:44.080 --> 00:00:48.600]  又要離開其他人四米才可以唱歌
[00:00:48.600 --> 00:00:50.920]  找我們來搞吧
[00:00:50.920 --> 00:00:53.360]  我們又很想多些人一起聚集崇拜
[00:00:53.360 --> 00:00:56.160]  但是人多的時候又不夠四米了
[00:00:56.160 --> 00:00:59.440]  我們想來想去鼓勵大家來唱歌
[00:00:59.440 --> 00:01:04.520]  但是尤其是早堂我們是坐得最多人的
[00:01:04.520 --> 00:01:06.800]  坐著坐著不夠四米了
[00:01:06.800 --> 00:01:08.920]  那怎樣好呢?唱好還是不唱好呢?
[00:01:08.920 --> 00:01:10.480]  還是說現在開始唱歌了
[00:01:10.480 --> 00:01:12.960]  如果你周圍有人你就不准唱
[00:01:12.960 --> 00:01:15.560]  你周圍的人太近的話
[00:01:15.560 --> 00:01:17.160]  你就在外面才唱
[00:01:17.160 --> 00:01:18.840]  在裡面不准唱
[00:01:18.840 --> 00:01:22.520]  還是說我們已經夠人了
[00:01:22.520 --> 00:01:25.560]  可以唱歌的座位已經滿了
[00:01:25.560 --> 00:01:28.160]  其他人請你不要進來了
[00:01:28.160 --> 00:01:32.160]  那怎樣搞好呢?搞到我們的教會真的很頭疼
[00:01:32.160 --> 00:01:34.760]  希望政府聰明一點
[00:01:34.760 --> 00:01:38.560]  我不是詛咒他
[00:01:38.560 --> 00:01:40.960]  而是有時候很難明白的就是
[00:01:40.960 --> 00:01:44.160]  在其他地方是沒有這些限制的
[00:01:44.160 --> 00:01:45.320]  你怎麼叫都可以
[00:01:45.320 --> 00:01:46.880]  抱頭抱脖子
[00:01:46.880 --> 00:01:50.920]  拿著杯子到處跟人聊天
[00:01:50.920 --> 00:01:52.240]  噴口水
[00:01:52.240 --> 00:01:53.360]  吹水
[00:01:53.360 --> 00:01:54.960]  什麼水都出來了
[00:01:54.960 --> 00:01:55.960]  是可以的
[00:01:55.960 --> 00:01:59.280]  在崇拜的時候又說不可以
[00:01:59.280 --> 00:02:02.760]  請大家懇切為政府祈禱
[00:02:02.760 --> 00:02:04.680]  希望他們聰明一點
[00:02:04.680 --> 00:02:08.280]  不要搞一些這麼不一致的政策出來
[00:02:08.280 --> 00:02:09.960]  這裡准,那裡不准
[00:02:09.960 --> 00:02:12.800]  其實如果這裡准,那裡不准的時候
[00:02:12.800 --> 00:02:16.280]  對於整個衛生沒有什麼大貢獻的
[00:02:16.280 --> 00:02:17.560]  就算這些人不准
[00:02:17.560 --> 00:02:19.200]  但是其他人准的時候
[00:02:19.200 --> 00:02:21.400]  如果真的有這些病毒
[00:02:21.400 --> 00:02:23.920]  他一樣到處傳播的
[00:02:23.920 --> 00:02:26.680]  所以求神幫助我們
[00:02:26.680 --> 00:02:28.720]  以及我們的政府聰明一點
[00:02:28.720 --> 00:02:30.760]  也幫助我們究竟怎麼處理好
[00:02:30.760 --> 00:02:32.600]  一會兒准唱,一會兒不准唱
[00:02:32.600 --> 00:02:34.560]  現在唱了,戴口罩
[00:02:34.560 --> 00:02:35.360]  大家走開一點
[00:02:35.360 --> 00:02:37.240]  這裡還有很多位置
[00:02:37.240 --> 00:02:38.960]  唱完了,你可以脫下口罩
[00:02:38.960 --> 00:02:41.160]  你又可以坐在一起了
[00:02:41.160 --> 00:02:43.560]  就是讚教了
[00:02:43.560 --> 00:02:46.120]  我們無論如何
[00:02:46.120 --> 00:02:50.880]  都很珍惜可以一起敬拜的時間
[00:02:50.880 --> 00:02:53.440]  無論你唱大聲,唱小聲
[00:02:53.440 --> 00:02:55.920]  心裡面唱不唱出聲
[00:02:55.920 --> 00:02:58.120]  有時候我又不是說偷雞的
