
[00:00:00.000 --> 00:00:03.000]  我在青年團契的時候
[00:00:03.000 --> 00:00:08.000]  導師經常介紹我們看一本書
[00:00:08.000 --> 00:00:13.000]  那本書的名字是很吸引我的
[00:00:13.000 --> 00:00:16.000]  那時候我看不明白
[00:00:16.000 --> 00:00:20.000]  現在就會比較明白一點
[00:00:20.000 --> 00:00:25.000]  是一本很薄的書
[00:00:25.000 --> 00:00:33.000]  是由一位在英國非常出名的一位文學家
[00:00:33.000 --> 00:00:38.000]  一位基督徒的文學家所寫的一本書
[00:00:38.000 --> 00:00:40.000]  很薄的
[00:00:40.000 --> 00:00:48.000]  那本書的名字是《如此基督教》
[00:00:48.000 --> 00:00:53.000]  那時候的導師經常介紹這本書給我們看
[00:00:53.000 --> 00:01:00.000]  特別是對基督教有興趣的
[00:01:00.000 --> 00:01:03.000]  就應該要看這本書
[00:01:03.000 --> 00:01:11.000]  因為這本書能夠去澄清我們對基督教的疑問
[00:01:11.000 --> 00:01:19.000]  而事實上真的有很多人看了這本書之後
[00:01:19.000 --> 00:01:21.000]  就信了耶穌
[00:01:21.000 --> 00:01:24.000]  而且信得很堅定
[00:01:24.000 --> 00:01:26.000]  以前我不明白
[00:01:26.000 --> 00:01:30.000]  因為我的文化水平比較低
[00:01:30.000 --> 00:01:32.000]  看不明白
[00:01:32.000 --> 00:01:36.000]  現在讀了神學之後
[00:01:36.000 --> 00:01:41.000]  做基督徒做了差不多四十年之後
[00:01:41.000 --> 00:01:48.000]  開始去明白這個基督徒的文學家CS Lewis
[00:01:48.000 --> 00:01:52.000]  中文翻譯成為老益士
[00:01:52.000 --> 00:01:54.000]  語日的「老」
[00:01:54.000 --> 00:01:55.000]  益字的「益」
[00:01:55.000 --> 00:01:56.000]  士兵的「士」
[00:01:56.000 --> 00:02:00.000]  老益士CS Lewis
[00:02:00.000 --> 00:02:04.000]  在這個文學家的心目中
[00:02:04.000 --> 00:02:10.000]  神的道就是這個世界的真理
[00:02:10.000 --> 00:02:21.000]  所以不需要太過的去催逼別人去信耶穌和認識基督教
[00:02:21.000 --> 00:02:28.000]  只要我們能夠在這個世界裏面去做思考
[00:02:28.000 --> 00:02:31.000]  去過一個實在的生活的時候
[00:02:31.000 --> 00:02:38.000]  人就會有機會去認識去接觸這位創造的主
[00:02:38.000 --> 00:02:42.000]  所以在他這麼多的著作裏面
[00:02:42.000 --> 00:02:49.000]  他選擇用小說的方式去將基督教的真理呈現出來
[00:02:49.000 --> 00:02:52.000]  而且是非常之成功
[00:02:52.000 --> 00:02:56.000]  所以如果你沒看過這本書「如此基督教」
[00:02:56.000 --> 00:03:00.000]  我鼓勵你們去看這本很薄的書
[00:03:00.000 --> 00:03:04.000]  對我們對基督教的認識是很有幫助
[00:03:04.000 --> 00:03:11.000]  在這本書裏面就提醒了我們到底基督徒應該是怎樣的
[00:03:11.000 --> 00:03:14.000]  我們應該要信些什麼
[00:03:14.000 --> 00:03:20.000]  我本來想用「如此基督徒」去作為我們今天的講題
[00:03:20.000 --> 00:03:27.000]  不過我不敢和這位大師去比較
[00:03:27.000 --> 00:03:31.000]  我就用了「基督徒」作為今天的講題
[00:03:31.000 --> 00:03:38.000]  我用了彼得前書第二章這十節的經文
[00:03:38.000 --> 00:03:41.000]  是另外一位偉大的使徒
[00:03:41.000 --> 00:03:43.000]  使徒彼得
[00:03:43.000 --> 00:03:45.000]  他在這十節聖經裏面
[00:03:45.000 --> 00:03:48.000]  他用了四幅圖畫
[00:03:48.000 --> 00:03:51.000]  用了四個比喻去告訴我們
[00:03:51.000 --> 00:03:55.000]  基督徒應該是怎樣的
[00:03:55.000 --> 00:03:59.000]  或者我們就從這四幅圖畫裏面
[00:03:59.000 --> 00:04:03.000]  來作一次對基督徒
[00:04:03.000 --> 00:04:07.000]  或者對基督徒的信仰
[00:04:07.000 --> 00:04:10.000]  有一些重新的反省
[00:04:10.000 --> 00:04:13.000]  在這十節的經文裏面
[00:04:13.000 --> 00:04:16.000]  使徒彼得他用了四幅圖畫
[00:04:16.000 --> 00:04:19.000]  第一就用了一個初生的嬰兒
[00:04:19.000 --> 00:04:23.000]  第二他用了一個石頭
[00:04:23.000 --> 00:04:27.000]  第三他用了祭司
[00:04:27.000 --> 00:04:33.000]  最後他用了子民或者是國民
[00:04:33.000 --> 00:04:40.000]  用了四幅圖畫來形容我們就是這樣
[00:04:40.000 --> 00:04:42.000]  基督徒就是這樣
[00:04:42.000 --> 00:04:45.000]  盼望我們從這四幅圖畫裏面
[00:04:45.000 --> 00:04:53.000]  都能夠有一個成長的方向
[00:04:53.000 --> 00:04:55.000]  或者是努力的方向
[00:04:55.000 --> 00:04:57.000]  第一我們去看
[00:04:57.000 --> 00:05:00.000]  彼得他給了我們第一幅圖畫
[00:05:00.000 --> 00:05:02.000]  就是我們就好像一個
[00:05:02.000 --> 00:05:05.000]  剛剛出生的嬰兒一樣
[00:05:05.000 --> 00:05:07.000]  基督徒就好像一個
[00:05:07.000 --> 00:05:12.000]  剛剛出生的嬰兒一樣
[00:05:12.000 --> 00:05:14.000]  在第二節
[00:05:14.000 --> 00:05:18.000]  他說你們就要去愛慕那純正的靈奶
[00:05:18.000 --> 00:05:25.000]  好似財生的嬰孩愛慕奶一樣
[00:05:25.000 --> 00:05:29.000]  叫你們因此漸長以至得救
[00:05:29.000 --> 00:05:35.000]  你們若嘗過主恩的滋味
[00:05:35.000 --> 00:05:38.000]  就必如此
[00:05:38.000 --> 00:05:41.000]  當代聖經就是這樣去翻譯這一句
[00:05:41.000 --> 00:05:47.000]  他說你們基督徒要好似初生的嬰兒
[00:05:47.000 --> 00:05:50.000]  渴慕母乳一樣
[00:05:50.000 --> 00:05:53.000]  渴慕得到純正
[00:05:53.000 --> 00:05:56.000]  沒有污染的沒有毒的
[00:05:56.000 --> 00:06:00.000]  屬靈的奶的滋養
[00:06:00.000 --> 00:06:03.000]  藉此使你們的靈命
[00:06:03.000 --> 00:06:09.000]  不斷的增長以至得救
