
[00:00:00.000 --> 00:00:05.180]  教會的題目就是講今年的主題就是教會一家
[00:00:05.180 --> 00:00:08.060]  所以在未來這一年裡面
[00:00:08.060 --> 00:00:10.880]  我今年也會有幾次在大家當中講到
[00:00:10.880 --> 00:00:14.540]  我也是會朝著這個方向跟大家分享的
[00:00:14.540 --> 00:00:17.200]  今天會先跟大家去看
[00:00:17.200 --> 00:00:20.540]  國客七一共同體
[00:00:20.540 --> 00:00:21.460]  共同體
[00:00:21.460 --> 00:00:22.700]  為什麼呢?
[00:00:22.700 --> 00:00:25.380]  今天教會很特別
[00:00:25.380 --> 00:00:28.320]  是一個不可能的可能
[00:00:28.900 --> 00:00:30.600]  什麼叫做不可能的可能呢?
[00:00:30.600 --> 00:00:33.320]  教會經常說要和諧、合一
[00:00:33.320 --> 00:00:34.480]  其實是不可能的
[00:00:34.480 --> 00:00:36.020]  為什麼呢?
[00:00:36.020 --> 00:00:39.360]  因為教會有不同的人來參加
[00:00:39.360 --> 00:00:42.060]  每一個人有他不同的背景
[00:00:42.060 --> 00:00:44.000]  有他不同的經歷
[00:00:44.000 --> 00:00:46.000]  有他不同的脾性
[00:00:46.000 --> 00:00:48.240]  有他不同的處事方針
[00:00:48.240 --> 00:00:52.080]  所以你要那些人放在一起
[00:00:52.080 --> 00:00:54.000]  有一個很和諧的相處
[00:00:54.000 --> 00:00:56.840]  其實是不可能的
[00:00:57.520 --> 00:01:01.320]  但是為什麼《聖經》裡面不斷可以強調這一點呢?
[00:01:01.320 --> 00:01:04.800]  如果你再看回初期教會
[00:01:04.800 --> 00:01:06.140]  那些人
[00:01:06.140 --> 00:01:09.520]  跟我們現在的知識水平相差很遠
[00:01:09.520 --> 00:01:13.200]  那時候是不會怎麼講人權
[00:01:13.200 --> 00:01:15.880]  不會怎麼講尊重別人的
[00:01:15.880 --> 00:01:20.720]  但是你有沒有留意到他們又能夠好好的相處
[00:01:20.720 --> 00:01:26.720]  當時可能是有猶太教轉信耶穌基督的一些人
[00:01:27.080 --> 00:01:28.920]  也有法理財人、文士
[00:01:28.920 --> 00:01:30.360]  也有財主
[00:01:30.360 --> 00:01:32.080]  也有貧窮的人
[00:01:32.080 --> 00:01:33.520]  也有婦女
[00:01:33.520 --> 00:01:36.600]  但是他們卻能夠有很和諧的相處
[00:01:36.600 --> 00:01:42.160]  原來不可能在主裡面可以變成有可能的
[00:01:42.160 --> 00:01:44.680]  所以 "impossible" 這個字
[00:01:44.680 --> 00:01:47.880]  某個程度上可以說 "in me, it's possible"
[00:01:47.880 --> 00:01:50.480]  為什麼呢?
[00:01:50.480 --> 00:01:53.360]  原來他們會相信同一個神
[00:01:53.360 --> 00:01:56.600]  在教會以外
[00:01:56.600 --> 00:02:00.480]  其實是不能夠再設一個入會條件的
[00:02:00.480 --> 00:02:02.840]  是什麼意思呢?
[00:02:02.840 --> 00:02:05.800]  你留意一下,在世界上有很多不同的會
[00:02:05.800 --> 00:02:08.200]  可能是有基本條件的
[00:02:08.200 --> 00:02:10.080]  譬如很簡單舉個例子
[00:02:10.080 --> 00:02:11.480]  你去Costco
[00:02:11.480 --> 00:02:13.760]  如果你還沒入會是進不去的
[00:02:13.760 --> 00:02:16.120]  你要找人帶你進去的,是不是?
[00:02:16.120 --> 00:02:17.800]  最好自己做會員
[00:02:17.800 --> 00:02:19.560]  希望可以進去
[00:02:19.560 --> 00:02:22.840]  如果在香港你要是馬會的會員
[00:02:22.840 --> 00:02:24.040]  就不只是你投注
[00:02:24.040 --> 00:02:26.040]  可能你要是馬主或者怎麼樣
[00:02:26.600 --> 00:02:28.240]  我記得很多年之前
[00:02:28.240 --> 00:02:30.800]  有一位現在大家都很熟悉的
[00:02:30.800 --> 00:02:34.960]  就是當年溫拿樂隊的鼓手陳友
[00:02:34.960 --> 00:02:36.400]  他現在信了耶穌了
[00:02:36.400 --> 00:02:37.680]  但是他還沒信耶穌之前
[00:02:37.680 --> 00:02:39.000]  他太太已經信了
[00:02:39.000 --> 00:02:40.280]  我已經認識他了
[00:02:40.280 --> 00:02:41.760]  有一次他約我聊天
[00:02:41.760 --> 00:02:42.920]  約我在中環
[00:02:42.920 --> 00:02:44.080]  在中環哪裡呢?
[00:02:44.080 --> 00:02:47.560]  原來在中環裡面有一個叫美國會的
[00:02:47.560 --> 00:02:50.600]  就是美國的公民才可以去的
[00:02:50.600 --> 00:02:52.400]  約我在那裡
[00:02:52.400 --> 00:02:54.000]  來去見面
[00:02:54.000 --> 00:02:55.200]  我就去了
[00:02:55.200 --> 00:02:56.920]  誰知道他是遲來的
[00:02:56.920 --> 00:02:57.920]  我去到的時候
[00:02:57.920 --> 00:02:59.200]  那些人很有禮貌的
[00:02:59.200 --> 00:03:01.000]  可能是生面孔
[00:03:01.000 --> 00:03:02.720]  他就說不好意思
[00:03:02.720 --> 00:03:04.640]  我們這裡是招呼會員的
[00:03:04.640 --> 00:03:06.680]  那你是不是會員啊?
[00:03:06.680 --> 00:03:09.120]  我這個牧師就較為古靈精怪
[00:03:09.120 --> 00:03:10.960]  我說是的,我是會員
[00:03:10.960 --> 00:03:12.480]  他就有些質疑
[00:03:12.480 --> 00:03:13.200]  你是會員嗎?
[00:03:13.200 --> 00:03:14.400]  我說是的
[00:03:14.400 --> 00:03:16.760]  我立刻在我口袋裡紋了一張卡給他
[00:03:16.760 --> 00:03:18.560]  因為我們冥恩堂
[00:03:18.560 --> 00:03:20.320]  是建立了社會服務中心
[00:03:20.320 --> 00:03:25.680]  我帶頭做了冥恩堂社會服務中心的第一個會員
[00:03:25.680 --> 00:03:27.120]  還是 number one (第一名)
[00:03:27.120 --> 00:03:28.240]  我拿了一張卡給他
[00:03:28.240 --> 00:03:30.440]  說這是我的會員卡
[00:03:30.440 --> 00:03:31.520]  他呆了
[00:03:31.520 --> 00:03:32.680]  他知道我耍花樣
[00:03:32.680 --> 00:03:33.960]  但是仍然可以接受
[00:03:33.960 --> 00:03:34.760]  他說不好意思
[00:03:34.760 --> 00:03:36.720]  我們這裡是美國會
[00:03:36.720 --> 00:03:39.800]  是美國公民才可以進來的
[00:03:39.800 --> 00:03:40.960]  我不是啊
[00:03:40.960 --> 00:03:43.680]  我就說是Pauline叫我來的
[00:03:43.680 --> 00:03:44.560]  然後再說
[00:03:44.560 --> 00:03:45.560]  哦,那沒關係
[00:03:45.560 --> 00:03:46.360]  你進去吧
[00:03:46.360 --> 00:03:47.720]  原來你要帶人進會的
[00:03:47.720 --> 00:03:49.840]  我想問你回來教會
[00:03:49.840 --> 00:03:51.200]  需要人帶你回來嗎?
[00:03:51.200 --> 00:03:53.320]  帶你回來是因為你不認識這個地方而已
[00:03:53.320 --> 00:03:55.440]  但是我們不會有審查的
[00:03:55.440 --> 00:03:57.680]  特別現在在這裡更加沒有安心出行
[00:03:57.680 --> 00:04:00.000]  你不需要嘟了然後你才可以進來的
[00:04:00.000 --> 00:04:04.520]  這時候你是不會論你的年齡
[00:04:04.520 --> 00:04:07.720]  不會論你的財富
[00:04:07.720 --> 00:04:10.320]  不會論你的學識
[00:04:10.320 --> 00:04:12.440]  更加不會論你的背景
[00:04:12.440 --> 00:04:13.640]  你就可以進來
[00:04:13.640 --> 00:04:16.040]  原來在教會裡面
[00:04:16.040 --> 00:04:19.360]  真真正正我們可以一致的是什麼呢?
[00:04:19.360 --> 00:04:21.960]  因為我們有一個共同體
[00:04:21.960 --> 00:04:24.600]  有一個共同點
[00:04:24.600 --> 00:04:26.520]  這就是共同因素
[00:04:26.520 --> 00:04:30.240]  我想大家讀小學的時候
[00:04:30.240 --> 00:04:31.760]  你有沒有算過我的數字?
[00:04:31.760 --> 00:04:33.320]  我經常都混淆了
[00:04:33.320 --> 00:04:34.680]  HCF
[00:04:34.680 --> 00:04:36.400]  和LCM
[00:04:36.400 --> 00:04:38.800]  我都不知道什麼叫HCF和什麼叫LCM
[00:04:38.800 --> 00:04:40.120]  原來現在大一點明白了
[00:04:40.120 --> 00:04:42.360]  HCF是最高的共同因素
[00:04:42.360 --> 00:04:44.400]  最大公約數
[00:04:44.400 --> 00:04:47.240]  原來今天最大的公約數是什麼呢?
[00:04:47.240 --> 00:04:49.200]  就是因為我相信同一個神
[00:04:49.440 --> 00:04:52.480]  雖然我們每一個人都是很不同的
[00:04:52.480 --> 00:04:54.600]  但是我們雖然有很不同的東西
[00:04:54.600 --> 00:04:57.280]  但是我們有相同的信念
[00:04:57.280 --> 00:04:59.880]  我們有相同的神的時候
[00:04:59.880 --> 00:05:01.200]  於是這個同
[00:05:01.200 --> 00:05:04.800]  是可以壓下了我們的異
[00:05:04.800 --> 00:05:08.200]  我們就真的求同而存異了
[00:05:08.200 --> 00:05:11.600]  我們每一個人都有很獨特的不同的看法
[00:05:11.600 --> 00:05:15.080]  但是如果我們以神的事為重的時候
[00:05:15.080 --> 00:05:18.640]  可能我們就會將自己一些個人的體會
[00:05:18.640 --> 00:05:20.320]  可以放下
[00:05:20.320 --> 00:05:22.200]  那麼教會
[00:05:22.200 --> 00:05:24.080]  如何可以合一呢?
[00:05:24.080 --> 00:05:27.880]  原來有七個很重要的元素
[00:05:27.880 --> 00:05:29.720]  不可以多
[00:05:29.720 --> 00:05:32.320]  但是也不可以少
[00:05:32.320 --> 00:05:35.280]  除了這七個元素之外
[00:05:35.280 --> 00:05:39.040]  是不可以再另立一些入會的條件的
[00:05:39.040 --> 00:05:42.320]  這七個元素裡面包含了四個元素
[00:05:42.320 --> 00:05:44.640]  第一就是三一的真神
[00:05:44.640 --> 00:05:47.040]  第二就是我們的呼召
[00:05:47.400 --> 00:05:50.120]  以及信仰的內容和教會
[00:05:50.120 --> 00:05:52.600]  所以我們會一起來探討
[00:05:52.600 --> 00:05:53.920]  這七個一
[00:05:53.920 --> 00:05:55.440]  這七個共同體
[00:05:55.440 --> 00:05:56.760]  是哪一方面
[00:05:56.760 --> 00:05:59.640]  第一就是同一個身體
[00:05:59.640 --> 00:06:04.560]  剛才我們讀了《已忽所書》第四章的第四到第六節
[00:06:04.560 --> 00:06:07.680]  他說我們身體只有一個
[00:06:07.680 --> 00:06:09.200]  聖靈只有一個
[00:06:09.200 --> 00:06:11.600]  我們看看這個身體是什麼一回事
[00:06:11.600 --> 00:06:15.960]  我們一起來讀《已忽所書》第一章的第23節
[00:06:15.960 --> 00:06:17.960]  第一章的第23節我們一起來讀出
[00:06:17.960 --> 00:06:20.640]  教會自我的身體
[00:06:20.640 --> 00:06:24.040]  自我充滿萬有者所充滿的
[00:06:24.040 --> 00:06:27.280]  他說教會就是神的身體
[00:06:27.280 --> 00:06:31.080]  是充滿萬有者所充滿的
[00:06:31.080 --> 00:06:32.360]  身體
[00:06:32.360 --> 00:06:34.040]  身體只有一個
[00:06:34.040 --> 00:06:36.240]  正如聖經裡面怎麼說呢?
[00:06:36.240 --> 00:06:39.760]  在哥倫多前書第十二章的第十二到第十四節
[00:06:39.760 --> 00:06:40.960]  我們一起來讀出
[00:06:41.600 --> 00:06:46.000]  就如身體是一個,亦有許多肢體
[00:06:46.000 --> 00:06:50.080]  然且肢體碎過,亦是一個身子
[00:06:50.080 --> 00:06:52.000]  基督教使者也
[00:06:52.000 --> 00:06:54.600]  身子亦不是一個肢體
[00:06:54.600 --> 00:06:56.600]  乃是許多肢體
[00:06:56.600 --> 00:07:00.880]  原來身體是由不同的肢體聯合而成的
[00:07:00.880 --> 00:07:03.440]  我們是不能夠分割的
[00:07:03.440 --> 00:07:08.280]  在這裡去超市買肉吃
[00:07:08.280 --> 00:07:09.720]  在香港的時候
[00:07:09.720 --> 00:07:11.680]  我也負責煮飯的
[00:07:11.680 --> 00:07:13.080]  我去街市買菜
[00:07:13.080 --> 00:07:15.000]  我去買豬肉的時候
[00:07:15.000 --> 00:07:16.720]  你不會跟那個豬肉佬說
[00:07:16.720 --> 00:07:18.600]  我現在買豬的身體
[00:07:18.600 --> 00:07:20.000]  你不會說這件事情的
[00:07:20.000 --> 00:07:21.200]  我要豬橫利
[00:07:21.200 --> 00:07:22.240]  我要豬腩肉
[00:07:22.240 --> 00:07:23.680]  我要排骨,是不是?
[00:07:23.680 --> 00:07:24.800]  為什麼會這麼說?
[00:07:24.800 --> 00:07:27.080]  因為他已經全部切割開了
[00:07:27.080 --> 00:07:29.360]  那已經不是我的身體了
[00:07:29.360 --> 00:07:32.800]  身體是彼此之間有一個聯繫的
[00:07:32.800 --> 00:07:35.000]  而身體裡面很重要的是什麼呢?
[00:07:35.000 --> 00:07:36.880]  就是各有特色
[00:07:36.880 --> 00:07:39.080]  這是很重要的
[00:07:39.320 --> 00:07:40.320]  今天
[00:07:40.320 --> 00:07:42.080]  每一個的肢體
[00:07:42.080 --> 00:07:44.760]  是有互相不同的特點的
[00:07:44.760 --> 00:07:46.600]  譬如說手是用來做事的
[00:07:46.600 --> 00:07:47.880]  可以拍手,是不是?
[00:07:47.880 --> 00:07:48.960]  但是
[00:07:48.960 --> 00:07:50.840]  腳是用來走路的
[00:07:50.840 --> 00:07:52.680]  眼睛是用來看東西的
[00:07:52.680 --> 00:07:55.400]  每一個的肢體裡面
[00:07:55.400 --> 00:07:56.680]  都有他自己的特色
[00:07:56.680 --> 00:07:59.000]  今天在教會裡面
