
[00:00:00.000 --> 00:00:04.000]  在很久很久很久
[00:00:04.000 --> 00:00:06.000]  不知道多久的時間
[00:00:06.000 --> 00:00:08.000]  但有一個家庭
[00:00:08.000 --> 00:00:11.000]  有一個人被稱為浪子
[00:00:11.000 --> 00:00:14.000]  一看他的樣子就知道他多放蕩
[00:00:14.000 --> 00:00:17.000]  還有每天都在做什麼
[00:00:17.000 --> 00:00:18.000]  你做什麼?
[00:00:18.000 --> 00:00:21.000]  你吃東西吧
[00:00:21.000 --> 00:00:24.000]  這個小兒子有一個爸爸
[00:00:24.000 --> 00:00:25.000]  一看就知道
[00:00:25.000 --> 00:00:26.000]  他很辛勤工作
[00:00:26.000 --> 00:00:28.000]  以至他今天擁有
[00:00:28.000 --> 00:00:30.000]  都長得很漂亮
[00:00:30.000 --> 00:00:36.000]  看到他的金絲眼鏡嗎?
[00:00:36.000 --> 00:00:38.000]  還有一個角色
[00:00:38.000 --> 00:00:40.000]  既然有小兒子
[00:00:40.000 --> 00:00:42.000]  一定有大兒子
[00:00:42.000 --> 00:00:44.000]  大兒子瘦削的身形
[00:00:44.000 --> 00:00:46.000]  欣欣的在工作
[00:00:46.000 --> 00:00:48.000]  大家就會猜到
[00:00:48.000 --> 00:00:50.000]  東西就給他吃
[00:00:50.000 --> 00:00:52.000]  工作就給他做
[00:00:52.000 --> 00:00:55.000]  所以大兒子很欣欣
[00:00:55.000 --> 00:00:56.000]  不斷工作
[00:00:56.000 --> 00:00:58.000]  究竟這個故事講什麼呢?
[00:00:58.000 --> 00:01:06.000]  我們一起看看他們怎麼演繹
[00:01:06.000 --> 00:01:08.000]  唉
[00:01:08.000 --> 00:01:10.000]  真的很悶
[00:01:10.000 --> 00:01:14.000]  我剛剛在做什麼?
[00:01:14.000 --> 00:01:19.000]  又難吃
[00:01:19.000 --> 00:01:20.000]  我真的是
[00:01:20.000 --> 00:01:21.000]  我剛剛在做什麼
[00:01:21.000 --> 00:01:24.000]  都在浪費時間嗎?
[00:01:24.000 --> 00:01:25.000]  我很渴望自由
[00:01:25.000 --> 00:01:27.000]  很渴望冒險
[00:01:27.000 --> 00:01:29.000]  阿爸
[00:01:29.000 --> 00:01:31.000]  兒子
[00:01:31.000 --> 00:01:33.000]  你把我應得的家產
[00:01:33.000 --> 00:01:34.000]  全部給我
[00:01:34.000 --> 00:01:36.000]  不要再讓我在這裡浪費時間
[00:01:36.000 --> 00:01:39.000]  出去這個世界闖
[00:01:39.000 --> 00:01:43.000]  唉
[00:01:43.000 --> 00:01:44.000]  如果兒子
[00:01:44.000 --> 00:01:47.000]  這是你的想法
[00:01:47.000 --> 00:01:48.000]  好吧
[00:01:48.000 --> 00:01:50.000]  那我將
[00:01:50.000 --> 00:01:53.000]  你那部分的家產
[00:01:53.000 --> 00:01:55.000]  我給你
[00:01:55.000 --> 00:01:57.000]  你不是很有錢嗎?
[00:01:57.000 --> 00:01:58.000]  算了
[00:01:58.000 --> 00:02:00.000]  也夠用的
[00:02:00.000 --> 00:02:01.000]  也夠用的
[00:02:01.000 --> 00:02:02.000]  等一等
[00:02:02.000 --> 00:02:03.000]  怎麼了?
[00:02:03.000 --> 00:02:04.000]  你想拿回來嗎?
[00:02:04.000 --> 00:02:05.000]  不是說我不算數
[00:02:05.000 --> 00:02:09.000]  我是男人嗎?
[00:02:09.000 --> 00:02:12.000]  這裡
[00:02:12.000 --> 00:02:13.000]  這裡
[00:02:13.000 --> 00:02:16.000]  還有一袋
[00:02:16.000 --> 00:02:18.000]  都
[00:02:18.000 --> 00:02:21.000]  裡面都有一些金銀珠寶
[00:02:21.000 --> 00:02:24.000]  你看
[00:02:24.000 --> 00:02:25.000]  懂得做
[00:02:25.000 --> 00:02:26.000]  好吧
[00:02:26.000 --> 00:02:27.000]  好吧
[00:02:27.000 --> 00:02:28.000]  你拿過去
[00:02:28.000 --> 00:02:29.000]  拿過去
[00:02:29.000 --> 00:02:30.000]  這麼重?
[00:02:30.000 --> 00:02:31.000]  對
[00:02:31.000 --> 00:02:32.000]  小心
[00:02:32.000 --> 00:02:33.000]  更重過我
[00:02:33.000 --> 00:02:36.000]  算你懂得做
[00:02:36.000 --> 00:02:38.000]  再見
[00:02:38.000 --> 00:02:39.000]  你幹什麼?
[00:02:39.000 --> 00:02:42.000]  你把所有錢都給他
[00:02:42.000 --> 00:02:46.000]  唉
[00:02:46.000 --> 00:03:03.000]  好
[00:03:03.000 --> 00:03:05.000]  嘩
[00:03:05.000 --> 00:03:06.000]  這個市集
[00:03:06.000 --> 00:03:09.000]  這麼多東西買
[00:03:09.000 --> 00:03:10.000]  這件衣服多漂亮
[00:03:10.000 --> 00:03:11.000]  老闆
[00:03:11.000 --> 00:03:12.000]  多少錢?
[00:03:12.000 --> 00:03:13.000]  5元
[00:03:13.000 --> 00:03:14.000]  不是吧
[00:03:14.000 --> 00:03:15.000]  你看我穿什麼
[00:03:15.000 --> 00:03:16.000]  我這麼有錢
[00:03:16.000 --> 00:03:17.000]  你買5元東西給我
[00:03:17.000 --> 00:03:18.000]  貴一點
[00:03:18.000 --> 00:03:19.000]  唉
[00:03:19.000 --> 00:03:20.000]  這麼便宜
[00:03:20.000 --> 00:03:21.000]  不買
[00:03:21.000 --> 00:03:22.000]  有東西吃
[00:03:22.000 --> 00:03:24.000]  那邊有些海鮮
[00:03:24.000 --> 00:03:25.000]  有點餓
[00:03:25.000 --> 00:03:26.000]  老闆
[00:03:26.000 --> 00:03:27.000]  海鮮多少錢?
[00:03:27.000 --> 00:03:29.000]  15元
[00:03:29.000 --> 00:03:30.000]  好
[00:03:30.000 --> 00:03:31.000]  我要了整桌
