
[00:00:00.000 --> 00:00:04.000]  新姊妹平安,我們先一起祈禱
[00:00:04.000 --> 00:00:09.000]  昨天我們感謝站美女子的恩典
[00:00:09.000 --> 00:00:12.000]  讓我們在主耶穌的清神可以在這裡聚集
[00:00:12.000 --> 00:00:14.000]  一同來敬拜祢
[00:00:14.000 --> 00:00:16.000]  聆聽祢自己的話語
[00:00:16.000 --> 00:00:18.000]  祢求聖靈保守帶領我們
[00:00:18.000 --> 00:00:22.000]  讓我們從祢的話語裡面得著教導
[00:00:22.000 --> 00:00:27.000]  並且在我們的生活裡面謹守遵行
[00:00:27.000 --> 00:00:29.000]  能夠活出主的話語
[00:00:29.000 --> 00:00:32.000]  明耀主的名,奉耶穌基督的名祈禱
[00:00:32.000 --> 00:00:34.000]  阿們
[00:00:34.000 --> 00:00:39.000]  今天我們繼續《思想貼紗羅尼加前書》
[00:00:39.000 --> 00:00:43.000]  或者《主必再來》系列的第六講
[00:00:43.000 --> 00:00:46.000]  上個星期張傳道已經跟我們講了
[00:00:46.000 --> 00:00:50.000]  第四章的十三至十八節
[00:00:50.000 --> 00:00:54.000]  那段經文對主耶穌再來的事
[00:00:54.000 --> 00:00:57.000]  是一段很重要的經文
[00:00:57.000 --> 00:01:00.000]  因為四章十六至十七節提到
[00:01:00.000 --> 00:01:04.000]  主必親自從天降臨
[00:01:04.000 --> 00:01:08.000]  那在基督裡死了的人必先復活
[00:01:08.000 --> 00:01:11.000]  然而我們這生活著還存留的人
[00:01:11.000 --> 00:01:14.000]  必和他們一同,被提到魂裡
[00:01:14.000 --> 00:01:16.000]  在空中與主相會
[00:01:16.000 --> 00:01:20.000]  這樣我們就要和主永遠同在
[00:01:20.000 --> 00:01:24.000]  這個是有關復活的次序
[00:01:24.000 --> 00:01:27.000]  以及教會被提
[00:01:27.000 --> 00:01:30.000]  除了這一段經文之外
[00:01:30.000 --> 00:01:34.000]  聖經其他的經文是沒有提到的
[00:01:34.000 --> 00:01:37.000]  所以凡是研究末世復活方面的事
[00:01:37.000 --> 00:01:42.000]  必定要小心思考那一段經文
[00:01:42.000 --> 00:01:45.000]  張傳道也提過
[00:01:45.000 --> 00:01:47.000]  在保羅寫信的時代
[00:01:47.000 --> 00:01:49.000]  一般人都不是很長命
[00:01:49.000 --> 00:01:51.000]  不可能是那個時代
[00:01:51.000 --> 00:01:53.000]  科學不是很發達
[00:01:53.000 --> 00:01:57.000]  醫藥也不像今天這麼進步
[00:01:57.000 --> 00:01:59.000]  雙風感冒也會死人
[00:01:59.000 --> 00:02:01.000]  是很平常的
[00:02:01.000 --> 00:02:04.000]  即使今天感冒都可以死
[00:02:04.000 --> 00:02:07.000]  視乎個人的免疫力而定
[00:02:07.000 --> 00:02:10.000]  所以現在每逢流感季節來到之前
[00:02:10.000 --> 00:02:15.000]  政府都鼓勵人要打預防針
[00:02:15.000 --> 00:02:17.000]  在羅馬時代的人
[00:02:17.000 --> 00:02:21.000]  平均壽命大約是三十五歲左右
[00:02:21.000 --> 00:02:24.000]  羅馬的年輕人
[00:02:24.000 --> 00:02:28.000]  更有可能早就被抓去打仗
[00:02:28.000 --> 00:02:30.000]  就像今天的烏克蘭人
[00:02:30.000 --> 00:02:33.000]  可能會死得更早
[00:02:33.000 --> 00:02:36.000]  因此早期教會傳說
[00:02:36.000 --> 00:02:39.000]  信耶穌得永生
[00:02:39.000 --> 00:02:42.000]  是一個很吸引人的福音
[00:02:42.000 --> 00:02:44.000]  人既然這麼短命
[00:02:44.000 --> 00:02:46.000]  有些人還命苦
[00:02:46.000 --> 00:02:49.000]  生出來做別人的奴隸
[00:02:49.000 --> 00:02:52.000]  更加希望得到永生
[00:02:52.000 --> 00:02:59.000]  早期的使徒也相信主耶穌是很快回來的
[00:02:59.000 --> 00:03:00.000]  舉個例子
[00:03:00.000 --> 00:03:04.000]  在《雅各書》五章八到九節就這樣說
[00:03:04.000 --> 00:03:06.000]  你們也要忍耐堅固你們的心
[00:03:06.000 --> 00:03:09.000]  因為主來的日子近了
[00:03:09.000 --> 00:03:12.000]  弟兄們不要彼此埋怨
[00:03:12.000 --> 00:03:14.000]  免得受審判
[00:03:14.000 --> 00:03:17.000]  罕吓審判的主站在門口了
[00:03:17.000 --> 00:03:20.000]  因此帖撒羅尼迦的信徒
[00:03:20.000 --> 00:03:23.000]  都是很盼望主回來
[00:03:23.000 --> 00:03:25.000]  很快就回來
[00:03:25.000 --> 00:03:28.000]  以至於有些弟兄怎麼樣
[00:03:28.000 --> 00:03:31.000]  躺平不做工等候主回來
[00:03:31.000 --> 00:03:33.000]  還用不著做事
[00:03:33.000 --> 00:03:35.000]  主就回來
[00:03:35.000 --> 00:03:38.000]  不做工那些有空的姐妹
[00:03:38.000 --> 00:03:40.000]  甚至弟兄
[00:03:40.000 --> 00:03:41.000]  做些什麼
[00:03:41.000 --> 00:03:43.000]  就去串門子
[00:03:43.000 --> 00:03:45.000]  去理別人的事
[00:03:45.000 --> 00:03:47.000]  你這樣做不對嗎
[00:03:47.000 --> 00:03:49.000]  你有東西分一些給我吧
[00:03:49.000 --> 00:03:50.000]  所以在四章十一節
[00:03:50.000 --> 00:03:54.000]  保羅教導他們要立志過安靜的生活
[00:03:54.000 --> 00:03:58.000]  你管自己的事吧
