
[00:00:00.000 --> 00:00:04.100]  今天我跟弟兄妹妹繼續來看傳道書
[00:00:04.100 --> 00:00:09.400]  我不曉得你還記得 我在1月份的時候 跟各位
[00:00:09.400 --> 00:00:10.480]  在開始
[00:00:10.480 --> 00:00:13.480]  來講這個傳道書的時候 有一個
[00:00:13.480 --> 00:00:14.600]  比較
[00:00:14.600 --> 00:00:16.240]  簡單 或者說
[00:00:16.240 --> 00:00:20.440]  整捲書的一個主題 來跟各位來講過
[00:00:20.440 --> 00:00:23.360]  然後剛好那個雅勇傳道
[00:00:23.360 --> 00:00:28.200]  他也是以那個傳道書來幫助我們去看透
[00:00:28.200 --> 00:00:29.240]  我們的人生
[00:00:30.160 --> 00:00:32.440]  我今天大概會比較深入一點
[00:00:32.440 --> 00:00:34.480]  來看傳道書的第一章
[00:00:34.480 --> 00:00:37.000]  第一章裡面
[00:00:37.000 --> 00:00:41.960]  其實有一些的很重要的訊息 在我們上兩次
[00:00:41.960 --> 00:00:43.840]  我們都有提到過
[00:00:43.840 --> 00:00:45.760]  所以我想跟各位來看
[00:00:45.760 --> 00:00:50.440]  從第一章當中 我想大概有兩個的重點
[00:00:50.440 --> 00:00:52.040]  可以幫助我們
[00:00:52.040 --> 00:00:54.040]  來明白我們怎麼樣
[00:00:54.040 --> 00:00:59.360]  去多認識一下 這個日光之下的人生是怎麼樣
[00:01:01.000 --> 00:01:01.960]  如果你
[00:01:01.960 --> 00:01:05.400]  沒有忘了
[00:01:05.400 --> 00:01:12.000]  上兩次我們大概講什麼的話 你可以到教會的網頁可以重溫
[00:01:12.000 --> 00:01:16.600]  我今天很想跟各位來看那個傳道書第一章到底
[00:01:16.600 --> 00:01:18.760]  從一節到十八節
[00:01:18.760 --> 00:01:23.240]  這個是整章裡面 我們大概可以抓到
[00:01:23.240 --> 00:01:26.280]  傳道者跟我們的一個重點是什麼
[00:01:26.280 --> 00:01:29.240]  我盼望我們不會誤解
[00:01:29.240 --> 00:01:32.000]  其實上次我提到大概我們有時候誤解
[00:01:32.000 --> 00:01:34.920]  那個傳道書是比較悲觀的
