
[00:00:00.000 --> 00:00:01.600]  有位姐妹去看醫生
[00:00:01.600 --> 00:00:03.600]  有一位姐妹去看醫生
[00:00:03.600 --> 00:00:05.600]  醫生就問她
[00:00:05.600 --> 00:00:07.600]  你是基督徒
[00:00:07.600 --> 00:00:09.600]  可以求你的上帝
[00:00:09.600 --> 00:00:11.600]  為什麼你要來找我
[00:00:11.600 --> 00:00:13.600]  你為什麼要來見我
[00:00:13.600 --> 00:00:15.600]  如果你碰到這樣的問題的時候
[00:00:15.600 --> 00:00:17.600]  你會怎麼回答呢
[00:00:17.600 --> 00:00:19.600]  如果你碰到這樣的問題的時候
[00:00:19.600 --> 00:00:21.600]  你會怎麼回答呢
[00:00:21.600 --> 00:00:25.600]  這位姐妹很有智慧和幽默回答
[00:00:25.600 --> 00:00:27.600]  這位姐妹很有智慧和幽默回答
[00:00:27.600 --> 00:00:29.600]  這位姐妹很有智慧和幽默回答
[00:00:29.600 --> 00:00:31.600]  今天來之前我已經祈禱了
[00:00:31.600 --> 00:00:33.600]  今天來之前我已經禱告了
[00:00:33.600 --> 00:00:35.600]  耶穌說
[00:00:35.600 --> 00:00:37.600]  你是一個好醫生
[00:00:37.600 --> 00:00:39.600]  所以我就來了
[00:00:39.600 --> 00:00:41.600]  希伯來書的作者說
[00:00:41.600 --> 00:00:43.600]  希伯來書的作者說
[00:00:43.600 --> 00:00:45.600]  上帝的話是活潑的
[00:00:45.600 --> 00:00:47.600]  是有功效的
[00:00:47.600 --> 00:00:49.600]  上帝的話語是活潑的
[00:00:49.600 --> 00:00:51.600]  是有功效的
[00:00:51.600 --> 00:00:53.600]  他的意思是我們身為基督徒
[00:00:53.600 --> 00:00:55.600]  應該表現出活潑
[00:00:55.600 --> 00:00:57.600]  應該表現出活潑
[00:00:57.600 --> 00:00:59.600]  喜樂的生活方式
[00:00:59.600 --> 00:01:01.600]  有些教派非常保守
[00:01:01.600 --> 00:01:03.600]  有些教派非常保守
[00:01:03.600 --> 00:01:05.600]  認為基督徒不應該做這樣
[00:01:05.600 --> 00:01:07.600]  認為基督徒不應該做那樣
