
[00:00:00.000 --> 00:00:02.680]  好 我想大家先看一些相片
[00:00:02.680 --> 00:00:05.680]  你看到這些相片 這些動物
[00:00:05.680 --> 00:00:08.760]  你聯想到什麼地方呢?
[00:00:08.760 --> 00:00:11.640]  非洲
[00:00:11.640 --> 00:00:16.440]  中國 看 獅子是中國
[00:00:16.440 --> 00:00:21.820]  這是獅子來的
[00:00:21.820 --> 00:00:29.580]  獅子是哪個國家的代表?
[00:00:30.260 --> 00:00:33.060]  非洲 咦 應該是
[00:00:33.060 --> 00:00:36.020]  新加坡多一點 新加坡是獅城
[00:00:36.020 --> 00:00:38.840]  好 我們看下一張圖片
[00:00:38.840 --> 00:00:41.940]  紅雞呢 紅雞是哪個國家
[00:00:41.940 --> 00:00:43.260]  什麼地方比較多?
[00:00:43.260 --> 00:00:49.840]  法國 沒錯了 紅雞是法國的
[00:00:49.840 --> 00:00:52.540]  國家動物 好了 這個比較容易
[00:00:52.540 --> 00:00:53.580]  這個很容易
[00:00:53.580 --> 00:00:57.800]  一看就知道是美國 好 下一個更加容易
[00:00:58.920 --> 00:01:00.200]  再下一個呢
[00:01:00.200 --> 00:01:03.880]  再下一個呢 羊代表什麼呢?
[00:01:03.880 --> 00:01:12.100]  羊是代表天國
[00:01:25.940 --> 00:01:28.920]  其實在聖經裏面有很多地方都說
[00:01:28.920 --> 00:01:31.940]  羊是代表什麼呢?是一些屬神的子民
[00:01:31.940 --> 00:01:35.040]  神就是那位大目者
[00:01:35.040 --> 00:01:37.180]  如果你想想舊約和新約
[00:01:37.180 --> 00:01:39.000]  很多聖經其實都有講
[00:01:39.000 --> 00:01:42.720]  在舊約的詩篇二十三篇第一節
[00:01:42.720 --> 00:01:45.720]  耶和華是我的目者
[00:01:45.720 --> 00:01:49.120]  在以賽亞書五十三章六節
[00:01:49.120 --> 00:01:51.380]  我們都如羊走迷
[00:01:51.380 --> 00:01:54.520]  各人偏行幾路 去到新約
[00:01:54.520 --> 00:01:56.940]  馬福音六章三十四節
[00:01:56.940 --> 00:01:58.840]  耶穌憐憫他們
[00:01:58.840 --> 00:02:00.840]  因為他們如同羊
[00:02:00.840 --> 00:02:03.040]  沒有牧人一般
[00:02:03.040 --> 00:02:07.000]  聖經很多時候會用羊來形容人
[00:02:07.000 --> 00:02:09.960]  而我們要歸一個目者
[00:02:09.960 --> 00:02:12.120]  去看管我們
[00:02:12.120 --> 00:02:15.080]  那麼羊是什麼動物呢?
[00:02:15.080 --> 00:02:17.640]  其實羊是一種很脆弱的動物
[00:02:17.640 --> 00:02:21.360]  牠很容易迷路的 沒有什麼方向感
[00:02:21.440 --> 00:02:25.220]  還有羊是沒有保護自己的能力的
[00:02:25.220 --> 00:02:26.440]  牠很脆弱
[00:02:26.440 --> 00:02:30.020]  猛獸和狼狸會驅散牠們
[00:02:30.020 --> 00:02:35.160]  最近有幾宗新聞
[00:02:35.160 --> 00:02:37.400]  令我很多感嘆
[00:02:37.400 --> 00:02:41.100]  我覺得原來人可能比羊還要差
[00:02:41.100 --> 00:02:43.420]  第一宗新聞就是
[00:02:43.420 --> 00:02:45.820]  我想大家都很記得的
[00:02:45.820 --> 00:02:47.120]  就是在大角咀
[00:02:47.120 --> 00:02:50.240]  有兩兄弟的弟弟
[00:02:50.240 --> 00:02:52.040]  二十九歲的弟弟
