
[00:00:00.000 --> 00:00:04.040]  我們讀一段聖經 以賽亞書第六四章第四節
[00:00:04.040 --> 00:00:05.940]  以賽亞書第六四章第四節
[00:00:05.940 --> 00:00:07.940]  只有一節的聖經 我們一同來唸
[00:00:07.940 --> 00:00:12.400]  從古以來人未曾聽見 未曾耳聞 未曾眼見
[00:00:12.400 --> 00:00:16.800]  在你以外有什麼神 爲等候他的人行事
[00:00:16.800 --> 00:00:18.800]  我們就讀到這裏
[00:00:18.800 --> 00:00:21.100]  再過幾個禮拜就是聖誕節
[00:00:21.100 --> 00:00:23.600]  事實上在教會整個傳統當中
[00:00:23.600 --> 00:00:26.480]  在進入聖誕節之前
[00:00:26.480 --> 00:00:33.000]  教會開始進入Advent Season 就是耶穌降臨的一個節期
[00:00:33.000 --> 00:00:35.600]  那是一個教導信徒
[00:00:35.600 --> 00:00:41.700]  能夠在聖誕節期間等候彌賽亞降臨的一個節期
[00:00:41.700 --> 00:00:45.480]  換句話說 聖誕節不但是一個歡樂的節期
[00:00:45.480 --> 00:00:50.300]  聖誕節更是教導我們來等候神的一個節期
[00:00:50.300 --> 00:00:51.000]  爲什麼呢?
[00:00:51.000 --> 00:00:53.200]  因爲整個聖誕的故事
[00:00:53.200 --> 00:00:58.600]  就是一個長遠渴望在神面前的等候
[00:00:58.600 --> 00:01:00.800]  在整個舊書歷史裏面
[00:01:00.800 --> 00:01:03.900]  你看見神不斷地向他的百姓
[00:01:03.900 --> 00:01:08.300]  應許到有一位救主耶穌基督的降臨
[00:01:08.300 --> 00:01:13.800]  但其中中間充滿多少漫長的黑夜
[00:01:13.800 --> 00:01:18.200]  在整個教會歷史 在整個聖經的歷史當中
[00:01:18.200 --> 00:01:22.800]  多少的列祖 先知 多少神的百姓
[00:01:22.800 --> 00:01:28.800]  他們引頸仰望 渴望這位彌賽亞救主的降臨
[00:01:28.800 --> 00:01:32.900]  但好像在舊約時代裏面似乎一點跡象都沒有
