
[00:00:00.000 --> 00:00:03.400]  第一節早上,今天有許多意外
[00:00:03.400 --> 00:00:05.440]  但是我們回來也要很感恩
[00:00:05.440 --> 00:00:09.760]  讓我們一同為了我們講道和聽道的服侍禱告
[00:00:09.760 --> 00:00:12.320]  主,我們感謝祢,讓我們能夠相聚
[00:00:12.320 --> 00:00:17.680]  讓我們能夠今天一同積聚在阿摩斯書當中學習
[00:00:17.680 --> 00:00:19.920]  圓主,祢就是這樣帶領我們
[00:00:19.920 --> 00:00:22.560]  無論在我們今天的講道
[00:00:22.560 --> 00:00:26.080]  或者我們當中一起去聆聽上帝祢的話語
[00:00:26.080 --> 00:00:30.320]  圓主,祢藉著聖靈與我們同在時刻提醒我們
[00:00:30.320 --> 00:00:32.080]  讓我們的心靈開放
[00:00:32.080 --> 00:00:35.840]  看見上帝祢的說話如何植入我們的心靈當中
[00:00:35.840 --> 00:00:38.960]  奉主耶穌基督聖名祈求,阿門
[00:00:38.960 --> 00:00:42.320]  不知道大家有沒有聽過什麼叫做人口販賣?
[00:00:42.320 --> 00:00:43.760]  Human Trafficking
[00:00:43.760 --> 00:00:47.280]  人口販賣是一種現代的奴役
[00:00:47.280 --> 00:00:51.760]  是一個第三大規模的非法貿易
[00:00:51.760 --> 00:00:54.640]  人口販賣是一種很嚴重的罪行
[00:00:54.640 --> 00:00:57.520]  就是牽涉很多濫用的權力
[00:00:57.520 --> 00:01:01.760]  包括可能是強迫、威嚇、然後拐帶
[00:01:01.760 --> 00:01:05.360]  或者用欺騙的方法去剝削受害者個人的權益
[00:01:05.360 --> 00:01:09.040]  以及自由,以謀取一些暴利
[00:01:09.040 --> 00:01:11.520]  雖然無論是什麼國籍
[00:01:11.520 --> 00:01:15.200]  可能不同的社會階層性別、教育的程度
[00:01:15.200 --> 00:01:19.280]  都有機會被人口販賣成為受害者
[00:01:19.280 --> 00:01:22.800]  當落入了這些人口販賣的網絡裏面
[00:01:22.800 --> 00:01:26.720]  受害者通常都很難離開
[00:01:26.720 --> 00:01:30.240]  因為都會被販賣者所困住
[00:01:30.240 --> 00:01:33.680]  然後不可以離開,也不可以求助
[00:01:33.680 --> 00:01:36.800]  什麼人很容易會成為人口販賣
[00:01:36.800 --> 00:01:40.400]  就是販子的一些目標呢?
[00:01:40.400 --> 00:01:43.520]  可能是一些經濟很差的地方
[00:01:43.520 --> 00:01:48.080]  用他們的生命或者賣一些器官
[00:01:48.080 --> 00:01:50.560]  然後這個是一個原因
[00:01:50.560 --> 00:01:52.240]  又或者是戰爭難民
[00:01:52.240 --> 00:01:55.120]  因為他們可能希望逃離戰爭的家園
[00:01:55.120 --> 00:01:57.360]  但是因此就被騙了
[00:01:57.360 --> 00:02:00.560]  也有很多以法者的國家裏面
[00:02:00.560 --> 00:02:05.040]  都有很多被騙的網騙的一些經歷
[00:02:05.040 --> 00:02:07.600]  讓他們被人口販賣
[00:02:07.600 --> 00:02:11.440]  而當中雖然我們以一席的數據來看
[00:02:11.440 --> 00:02:12.720]  是女性為主
[00:02:12.720 --> 00:02:16.560]  不過其實原來男性都已經有增加的趨勢
