
[00:00:00.000 --> 00:00:08.000]  各位大仙姐妹,早晨,祝你們平安,很高興回到自己的母會正道
[00:00:08.000 --> 00:00:11.000]  多謝主席這麼詳細的介紹
[00:00:11.000 --> 00:00:18.000]  不過我想往後跟教會有一些約定會再詳細介紹新的侍奉崗位
[00:00:18.000 --> 00:00:21.000]  今天主要是為大家分享,上帝在此
[00:00:21.000 --> 00:00:26.000]  亦多謝台上服侍的大仙姐妹,感恩你們的侍奉
[00:00:28.000 --> 00:00:33.000]  今天的主題是真道的教會,超然的群體
[00:00:33.000 --> 00:00:37.000]  這段經文讓我自己有一些反省
[00:00:37.000 --> 00:00:46.000]  教會必須要講聖經,信徒必須要履行上帝給我們的教訓
[00:00:46.000 --> 00:00:48.000]  一本聖經的教訓
[00:00:48.000 --> 00:00:55.000]  古人就說,盡信書則不如無書
[00:00:55.000 --> 00:00:59.000]  我自己覺得要嘲笑一下
[00:00:59.000 --> 00:01:05.000]  雖然這句說話是對的,不是嘲笑
[00:01:05.000 --> 00:01:13.000]  如果你讀書,就不可以求求其其,不求甚解去讀書
[00:01:13.000 --> 00:01:17.000]  或者隨便去讀書,這是本身的意思
[00:01:17.000 --> 00:01:23.000]  不過盡信書卻不如無書,我就用字面去曲解
[00:01:23.000 --> 00:01:28.000]  借用,借題發揮,其實有一本書真的要盡信
[00:01:28.000 --> 00:01:33.000]  這本就是,有人這樣說的,不知道有沒有聽過
[00:01:33.000 --> 00:01:37.000]  叫聖經書,我們真的要盡信這本書
[00:01:37.000 --> 00:01:42.000]  神講的說話,我們要相信,並且我們要履行
[00:01:42.000 --> 00:01:46.000]  所以,真道的教會,超然的群體,稍後跟大家講解
[00:01:46.000 --> 00:01:51.000]  今天講的程序會比較快速
[00:01:51.000 --> 00:01:54.000]  但是,給大家一點心理準備
[00:01:54.000 --> 00:02:00.000]  頭20分鐘到25分鐘,都會講解
[00:02:00.000 --> 00:02:04.000]  希望大家都,斗守聖經結晨
[00:02:04.000 --> 00:02:06.000]  希望大家不會覺得很累
[00:02:06.000 --> 00:02:12.000]  最後才跟大家分享聖經的看法,5分鐘的分享
[00:02:12.000 --> 00:02:15.000]  我們開始,我們做個祈禱
[00:02:18.000 --> 00:02:23.000]  主耶穌基督,我們多謝祢自己,是那位道,來到這個世界
[00:02:23.000 --> 00:02:26.000]  滿有因典和真理
[00:02:26.000 --> 00:02:30.000]  祢自己,憑著祢自己當初的恩兆
[00:02:30.000 --> 00:02:33.000]  去呼召我們,成為祢的教會
[00:02:33.000 --> 00:02:36.000]  我們多謝祢賜下聖言給我們
[00:02:36.000 --> 00:02:38.000]  我們手上有一本書,聖經
[00:02:38.000 --> 00:02:41.000]  求祢幫助我們今天,在這個經文裡面
