
[00:00:00.000 --> 00:00:02.440]  我們再一次在神面前禱告
[00:00:02.440 --> 00:00:04.680]  讓我們安靜在神面前
[00:00:04.680 --> 00:00:10.040]  當整個世界都在紛亂之中
[00:00:10.040 --> 00:00:12.680]  世人為了利益
[00:00:12.680 --> 00:00:16.040]  為了很多衝突
[00:00:16.040 --> 00:00:18.800]  血氣之勇
[00:00:18.800 --> 00:00:22.080]  卻忘記在天上
[00:00:22.080 --> 00:00:24.400]  神仍然在掌管一切
[00:00:24.400 --> 00:00:26.640]  按照聖經的教導
[00:00:26.640 --> 00:00:28.040]  耶穌基督來了
[00:00:28.040 --> 00:00:29.440]  成就救恩
[00:00:30.280 --> 00:00:33.120]  今天讓我們在地上敬拜主的人
[00:00:33.120 --> 00:00:37.360]  都知道我們要跟從主
[00:00:37.360 --> 00:00:40.320]  做效法主的門徒
[00:00:40.320 --> 00:00:43.320]  主,祢曾經三次問彼得
[00:00:43.320 --> 00:00:44.600]  「你愛我嗎?」
[00:00:44.600 --> 00:00:47.400]  「你愛我比這些更深嗎?」的時候
[00:00:47.400 --> 00:00:50.160]  讓我們都藉著這段經文反省
[00:00:50.160 --> 00:00:52.920]  我們有沒有真的愛祢
[00:00:52.920 --> 00:00:54.960]  比其他的東西更多
[00:00:54.960 --> 00:00:58.040]  我們有沒有忘記我們的身份
[00:00:58.040 --> 00:00:59.760]  我們是神所愛
[00:01:00.240 --> 00:01:01.480]  是神的兒女
[00:01:01.480 --> 00:01:03.760]  是跟從主的門徒
[00:01:03.760 --> 00:01:05.680]  求主幫助我們
[00:01:05.680 --> 00:01:08.880]  或許未信的人會迷失
[00:01:08.880 --> 00:01:11.240]  但如果我們跟從祢的人
[00:01:11.240 --> 00:01:13.920]  我們信主的人都迷失的時候
[00:01:13.920 --> 00:01:15.520]  求主幫助我們
[00:01:15.520 --> 00:01:18.240]  靠祢懂得回轉
[00:01:18.240 --> 00:01:19.640]  懂得思考
[00:01:19.640 --> 00:01:21.360]  重新被祢建立
[00:01:21.360 --> 00:01:24.000]  求祢聽我們祈禱奉耶穌的聖名
[00:01:24.000 --> 00:01:27.440]  不知道你人生有沒有試過
[00:01:27.440 --> 00:01:29.400]  很迷失的時候
[00:01:29.480 --> 00:01:31.280]  不是迷失的那種人
[00:01:31.280 --> 00:01:33.040]  你最初來寶江
[00:01:33.040 --> 00:01:35.680]  來這裡教會有沒有試過迷失
[00:01:35.680 --> 00:01:37.880]  有嗎?真的有嗎?
[00:01:37.880 --> 00:01:40.320]  有些朋友第一次來
[00:01:40.320 --> 00:01:44.440]  你知道來寶江大廈有一個難題是什麼嗎?
[00:01:44.440 --> 00:01:48.680]  因為你走到門口
[00:01:48.680 --> 00:01:50.760]  你只看到Club One
[00:01:50.760 --> 00:01:56.560]  還有你看到這個大廈的英文名叫Stellar
[00:01:57.840 --> 00:02:01.360]  你很難看不到寶江這兩個字
[00:02:01.360 --> 00:02:04.560]  有些朋友來找我
[00:02:04.560 --> 00:02:06.040]  他說
[00:02:06.040 --> 00:02:07.960]  他一開始就很鎮定
[00:02:07.960 --> 00:02:10.360]  「哦,行啦,你說得這麼容易」
[00:02:10.360 --> 00:02:12.280]  「如港灣隔離」
[00:02:12.280 --> 00:02:14.800]  「中學隔離就是」
[00:02:14.800 --> 00:02:16.120]  但來到門口
