
[00:00:00.000 --> 00:00:04.000]  早晨,預祝大家聖誕快樂
[00:00:04.000 --> 00:00:09.000]  請我們再一次同心,我們一同來祈禱
[00:00:09.000 --> 00:00:12.000]  慈悲仁愛天父,我們滿心感謝你
[00:00:12.000 --> 00:00:15.000]  給你寶貴的話語作為我們生命的指引
[00:00:15.000 --> 00:00:18.000]  教導我們怎樣去活得精彩
[00:00:18.000 --> 00:00:22.000]  教導我們怎樣看聖誕
[00:00:22.000 --> 00:00:25.000]  教導我們怎樣去接觸聖誕
[00:00:25.000 --> 00:00:27.000]  以致我們的生命是有改變
[00:00:27.000 --> 00:00:33.000]  求你藉著你自己的話語去提醒,勸勉,教導,挑戰,安慰我們
[00:00:33.000 --> 00:00:36.000]  祈禱奉耶穌名求,阿們
[00:00:36.000 --> 00:00:41.000]  在1998年,出名的導演Steven Spielberg
[00:00:41.000 --> 00:00:44.000]  拍了一套非常出色的電影
[00:00:44.000 --> 00:00:47.000]  電影的名字叫Saving Private Ryan
[00:00:47.000 --> 00:00:50.000]  中文叫做《旅庭救兵》
[00:00:50.000 --> 00:00:56.000]  表面上這套電影是講述一些非常殘酷的戰爭的電影
[00:00:56.000 --> 00:00:59.000]  但其實心底裡是講述人生的問題
[00:00:59.000 --> 00:01:02.000]  在第二次世界大戰的時候,1944年6月6日
[00:01:02.000 --> 00:01:05.000]  盟軍在諾曼地登陸,大舉反攻
[00:01:05.000 --> 00:01:09.000]  當時,美軍的一個Captain叫John Miller
[00:01:09.000 --> 00:01:12.000]  帶著他的中隊在Omaha Beach登陸
[00:01:12.000 --> 00:01:16.000]  遇到德國軍隊的強暴反抗
[00:01:16.000 --> 00:01:19.000]  結果在他的隊裡有一半人身亡
[00:01:19.000 --> 00:01:25.000]  D-Day過了之後,Captain Miller就收到軍方總部給他的一個消息
[00:01:25.000 --> 00:01:31.000]  要帶七個人到前方找一個叫James Ryan的散兵
[00:01:31.000 --> 00:01:35.000]  要救他脫離戰場,回去美國跟他媽媽團聚
[00:01:35.000 --> 00:01:37.000]  為什麼會這樣呢?
[00:01:37.000 --> 00:01:41.000]  原來美軍的最高統帥General George Marshall
[00:01:41.000 --> 00:01:45.000]  知道James Ryan有三個兄弟
[00:01:45.000 --> 00:01:50.000]  兩個兄弟在D-Day登陸的時候戰死
[00:01:50.000 --> 00:01:56.000]  第三個兒子也在太平洋戰爭被日軍打死
[00:01:56.000 --> 00:02:05.000]  仁慈的Marshall將軍覺得一個媽媽為國家獻上三個兒子已經夠了
[00:02:05.000 --> 00:02:10.000]  於是就下令軍方要叫他最後一個兒子Ryan
[00:02:10.000 --> 00:02:14.000]  回去美國跟他媽媽團聚
[00:02:14.000 --> 00:02:22.000]  但當時Ryan參加了506中隊負責在德國的前方死守橋堡
[00:02:22.000 --> 00:02:26.000]  防止德軍越過這個河
[00:02:26.000 --> 00:02:28.000]  這是一個非常戰略性的地方
