
[00:00:00.000 --> 00:00:02.540]  很高興再次能夠在主日崇拜的時間
[00:00:02.540 --> 00:00:05.060]  和大家一起分享主的說話
[00:00:05.060 --> 00:00:07.140]  讓我們先聽主的道義
[00:00:07.140 --> 00:00:08.780]  讓我們先同心地禱告
[00:00:08.780 --> 00:00:10.500]  讓我們一起同心低頭
[00:00:10.500 --> 00:00:13.540]  讓我們在主的當中
[00:00:13.540 --> 00:00:14.420]  親愛的恩主 多謝祢
[00:00:14.420 --> 00:00:17.900]  讓我們能夠再次回到祢在主日的時間
[00:00:17.900 --> 00:00:21.020]  同心地去追求主的道理
[00:00:21.020 --> 00:00:23.540]  能夠在祢的華語當中
[00:00:23.540 --> 00:00:25.780]  能夠更明白祢是怎樣的主
[00:00:25.780 --> 00:00:27.260]  怎樣的神
[00:00:27.260 --> 00:00:28.740]  求祢幫助我們
[00:00:28.740 --> 00:00:30.500]  積聚聖靈的引導
[00:00:30.500 --> 00:00:31.460]  讓我們曉得
[00:00:31.460 --> 00:00:35.020]  怎樣能夠走在一條永恆的道路當中
[00:00:35.020 --> 00:00:36.940]  所以求祢讓我們今天
[00:00:36.940 --> 00:00:40.340]  再次打開祢的寶庫的說話的時候
[00:00:40.340 --> 00:00:42.140]  讓我們能夠仔細地明白
[00:00:42.140 --> 00:00:43.500]  祢是怎樣的主
[00:00:43.500 --> 00:00:45.460]  讓我們能夠從今天開始
[00:00:45.460 --> 00:00:48.260]  預備怎樣活在永恆的當中
[00:00:48.260 --> 00:00:49.660]  我們親愛的父親基辛利
[00:00:49.660 --> 00:00:53.060]  讓我們能夠再次有這一樣的福氣
[00:00:53.060 --> 00:00:55.380]  能夠打開祢的華語
[00:00:55.380 --> 00:00:56.580]  大家好好預備
[00:00:56.580 --> 00:00:58.340]  我們怎樣在永恆的當中
[00:00:58.340 --> 00:00:59.620]  與祢同和
[00:00:59.620 --> 00:01:02.020]  求祢的心靈陪伴我們
[00:01:02.020 --> 00:01:04.900]  更了解祢是怎樣一位神
[00:01:04.900 --> 00:01:06.260]  求祢的帶領
[00:01:06.260 --> 00:01:07.220]  我們的天父
[00:01:07.220 --> 00:01:08.340]  再次感謝
[00:01:08.340 --> 00:01:10.820]  祢給了我們一個機會
[00:01:10.820 --> 00:01:12.820]  讓我們可以回到祢的說話
[00:01:12.820 --> 00:01:14.180]  我們可以準備我們的心
[00:01:14.180 --> 00:01:15.180]  我們的靈魂
[00:01:15.180 --> 00:01:16.300]  我們的靈魂
[00:01:16.300 --> 00:01:18.180]  讓我們可以準備
[00:01:18.180 --> 00:01:20.820]  在今天開始活在永恆的當中
[00:01:20.820 --> 00:01:22.700]  所以主,請幫助我們
[00:01:22.700 --> 00:01:24.580]  透過祢的聖靈
[00:01:24.580 --> 00:01:25.980]  讓我們知道祢是誰
[00:01:25.980 --> 00:01:28.460]  我們在主耶穌基督的名下祈禱
[00:01:28.460 --> 00:01:29.780]  我們同心的禱告
[00:01:29.780 --> 00:01:32.180]  是奉靠主耶穌基督得勝的名字
[00:01:32.180 --> 00:01:33.180]  阿們
[00:01:33.180 --> 00:01:36.820]  今天和大家一起分享的經文
[00:01:36.820 --> 00:01:40.820]  是出自《迦拉太書》的第二章
[00:01:40.820 --> 00:01:43.340]  從第一節至第五節
[00:01:43.340 --> 00:01:45.100]  其實這一部份是屬於
[00:01:45.100 --> 00:01:48.260]  從第二章第一至第十節的頭一半
[00:01:48.260 --> 00:01:50.620]  我們會分開兩堂的時間
[00:01:50.620 --> 00:01:52.620]  去看看這段聖經
