
[00:00:00.000 --> 00:00:03.000]  尹牧師今日要同我們分享的訊息是
[00:00:03.000 --> 00:00:05.000]  嘩!你真棒!
[00:00:05.000 --> 00:00:07.000]  我們的題目國語
[00:00:07.000 --> 00:00:13.000]  就是好像剛才主席所讀出的標準的國語那個音
[00:00:13.000 --> 00:00:18.000]  假如你是比較屬於師奶級的
[00:00:18.000 --> 00:00:21.000]  你可能就會喜歡說
[00:00:21.000 --> 00:00:23.000]  嘩!你真棒!
[00:00:23.000 --> 00:00:26.000]  如果你是很喜歡看電視的
[00:00:26.000 --> 00:00:30.000]  你就會說你真棒!
[00:00:30.000 --> 00:00:33.000]  如果你是老伯一點的
[00:00:33.000 --> 00:00:36.000]  你可能會說嘩!你真棒!
[00:00:36.000 --> 00:00:38.000]  你真棒!
[00:00:38.000 --> 00:00:42.000]  你就會說你老伯一點的
[00:00:42.000 --> 00:00:47.000]  我會分開四個階段來說
[00:00:47.000 --> 00:00:50.000]  為什麼這句話不是一句擦鞋的說話
[00:00:50.000 --> 00:00:58.000]  是一句很有社會神學聖經支持的說話
[00:00:58.000 --> 00:01:02.000]  我會分開四個階段說
[00:01:02.000 --> 00:01:05.000]  你的自我形象為什麼這麼低
[00:01:05.000 --> 00:01:09.000]  第二就是觀點與角度的改變
[00:01:09.000 --> 00:01:17.000]  第三就是人類的尊貴本質和遺訓
[00:01:17.000 --> 00:01:22.000]  第四就是講到再上路
[00:01:22.000 --> 00:01:26.000]  我會分開這四個階段來解釋
[00:01:26.000 --> 00:01:32.000]  假如你在報紙或者雜誌
[00:01:32.000 --> 00:01:37.000]  看到一個用引號引出來的符號
[00:01:37.000 --> 00:01:42.000]  那個符號就是有星、交叉、井
[00:01:42.000 --> 00:01:49.000]  文畫符號、指向的箭咀
[00:01:49.000 --> 00:01:54.000]  你會怎麼解釋這些說話呢?
[00:01:54.000 --> 00:01:57.000]  如果你的生命質素很低
[00:01:57.000 --> 00:02:01.000]  你就浮現一片粗口
[00:02:01.000 --> 00:02:03.000]  生命質素比較高一點
[00:02:03.000 --> 00:02:08.000]  你就知道這句是天使說的話
[00:02:08.000 --> 00:02:12.000]  翻譯為廣東話就是「哇!你真棒!」
[00:02:12.000 --> 00:02:14.000]  以後再看到這句說話
[00:02:14.000 --> 00:02:18.000]  就不要再想起粗口了
[00:02:18.000 --> 00:02:20.000]  我試試詳細解釋一下
[00:02:20.000 --> 00:02:22.000]  為什麼會這樣
[00:02:22.000 --> 00:02:25.000]  現在試試我們玩一個遊戲
[00:02:25.000 --> 00:02:29.000]  假如你現在拿個一元
[00:02:29.000 --> 00:02:31.000]  坐在座位都無所謂的
[00:02:31.000 --> 00:02:33.000]  或者你走出街
[00:02:33.000 --> 00:02:34.000]  向後一扔
[00:02:34.000 --> 00:02:37.000]  無論扔中誰
[00:02:37.000 --> 00:02:39.000]  你問問他
[00:02:39.000 --> 00:02:43.000]  你問問他自己覺得自己是怎樣的
[00:02:43.000 --> 00:02:46.000]  是不是那些一事無成
[00:02:46.000 --> 00:02:48.000]  將來都不會有什麼大改變
[00:02:48.000 --> 00:02:50.000]  就是說是容祿一生的
[00:02:50.000 --> 00:02:53.000]  你猜我這個遊戲
[00:02:53.000 --> 00:02:56.000]  猜中的率有多高呢?
[00:02:56.000 --> 00:03:00.000]  五成?還是八成?
[00:03:00.000 --> 00:03:03.000]  我很相信超過八成
[00:03:03.000 --> 00:03:05.000]  去到九成
[00:03:05.000 --> 00:03:07.000]  事實上
[00:03:07.000 --> 00:03:11.000]  那些體上腦就是靠這個現象來謀生的
[00:03:11.000 --> 00:03:15.000]  因為他知道我們每個人的自我形象
[00:03:15.000 --> 00:03:18.000]  是非常的低的
[00:03:18.000 --> 00:03:21.000]  然後他就會說出一大串
[00:03:21.000 --> 00:03:24.000]  其實有腦筋的都會說的話
[00:03:24.000 --> 00:03:30.000]  就養活了我們香港很多的體上腦
[00:03:30.000 --> 00:03:33.000]  很多時候
