
[00:00:00.000 --> 00:00:06.180]  一個群體或一個國家最有權力的就是皇帝?
[00:00:06.180 --> 00:00:09.900]  一個群體或一個國家最有權力的就是皇帝
[00:00:09.900 --> 00:00:13.280]  那怎樣才做到皇帝呢?
[00:00:13.280 --> 00:00:15.640]  怎麼才可以當上皇帝呢?
[00:00:15.640 --> 00:00:19.040]  那你可能如果看回英國的皇帝呢?
[00:00:19.040 --> 00:00:20.980]  如果我們來看英國的皇帝呢?
[00:00:20.980 --> 00:00:22.980]  就是一代一代傳下來是不是?
[00:00:22.980 --> 00:00:24.320]  就是一代一代傳下來
[00:00:24.320 --> 00:00:27.180]  但我們英國的皇帝其實就沒什麼權力的
[00:00:27.180 --> 00:00:30.620]  但我們英國的皇帝其實就沒什麼實權的
[00:00:30.620 --> 00:00:33.300]  但以前英國的皇帝都是很大權的
[00:00:33.300 --> 00:00:36.520]  可以前的英國的皇帝權力是很大
[00:00:36.520 --> 00:00:42.800]  是這個所謂將權力交回給人民的這個講法
[00:00:42.800 --> 00:00:45.980]  是最近這兩百年才開始有的
[00:00:45.980 --> 00:00:49.540]  把權力回交給人民這個講法
[00:00:49.540 --> 00:00:51.720]  也是最近兩百年才會有的
[00:00:51.720 --> 00:00:54.760]  那我們古代中國也有很多皇帝是不是?
[00:00:54.760 --> 00:00:57.420]  那我們古代中國也是有很多的皇帝
[00:00:57.420 --> 00:00:59.560]  那通常是怎樣才做到皇帝呢?
[00:00:59.560 --> 00:01:01.720]  通常怎麼才可以當上皇帝呢?
[00:01:01.720 --> 00:01:03.120]  就要夠兇是不是?
[00:01:03.120 --> 00:01:04.720]  一來就夠兇
[00:01:04.720 --> 00:01:06.220]  又要好打
[00:01:06.220 --> 00:01:08.800]  又要能夠打的
[00:01:08.800 --> 00:01:11.900]  那最重要就是要有一群人去服從他才行
[00:01:11.900 --> 00:01:14.700]  最重要是要有一群人去服從他
[00:01:14.700 --> 00:01:16.400]  這個是很重要的
[00:01:16.400 --> 00:01:17.440]  這是很重要的
[00:01:17.440 --> 00:01:21.080]  就算你有多有能力也好
[00:01:21.080 --> 00:01:22.440]  就算多麼有能力也好
[00:01:22.440 --> 00:01:24.640]  就算多麼有威水也好
[00:01:24.640 --> 00:01:25.980]  無論是多麼威風也好
[00:01:25.980 --> 00:01:27.260]  多麼好打也好
[00:01:27.260 --> 00:01:28.080]  多麼好打也好
[00:01:28.080 --> 00:01:29.420]  多麼惡也好
[00:01:29.420 --> 00:01:31.160]  多凶惡也好
[00:01:31.160 --> 00:01:34.660]  如果沒有一群人去支持你
[00:01:34.660 --> 00:01:35.880]  你是做不到皇帝的
[00:01:35.880 --> 00:01:38.020]  如果沒有一群人來支持你的話
[00:01:38.020 --> 00:01:39.040]  是當不上皇帝的
[00:01:39.040 --> 00:01:41.060]  這個星期大家看了一個新聞是不是?
[00:01:41.060 --> 00:01:42.480]  這個星期大家有看那個新聞
[00:01:42.480 --> 00:01:44.160]  在非洲的津巴布韋
[00:01:44.160 --> 00:01:45.480]  聖巴菲的地方
[00:01:45.480 --> 00:01:48.460]  在非洲的津巴布韋
[00:01:48.460 --> 00:01:51.620]  他那個就是總統不是皇帝
[00:01:51.620 --> 00:01:53.680]  他們那個是總統不是皇帝
[00:01:53.680 --> 00:01:56.300]  但是他一直都當自己是皇帝的很多年
[00:01:56.300 --> 00:01:58.280]  可是他一直把自己當成了皇帝
[00:01:58.280 --> 00:01:59.560]  做了幾十年了
[00:01:59.560 --> 00:02:01.120]  他當上了幾十年了
