
[00:00:00.000 --> 00:00:05.200]  上個月我太太在醫院
[00:00:05.200 --> 00:00:12.440]  但估不到她今天已經安息
[00:00:12.440 --> 00:00:16.520]  我掙扎了很久來不來
[00:00:16.520 --> 00:00:19.320]  但我決定了來
[00:00:19.320 --> 00:00:25.440]  第一我很想見一些像我自己家人般親的人
[00:00:25.440 --> 00:00:31.040]  第二我知道我太太Ellen想我來
[00:00:31.040 --> 00:00:35.360]  因為我們一生活著都是為了主
[00:00:35.360 --> 00:00:37.160]  為了一個福音
[00:00:37.160 --> 00:00:41.240]  所以我相信她願意我來
[00:00:41.240 --> 00:00:43.800]  不過和往常不一樣
[00:00:43.800 --> 00:00:46.360]  我就想在開始做一個祈禱
[00:00:46.360 --> 00:00:51.480]  因為我這兩個星期日日都哭泣
[00:00:51.480 --> 00:00:57.800]  所以我很需要神給我有額外的力量
[00:00:57.800 --> 00:01:01.920]  所以我想大家在低頻有個祈禱
[00:01:01.920 --> 00:01:05.560]  我們天上的符和你
[00:01:05.560 --> 00:01:11.000]  接了你心愛的女兒Ellen回到你的懷中
[00:01:11.000 --> 00:01:14.760]  主耶穌你憐憫我
[00:01:14.760 --> 00:01:22.200]  因為這一刻我知道我是分享你十字架
[00:01:22.200 --> 00:01:24.240]  死和復活
[00:01:24.240 --> 00:01:27.880]  這個很大體的訊息
[00:01:27.880 --> 00:01:29.840]  但我需要你的力量
[00:01:29.840 --> 00:01:34.040]  聖靈你憐憫你給我
[00:01:34.040 --> 00:01:38.920]  依靠你能夠有力量去分享
[00:01:38.920 --> 00:01:41.240]  一個這麼重要的訊息
[00:01:41.240 --> 00:01:44.440]  但是一個這麼傷痛的時刻
[00:01:44.440 --> 00:01:46.800]  主耶穌我需要你
[00:01:46.800 --> 00:01:49.120]  主耶穌你憐憫我
[00:01:49.120 --> 00:01:52.520]  我仰望祈禱奉主耶穌的靈感
[00:01:52.520 --> 00:01:57.560]  我每次來這裡都是復活節
[00:01:57.560 --> 00:02:04.720]  復活節是我一生生命改變的節日
[00:02:04.720 --> 00:02:08.960]  因為基督的死因為他的復活
[00:02:08.960 --> 00:02:11.320]  我心裡不再一樣
[00:02:11.320 --> 00:02:16.480]  數以千千萬萬的人生命不再一樣
[00:02:16.480 --> 00:02:20.280]  而今次的主題是我定的
[00:02:20.280 --> 00:02:22.800]  因為一個人一生成長
[00:02:22.800 --> 00:02:25.680]  有幾樣最重要的東西
[00:02:25.680 --> 00:02:29.200]  心理學家告訴我有幾個很重要的課題
[00:02:29.200 --> 00:02:31.200]  一個是安全感
[00:02:31.200 --> 00:02:33.200]  Security
[00:02:33.200 --> 00:02:36.080]  為什麼這麼多人不secure
[00:02:36.080 --> 00:02:42.320]  錢 物質 成名成利就給不到我們security
[00:02:42.320 --> 00:02:46.400]  上次我們講esteem 尊貴
[00:02:46.400 --> 00:02:48.880]  什麼才會得尊貴
[00:02:48.880 --> 00:02:50.880]  是身份的問題
[00:02:50.880 --> 00:02:52.880]  我們是哪一個
[00:02:52.880 --> 00:02:54.880]  而猜不到
[00:02:54.880 --> 00:02:56.880]  我今天的題目
[00:02:56.880 --> 00:02:59.600]  亦都是因為這個題目我來
[00:02:59.600 --> 00:03:03.600]  Intimacy
[00:03:03.600 --> 00:03:08.760]  聖經有講人生活著有幾樣東西是最重要
[00:03:08.760 --> 00:03:10.760]  有信
[00:03:10.760 --> 00:03:13.840]  如果我們在這個世上沒有信仰沒有信心的時間
[00:03:13.840 --> 00:03:16.320]  你活著往年有亡
[00:03:16.320 --> 00:03:18.320]  這個世界充滿苦難
[00:03:18.320 --> 00:03:21.760]  如果我們只是在今生有止亡
[00:03:21.760 --> 00:03:23.760]  比眾人更可憐
[00:03:23.760 --> 00:03:28.800]  但聖經講最大的就是愛
[00:03:28.800 --> 00:03:33.440]  愛就是一切親密的關係的源頭
[00:03:33.440 --> 00:03:35.440]  Intimacy
[00:03:35.440 --> 00:03:42.080]  人在地上最大的苦痛就是孤單
[00:03:42.080 --> 00:03:47.360]  而孤單最大的苦痛是跟最應該最親密的人
[00:03:47.360 --> 00:03:49.920]  都不能夠親密同行
[00:03:49.920 --> 00:04:00.240]  所以我看看其實長期都有支氣管肺纖維法
[00:04:00.240 --> 00:04:04.800]  再加上七個月之前的乳癌
[00:04:04.800 --> 00:04:06.800]  而且已經擴散
[00:04:06.800 --> 00:04:10.800]  所以七個月我每日貼著它
[00:04:10.800 --> 00:04:15.360]  大部份時間都在醫院
[00:04:15.360 --> 00:04:18.800]  每一天每一口氣
[00:04:18.800 --> 00:04:20.800]  原來都這麼珍貴
[00:04:20.800 --> 00:04:30.800]  但當然估不到就在3月14日早上七時
[00:04:30.800 --> 00:04:36.000]  我們最親的人圍著我們再見
[00:04:36.000 --> 00:04:39.760]  反正給我看見親密是這麼真實
[00:04:39.760 --> 00:04:43.040]  但亦都這麼痛
[00:04:43.040 --> 00:04:46.320]  所以我今日就返回去
[00:04:46.320 --> 00:04:51.440]  我預計今日開始都遲了
[00:04:51.440 --> 00:04:54.000]  所以我兩點正講不完
[00:04:54.000 --> 00:04:56.000]  不過我都照講
[00:04:56.000 --> 00:04:58.480]  如果你真的要返工
[00:04:58.480 --> 00:05:00.480]  不要介意
[00:05:00.480 --> 00:05:02.480]  兩點正你離開
[00:05:02.480 --> 00:05:04.480]  我繼續再講
[00:05:04.480 --> 00:05:06.480]  因為我在講準備的時間
