
[00:00:00.000 --> 00:00:02.000]  蔡主我們感謝讚美你
[00:00:02.000 --> 00:00:04.200]  多謝你設下這個美好的地方
[00:00:04.200 --> 00:00:07.600]  讓我們一同在這裡去聆聽你的話語
[00:00:07.600 --> 00:00:10.400]  大主願意我們更加藉著你的話語
[00:00:10.400 --> 00:00:12.100]  去改變我們的生命
[00:00:12.100 --> 00:00:15.000]  以致當我們出去這個地方的時候
[00:00:15.000 --> 00:00:17.800]  我們欣著你的吩咐
[00:00:17.800 --> 00:00:19.400]  我們作你的見證
[00:00:19.400 --> 00:00:22.400]  願更多的人欣著你的福音
[00:00:22.400 --> 00:00:25.100]  而夢想上帝你所賜的恩
[00:00:25.100 --> 00:00:26.400]  主願意待會
[00:00:26.400 --> 00:00:28.700]  無論我們待會說的、聽的
[00:00:28.700 --> 00:00:32.000]  願你的話語都對我們生命帶來提醒
[00:00:32.000 --> 00:00:33.700]  我們的禱告是奉教主耶穌基督
[00:00:33.700 --> 00:00:35.000]  得聖名自祈求
[00:00:35.000 --> 00:00:36.400]  阿們
[00:00:36.400 --> 00:00:38.300]  在上個月我放假
[00:00:38.300 --> 00:00:40.200]  就去了英國和西班牙
[00:00:40.200 --> 00:00:42.700]  探朋友和旅行
[00:00:42.700 --> 00:00:46.100]  大家知道其實歐洲地方有很多教堂
[00:00:46.100 --> 00:00:49.600]  其中巴塞隆拿的聖家堂
[00:00:49.600 --> 00:00:51.500]  可以說是非常出名
[00:00:51.500 --> 00:00:56.200]  因為差不多用了120年的時間興建
[00:00:56.200 --> 00:00:59.100]  甚至到現在還沒有興建
[00:00:59.100 --> 00:01:01.500]  不是因為它爛尾樓
[00:01:01.500 --> 00:01:04.700]  而是因為建築師高大雖然過世了
[00:01:04.700 --> 00:01:06.600]  但是它的設計
[00:01:06.600 --> 00:01:09.400]  因為太過複雜和細緻
[00:01:09.400 --> 00:01:12.600]  所以所花的建築時間就更加長
[00:01:12.600 --> 00:01:15.100]  所以我們去巴塞隆拿
[00:01:15.100 --> 00:01:19.000]  當然要去這個地方打卡參觀一下
[00:01:19.000 --> 00:01:22.100]  我們看看旅遊指南
[00:01:22.100 --> 00:01:25.800]  就說因為聖家堂是一間教堂
[00:01:25.800 --> 00:01:27.900]  所以入內參觀的人
[00:01:27.900 --> 00:01:31.300]  避免穿著短褲和背心
[00:01:31.300 --> 00:01:34.600]  當時巴塞隆拿還是夏天
[00:01:34.600 --> 00:01:37.800]  所以日間大約28度
[00:01:37.800 --> 00:01:41.800]  但最終我和朋友都按照他們的要求
[00:01:41.800 --> 00:01:44.900]  沒有穿背心短褲進去
[00:01:44.900 --> 00:01:46.100]  不過去到的時候
[00:01:46.100 --> 00:01:51.600]  都看到很多遊客都穿著背心短褲進去參觀
[00:01:51.600 --> 00:01:53.100]  但無論如何
[00:01:53.100 --> 00:01:54.600]  作為聖家堂
[00:01:54.600 --> 00:01:57.400]  其實他們都有權利去要求
[00:01:57.400 --> 00:01:59.400]  到他們地方參觀的人
[00:01:59.400 --> 00:02:02.800]  達至一些要求才可以入內參觀
[00:02:02.800 --> 00:02:05.400]  當然是否嚴格執行
[00:02:05.400 --> 00:02:07.400]  亦是他們的權利
[00:02:07.400 --> 00:02:09.200]  而作為參觀的人
[00:02:09.200 --> 00:02:12.900]  亦都應該按著義務去遵守
[00:02:12.900 --> 00:02:15.900]  但往往因為主人家
[00:02:15.900 --> 00:02:18.700]  即聖家堂沒有嚴格執行
[00:02:18.700 --> 00:02:21.400]  所以參觀的人就會很自然地
[00:02:21.400 --> 00:02:24.500]  忽略或忽視這些要求
[00:02:24.500 --> 00:02:26.800]  覺得我只是旅客而已
[00:02:26.800 --> 00:02:29.500]  而且每個人都是這樣的
[00:02:29.500 --> 00:02:31.500]  其實穿甚麼衣服
[00:02:31.500 --> 00:02:33.500]  背後亦都表示
[00:02:33.500 --> 00:02:38.300]  你認不認同對你作出這些要求
[00:02:38.300 --> 00:02:40.300]  亦都同時表示
[00:02:40.300 --> 00:02:44.800]  你如何看待對你發出這些要求的主人家
