
[00:00:00.000 --> 00:00:05.000]  最近在一本雜誌上看到一篇講現代青年
[00:00:05.000 --> 00:00:08.000]  是非常自我中心的
[00:00:08.000 --> 00:00:11.000]  甚至有些自戀狂
[00:00:11.000 --> 00:00:13.000]  他們時時和自己拍照
[00:00:13.000 --> 00:00:15.000]  現在手機方面
[00:00:15.000 --> 00:00:18.000]  拍完照之後就放上網了
[00:00:18.000 --> 00:00:22.000]  但羅馬書院五章八節告訴我們
[00:00:22.000 --> 00:00:25.000]  我們的上帝是愛我們的
[00:00:25.000 --> 00:00:30.000]  以至他願意在我們還是罪人的時候
[00:00:30.000 --> 00:00:32.000]  就為我們死
[00:00:32.000 --> 00:00:34.000]  保羅亦都指出
[00:00:34.000 --> 00:00:37.000]  這是一件很不平凡的事件
[00:00:37.000 --> 00:00:40.000]  不是一般人會做的事
[00:00:40.000 --> 00:00:43.000]  他說為異人死
[00:00:43.000 --> 00:00:45.000]  大概沒有人肯做
[00:00:45.000 --> 00:00:48.000]  你是異人你的事
[00:00:48.000 --> 00:00:50.000]  和我無關沒有人肯做
[00:00:50.000 --> 00:00:54.000]  為愛我的人死
[00:00:54.000 --> 00:00:56.000]  或者會有人肯做
[00:00:56.000 --> 00:00:59.000]  而唯有上帝
[00:00:59.000 --> 00:01:02.000]  唯有上帝在我們還是罪人的時候
[00:01:02.000 --> 00:01:04.000]  為我們死
[00:01:04.000 --> 00:01:08.000]  顯明上帝愛世人
[00:01:08.000 --> 00:01:11.000]  教主是幫助我們時時記得
[00:01:11.000 --> 00:01:14.000]  幫助我們願意為上帝而活
[00:01:14.000 --> 00:01:19.000]  不是過一個自戀的人生
[00:01:19.000 --> 00:01:22.000]  我們最近是講李美記
[00:01:22.000 --> 00:01:25.000]  不知道大家聽完我講李美記之後
[00:01:25.000 --> 00:01:30.000]  有沒有再想一想敬拜儀式的意義
[00:01:30.000 --> 00:01:34.000]  可能很多人聽完就忘記了
[00:01:34.000 --> 00:01:38.000]  但我講完之後還未能忘記
[00:01:38.000 --> 00:01:41.000]  還要再思考
[00:01:41.000 --> 00:01:45.000]  所以今天我們要再和大家講一講
[00:01:45.000 --> 00:01:47.000]  我思考的問題是
[00:01:47.000 --> 00:01:52.000]  為何上帝這麼嚴謹要求以色列人
[00:01:52.000 --> 00:01:56.000]  按照祂的規定去敬拜祂
[00:01:56.000 --> 00:01:59.000]  今天我們讀出埃及的經文
[00:01:59.000 --> 00:02:03.000]  提醒我們上帝是吩咐摩西
[00:02:03.000 --> 00:02:08.000]  怎樣獻祭和怎樣建造聖所
[00:02:08.000 --> 00:02:10.000]  我們特別留意到
[00:02:10.000 --> 00:02:17.000]  25章第9節關於聖莫和其中一切器具
[00:02:17.000 --> 00:02:24.000]  你們都應該按我所指示的樣式製造
[00:02:24.000 --> 00:02:25.000]  換句話說
[00:02:25.000 --> 00:02:29.000]  以色列人不可以隨便做器具
[00:02:29.000 --> 00:02:34.000]  一定要按照上帝所指示的樣式去做
[00:02:34.000 --> 00:02:37.000]  上帝這麼嚴格的規定
[00:02:37.000 --> 00:02:46.000]  首先令我想起約翰福音4章23節
[00:02:46.000 --> 00:02:48.000]  這節的經文和合本
[00:02:48.000 --> 00:02:55.000]  和其他中文翻譯都很容易令人誤解
[00:02:55.000 --> 00:03:13.000]  這節的經文和合本是這麼翻譯的
[00:03:13.000 --> 00:03:18.000]  真正拜父的要用心靈和誠實拜他
[00:03:18.000 --> 00:03:23.000]  我們一讀這節的經文就會產生一個印象
[00:03:23.000 --> 00:03:33.000]  敬拜上帝的人一定要真心誠意去敬拜上帝
[00:03:33.000 --> 00:03:38.000]  這個理解和舊約的教導
[00:03:38.000 --> 00:03:41.000]  是不是有很大的分歧呢
[00:03:41.000 --> 00:03:43.000]  上帝規定舊約的人
[00:03:43.000 --> 00:03:58.000]  是不能夠按照自己的心意去拜上帝
[00:03:58.000 --> 00:04:03.000]  不能夠隨便去做一間廟去敬拜上帝
[00:04:03.000 --> 00:04:07.000]  不能夠隨便去做一個祭壇去敬拜上帝
[00:04:07.000 --> 00:04:11.000]  不能夠隨便按自己的心意去敬拜上帝
[00:04:11.000 --> 00:04:14.000]  為什麼耶穌這麼大膽一出來
