
[00:00:00.000 --> 00:00:02.000]  鼎鼎姐妹早晨
[00:00:02.000 --> 00:00:06.000]  先預祝大家新年平安
[00:00:06.000 --> 00:00:08.000]  喜樂連連
[00:00:08.000 --> 00:00:10.000]  我們後面有幾個大字
[00:00:10.000 --> 00:00:12.000]  你們看一看
[00:00:12.000 --> 00:00:14.000]  福輝滿日
[00:00:14.000 --> 00:00:16.000]  希望我們全體
[00:00:16.000 --> 00:00:18.000]  會盡在神的恩裡面
[00:00:18.000 --> 00:00:20.000]  福輝滿日
[00:00:20.000 --> 00:00:22.000]  我們先同心禱告
[00:00:22.000 --> 00:00:24.000]  希望我們很感恩
[00:00:24.000 --> 00:00:26.000]  從歲首到年終
[00:00:26.000 --> 00:00:28.000]  我們無論經歷
[00:00:28.000 --> 00:00:30.000]  順逆高低
[00:00:30.000 --> 00:00:32.000]  我們相信你的恩典救容
[00:00:32.000 --> 00:00:34.000]  求你以你的話語
[00:00:34.000 --> 00:00:36.000]  去幫助我們
[00:00:36.000 --> 00:00:38.000]  帶領我們
[00:00:38.000 --> 00:00:40.000]  讓我們在新的一年繼續
[00:00:40.000 --> 00:00:42.000]  去緊緊跟從你的話語而行
[00:00:42.000 --> 00:00:44.000]  特別在我們教會的生活裡面
[00:00:44.000 --> 00:00:46.000]  讓我們能夠討你的喜悅
[00:00:46.000 --> 00:00:48.000]  奉耶穌基督的成名
[00:00:48.000 --> 00:00:50.000]  阿們
[00:00:50.000 --> 00:00:52.000]  有一個姐妹她叫阿琴
[00:00:52.000 --> 00:00:54.000]  在外國她讀完書
[00:00:54.000 --> 00:00:56.000]  回來香港
[00:00:56.000 --> 00:00:58.000]  去找教會
[00:00:58.000 --> 00:01:00.000]  阿琴就先在
[00:01:00.000 --> 00:01:02.000]  家附近一間教會
[00:01:02.000 --> 00:01:04.000]  去聚會
[00:01:04.000 --> 00:01:06.000]  因為她覺得很近很方便
[00:01:06.000 --> 00:01:08.000]  沒多久她又聽到
[00:01:08.000 --> 00:01:10.000]  有一間教會
[00:01:10.000 --> 00:01:12.000]  講道很好
[00:01:12.000 --> 00:01:14.000]  講壇很有力
[00:01:14.000 --> 00:01:16.000]  回教會
[00:01:16.000 --> 00:01:18.000]  聽講道
[00:01:18.000 --> 00:01:20.000]  覺得很有得著
[00:01:20.000 --> 00:01:22.000]  很開心
[00:01:22.000 --> 00:01:24.000]  沒多久她又聽到另一間教會
[00:01:24.000 --> 00:01:26.000]  那間教會的敬拜很活潑
[00:01:26.000 --> 00:01:28.000]  很有力很興奮
[00:01:28.000 --> 00:01:30.000]  很澎湃
[00:01:30.000 --> 00:01:32.000]  她覺得很吸引
[00:01:32.000 --> 00:01:34.000]  去那間教會聚會
