
[00:00:00.000 --> 00:00:05.480]  我們今天要結束了《主禱文》
[00:00:05.480 --> 00:00:08.240]  我們今天講到最後的一節經文
[00:00:08.240 --> 00:00:15.000]  就是「國道權並榮耀,全是利的,直到永遠」
[00:00:15.000 --> 00:00:20.760]  如果你手頭上有一本是中英對照的聖經
[00:00:20.760 --> 00:00:26.400]  而你英文的版本是NIV或者是ESV的話
[00:00:26.400 --> 00:00:30.000]  你會發覺沒有這一節的經文在裡面
[00:00:30.000 --> 00:00:32.640]  是我們很熟悉的一節經文
[00:00:32.640 --> 00:00:37.120]  居然有很多版本沒有這一節的經文
[00:00:37.120 --> 00:00:45.360]  原因是因為最早發現最古老的希臘手抄本
[00:00:45.360 --> 00:00:48.720]  有兩本沒有這一節的經文
[00:00:48.720 --> 00:00:51.200]  是最古老的兩部
[00:00:51.200 --> 00:00:55.520]  所以天主教和很多拉丁文的聖經
[00:00:55.520 --> 00:00:58.160]  都沒有這一節的經文
[00:00:58.160 --> 00:01:02.960]  但是第三最古老的希臘版本
[00:01:02.960 --> 00:01:05.360]  就有這一節的經文
[00:01:05.360 --> 00:01:10.960]  剛才說最古老的兩個版本是第四世紀的版本
[00:01:10.960 --> 00:01:15.200]  第三古老的是四至五世紀的版本
[00:01:15.200 --> 00:01:22.720]  所以距離那兩個沒有的版本只有五十年
[00:01:22.720 --> 00:01:27.360]  所以很多東正教的聖經有這一節的經文
[00:01:27.360 --> 00:01:30.240]  King James的版本是有
[00:01:30.240 --> 00:01:33.680]  NASV也有
[00:01:33.680 --> 00:01:35.760]  還有很多其他的翻譯
[00:01:35.760 --> 00:01:38.400]  你說中文的版本又怎麼樣
[00:01:38.400 --> 00:01:43.120]  呂鎮忠的版本沒有這一節的經文
[00:01:43.120 --> 00:01:46.960]  但是聖經新譯本是有的
[00:01:46.960 --> 00:01:51.840]  我們最熟悉的和合本是非常非常忠實
[00:01:51.840 --> 00:01:53.440]  是有這一節的經文
[00:01:53.440 --> 00:01:56.400]  但是有一個括弧寫著
[00:01:56.400 --> 00:01:58.720]  括弧寫著有古卷
[00:01:58.720 --> 00:02:04.080]  從「因為」到「阿門」是沒有這些字
[00:02:04.080 --> 00:02:05.520]  就是我們今天的經文
[00:02:05.520 --> 00:02:08.560]  「因為國道權柄榮耀全是你的
[00:02:08.560 --> 00:02:12.400]  直到永遠阿門」
[00:02:12.400 --> 00:02:15.600]  有很多人又會想到
[00:02:15.600 --> 00:02:19.200]  你以前說過《路加福音》十一章
[00:02:19.200 --> 00:02:21.760]  都是有一個主土文的版本
[00:02:21.760 --> 00:02:24.000]  那個又有沒有?
[00:02:24.000 --> 00:02:26.720]  說到《路加福音》的主土文
[00:02:26.720 --> 00:02:28.640]  就更加複雜一點
[00:02:28.640 --> 00:02:29.680]  經文說
[00:02:29.680 --> 00:02:32.560]  耶穌說你們禱告的時候
[00:02:32.560 --> 00:02:35.680]  要說「我們在天上的父」
[00:02:35.680 --> 00:02:37.840]  然後又有括弧寫著
[00:02:37.840 --> 00:02:40.080]  有些版本是說
[00:02:40.080 --> 00:02:45.040]  「我們在天上的父」「阿」多了個「阿」字
[00:02:45.040 --> 00:02:47.840]  然後又說「願人尊你的名為聖
[00:02:47.840 --> 00:02:49.440]  願你的國降臨
[00:02:49.440 --> 00:02:51.600]  願你的旨意行在地上
[00:02:51.600 --> 00:02:53.360]  如同行在天上」
[00:02:53.360 --> 00:02:54.880]  又有括弧寫著
[00:02:54.880 --> 00:02:56.080]  是有古卷
[00:02:56.080 --> 00:02:59.200]  是沒有「願你的旨意云云」
[00:02:59.200 --> 00:03:00.480]  甚麼叫「云云」?
