
[00:00:00.000 --> 00:00:02.440]  我哋中國人好鍾意平安嘅
[00:00:02.440 --> 00:00:04.240]  我哋中國人好鍾意平安
[00:00:04.240 --> 00:00:06.560]  同親我搵啲長者祈禱
[00:00:06.560 --> 00:00:09.160]  或者我問佢有咩需要
[00:00:09.160 --> 00:00:11.720]  佢話最緊要家人平平安安
[00:00:11.720 --> 00:00:13.440]  平常我跟老人家談天
[00:00:13.440 --> 00:00:14.960]  問佢哋有咩需要
[00:00:14.960 --> 00:00:18.080]  佢哋就話希望一家大小平平安安
[00:00:18.080 --> 00:00:20.080]  老少平安
[00:00:20.080 --> 00:00:22.080]  出入平安
[00:00:22.080 --> 00:00:24.080]  四季平安
[00:00:24.080 --> 00:00:25.280]  全部都係平安
[00:00:25.280 --> 00:00:27.280]  都係講平安嘅
[00:00:27.280 --> 00:00:32.880]  咁呢其實呢我想講呢
[00:00:32.880 --> 00:00:34.880]  其實我想講呢
[00:00:34.880 --> 00:00:38.280]  有時候我哋希望得嘅嘢未必一定得到
[00:00:38.280 --> 00:00:41.800]  有時候我哋希望得到嘅嘢未必一定可以得到
[00:00:41.800 --> 00:00:43.800]  我舉個例子
[00:00:43.800 --> 00:00:45.800]  有一個旅行團
[00:00:45.800 --> 00:00:49.560]  成員都係同一個信仰嘅教友
[00:00:49.560 --> 00:00:52.840]  成員都係同一個信仰嘅教友
[00:00:52.840 --> 00:00:54.840]  我唔講咩教
[00:00:54.840 --> 00:00:57.320]  但係唔係基督教嘅
[00:00:57.320 --> 00:00:59.320]  呢個行程裏面
[00:00:59.320 --> 00:01:02.920]  佢哋係需要喺一個中途站嗰度停留一晚
[00:01:02.920 --> 00:01:07.560]  呢個行程佢哋需要喺中途站停留一晚
[00:01:07.560 --> 00:01:12.920]  住咗一晚之後第二日先至轉一啲內錄機去到佢嘅終點站
[00:01:12.920 --> 00:01:17.640]  住一晚之後第二天才轉內錄機到佢哋嘅終點站
[00:01:17.640 --> 00:01:19.640]  當中有一個教友
[00:01:19.640 --> 00:01:24.800]  由於唔小心將行李上嗰啲嘅電腦
[00:01:24.800 --> 00:01:26.800]  封條撕咗佢
[00:01:26.800 --> 00:01:30.240]  因為唔小心將行李上嘅電腦封條撕掉
[00:01:30.240 --> 00:01:32.240]  所以當佢登機嘅時候
[00:01:32.240 --> 00:01:34.240]  所以當佢登機嘅時候
[00:01:34.240 --> 00:01:36.240]  出現咗問題
[00:01:36.240 --> 00:01:39.040]  另外兩個教友
[00:01:39.040 --> 00:01:42.480]  亦都係因為佢哋嘅行李出現問題
[00:01:42.480 --> 00:01:45.880]  另外兩個教友因為佢哋嘅行李出現咗問題
[00:01:45.880 --> 00:01:48.360]  因為佢哋嘅電腦封條
[00:01:48.360 --> 00:01:51.360]  撕開咗
[00:01:51.360 --> 00:01:53.360]  所以紀錄唔完整
[00:01:53.360 --> 00:01:55.360]  因為佢哋嘅電腦封條撕開咗
[00:01:55.360 --> 00:01:57.360]  所以紀錄唔完整
[00:01:57.360 --> 00:02:03.360]  所以最後呢三個教友都要重新磅行李
[00:02:03.360 --> 00:02:07.360]  所以三個教友都要重新磅行李
[00:02:07.360 --> 00:02:09.360]  問題就出現
[00:02:09.360 --> 00:02:11.360]  行李超重
[00:02:11.360 --> 00:02:13.360]  行李超重
[00:02:13.360 --> 00:02:17.360]  因為佢嚟嘅時候係搭國際航班嘅飛機
[00:02:17.360 --> 00:02:21.360]  因為佢嚟嘅時候係坐國際航班嘅飛機
[00:02:21.360 --> 00:02:25.360]  但係當佢現在要轉做內陸機嘅時候
[00:02:25.360 --> 00:02:27.360]  但係當佢現在要轉做內陸機嘅時候
[00:02:27.360 --> 00:02:33.360]  免費嘅行李重量就減少咗好多
[00:02:33.360 --> 00:02:35.360]  免費嘅行李重量就減咗好多
[00:02:35.360 --> 00:02:37.360]  免費嘅行李重量就減少咗好多
[00:02:37.360 --> 00:02:41.360]  換句話講佢哋嘅行李就超重
[00:02:41.360 --> 00:02:43.360]  要俾一啲附加費
[00:02:43.360 --> 00:02:45.360]  換句話佢哋嘅行李就超重
