
[00:00:00.000 --> 00:00:03.600]  好 我們今天會繼續來查考《彼得前書》
[00:00:03.600 --> 00:00:06.300]  今天是去到第三講
[00:00:06.300 --> 00:00:11.160]  第一個《彼得前書》我們查考的時候
[00:00:11.160 --> 00:00:14.600]  就是講到我們會怎樣去得救
[00:00:14.600 --> 00:00:16.560]  以及我們會得到什麼樣的祝福
[00:00:16.560 --> 00:00:19.960]  記不記得我們在《彼得前書》裡面看到
[00:00:19.960 --> 00:00:23.800]  原來我們的得救 聖父 聖子 聖靈
[00:00:23.800 --> 00:00:26.140]  都是扮演著不同的角色的
[00:00:26.140 --> 00:00:29.640]  聖父在救恩裡面就是揀選我們
[00:00:29.640 --> 00:00:33.360]  神的揀選是基於祂的主權和祂的身份
[00:00:33.360 --> 00:00:38.100]  祂是圖像 我們是一些徒徒
[00:00:38.100 --> 00:00:40.100]  就是被祂去塑造的
[00:00:40.100 --> 00:00:42.000]  所以是絕對的主權
[00:00:42.000 --> 00:00:44.140]  但是祂絕對不是任意妄為
[00:00:44.140 --> 00:00:46.840]  神的揀選是基於祂的意志
[00:00:46.840 --> 00:00:50.960]  和祂的大愛 祂愛我們 祂憐憫我們
[00:00:50.960 --> 00:00:55.000]  神的揀選也是基於祂的先見和預知
[00:00:55.000 --> 00:00:58.400]  第二方面就是聖靈在救恩裡面所做的什麼呢?
[00:00:58.400 --> 00:01:00.000]  就是將我們分別出來
[00:01:00.000 --> 00:01:01.540]  所謂分別為聖
[00:01:01.540 --> 00:01:03.540]  將信主的人分別出來
[00:01:03.540 --> 00:01:06.540]  跟不信的人是有那個分別的
[00:01:06.540 --> 00:01:10.500]  聖靈是在先知當中去做啟迪的工作
[00:01:10.500 --> 00:01:14.700]  所以舊約裡面有很多的經文或者預言
[00:01:14.700 --> 00:01:19.100]  是預言到耶穌的降生 受苦和整個的過程
[00:01:19.100 --> 00:01:21.800]  更加當救恩完成的時候
[00:01:21.800 --> 00:01:23.500]  我們去傳福音的時候
[00:01:23.500 --> 00:01:26.200]  聖靈就會給我們有這份力量
[00:01:26.200 --> 00:01:28.500]  去面對不同的挑戰
[00:01:28.500 --> 00:01:30.800]  傳說的時候有這份能力
[00:01:30.800 --> 00:01:33.200]  正如現在我和大家查經的時候
[00:01:33.200 --> 00:01:36.400]  我心裡面默默都禱告求聖靈加添我這個力量
[00:01:36.400 --> 00:01:38.800]  去幫助大家能夠容易明白
[00:01:38.800 --> 00:01:41.900]  也更加要幫助我們知道怎麼去表達得好
[00:01:41.900 --> 00:01:44.000]  好了 聖旨我們最熟悉了
[00:01:44.000 --> 00:01:47.000]  主耶穌基督在救恩裡面所做的就是灑血
[00:01:47.000 --> 00:01:49.000]  我們曾經看過灑血
[00:01:49.000 --> 00:01:52.400]  其實就是舊約裡面他們獻祭的時候
