
[00:00:00.000 --> 00:00:06.000]  一項研究列出改變人類的十大發明
[00:00:06.000 --> 00:00:08.000]  究竟是什麼呢?讓我們一起去看看
[00:00:08.000 --> 00:00:11.000]  第一樣東西就是車輪
[00:00:11.000 --> 00:00:16.000]  車輪有什麼影響人類呢?影響世界呢?
[00:00:16.000 --> 00:00:20.000]  原來車輪的發明是讓人的旅行
[00:00:20.000 --> 00:00:23.000]  讓人的貿易往來大大地改善
[00:00:23.000 --> 00:00:25.000]  快、廣
[00:00:25.000 --> 00:00:30.000]  第二個就是活字印刷,即是印刷術
[00:00:30.000 --> 00:00:33.000]  因為印刷七十一發明就不用抄寫了
[00:00:33.000 --> 00:00:36.000]  讓那些知識更加傳遞得快
[00:00:36.000 --> 00:00:39.000]  並且文化的發展越來越快
[00:00:39.000 --> 00:00:43.000]  第三就是鋼鐵的發明
[00:00:43.000 --> 00:00:46.000]  鋼鐵的發明不只是圖裡面的規格
[00:00:46.000 --> 00:00:48.000]  今天我們環顧這個世界
[00:00:48.000 --> 00:00:51.000]  基本上的構造周圍都是鋼鐵的
[00:00:51.000 --> 00:00:53.000]  所以影響這個世界
[00:00:53.000 --> 00:00:58.000]  第三樣東西就是火器,即是槍炮
[00:00:58.000 --> 00:01:02.000]  火器的發明其實是改變了人類戰爭的模式
[00:01:02.000 --> 00:01:07.000]  也決定了這個世界的權力的分配
[00:01:07.000 --> 00:01:09.000]  第五就是內燃機
[00:01:09.000 --> 00:01:13.000]  內燃機是改變了交通工具推動模式
[00:01:13.000 --> 00:01:17.000]  今天這個世界仍然是普遍使用內燃機
[00:01:17.000 --> 00:01:19.000]  第六就是電話
[00:01:19.000 --> 00:01:23.000]  電話是大大地改變了人類溝通的模式
[00:01:23.000 --> 00:01:27.000]  將整個地球突然間變成零距離
[00:01:27.000 --> 00:01:30.000]  第七就是電燈膽
[00:01:30.000 --> 00:01:32.000]  電燈膽有什麼可以改變呢?
[00:01:32.000 --> 00:01:34.000]  因為電燈膽的發明
[00:01:34.000 --> 00:01:37.000]  人類就多了很多時間
[00:01:37.000 --> 00:01:40.000]  包括黑黑的時間變成光明的時間
[00:01:40.000 --> 00:01:43.000]  人類多了很多時間學東西去生產
[00:01:43.000 --> 00:01:45.000]  並且以前沒有的夜生活
[00:01:45.000 --> 00:01:48.000]  因為有電燈膽突然間多了夜生活
[00:01:48.000 --> 00:01:50.000]  可以改變很多東西
[00:01:50.000 --> 00:01:52.000]  第八就是盤尼西林
[00:01:52.000 --> 00:01:57.000]  大家都知道抗生素拯救了千萬人的生命
[00:01:57.000 --> 00:01:59.000]  第九就是指南針
[00:01:59.000 --> 00:02:03.000]  指南針的發明是讓航海技術不同了
[00:02:03.000 --> 00:02:07.000]  海上的旅程
[00:02:07.000 --> 00:02:09.000]  海上的貿易
[00:02:09.000 --> 00:02:12.000]  突然間範圍擴闊了很多
[00:02:12.000 --> 00:02:15.000]  第十就是互聯網
[00:02:15.000 --> 00:02:18.000]  更加有效更加全面的
