
[00:00:00.000 --> 00:00:04.660]  讀兩節的聖經,我們在以塞亞書第43章18到19節
[00:00:04.660 --> 00:00:07.240]  很熟悉的經文我們一同來唸來
[00:00:07.240 --> 00:00:11.000]  耶和華如此說,你們不要紀念從前的事
[00:00:11.000 --> 00:00:13.340]  也不要思想古時的事
[00:00:13.340 --> 00:00:16.840]  看啊!我要做一件新事,如今要發現
[00:00:16.840 --> 00:00:18.300]  你們豈不知道嗎?
[00:00:18.300 --> 00:00:22.000]  我必在曠野開道路,在沙漠開江河
[00:00:22.000 --> 00:00:23.200]  我們就讀到這裡
[00:00:23.200 --> 00:00:27.800]  今天我們真的是面對一個快速改變的世界
[00:00:28.040 --> 00:00:31.040]  不但國際局勢千變萬化
[00:00:31.040 --> 00:00:34.260]  從惡巫戰爭到台海危機
[00:00:34.260 --> 00:00:37.860]  一直到現在中美關係的衝突
[00:00:37.860 --> 00:00:41.300]  經濟局勢也是千變萬化
[00:00:41.300 --> 00:00:44.600]  從通貨膨脹到不斷的升息
[00:00:44.600 --> 00:00:48.400]  一直到現在地區性的銀行倒閉的危機
[00:00:48.400 --> 00:00:51.500]  甚至有時候連教會也不例外,不是嗎?
[00:00:51.500 --> 00:00:53.960]  我們在過去這段時間也經歷了
[00:00:53.960 --> 00:00:57.360]  在人事上、在事工上很多的改變
[00:00:58.100 --> 00:01:03.060]  有時候你希望教會是一個永不改變的地方
[00:01:03.060 --> 00:01:07.600]  但事實上只要有神的工作就必定會帶來改變
[00:01:07.600 --> 00:01:13.640]  你們,因為神的心意永遠不是叫我們停留
[00:01:13.640 --> 00:01:18.300]  神的心意永遠是叫我們不斷的向前進
[00:01:18.300 --> 00:01:20.840]  就在以塞爾書43到48、49節裡面
[00:01:20.840 --> 00:01:24.640]  神才對我們說不要紀念從前的事
[00:01:24.640 --> 00:01:27.300]  無論從前的事有多麼美好
[00:01:27.300 --> 00:01:30.900]  神都叫我們不要停留
[00:01:30.900 --> 00:01:35.040]  因為我們的神乃是一位做心事的神
[00:01:35.040 --> 00:01:36.860]  Amen
[00:01:36.860 --> 00:01:41.060]  神在不同的世代要做不同的事情
[00:01:41.060 --> 00:01:44.640]  神甚至在每一個教會不同的階段
[00:01:44.640 --> 00:01:46.740]  也要做不同的事情
[00:01:46.740 --> 00:01:50.040]  所以今天教會最重要的責任
[00:01:50.040 --> 00:01:55.500]  就是要跟上神的心意不斷向前
[00:01:55.500 --> 00:02:00.440]  跟你們說要跟上神的心意不斷向前
[00:02:00.440 --> 00:02:05.860]  那你說我們怎麼樣在這樣一個充滿改變的世代當中
[00:02:05.860 --> 00:02:09.140]  不斷的跟隨神向前進呢
[00:02:09.140 --> 00:02:10.540]  三方面
[00:02:10.540 --> 00:02:11.540]  我們今天跟大家分享
[00:02:11.540 --> 00:02:12.600]  第一個
[00:02:12.600 --> 00:02:16.640]  要確信我們的神獨行其事
[00:02:16.640 --> 00:02:21.400]  跟你們說確信我們的神獨行其事
[00:02:21.400 --> 00:02:26.060]  4篇、7、12篇、18、29我非常喜歡這裡說獨行其事的耶和華
[00:02:26.060 --> 00:02:30.140]  以色列的神是應當稱頌的
[00:02:30.140 --> 00:02:34.100]  好喜歡這裡形容我們的神是一位獨行其事的神
[00:02:34.100 --> 00:02:34.900]  換句話說
[00:02:34.900 --> 00:02:39.700]  神的作為永遠是超乎我們所能想像
[00:02:39.700 --> 00:02:42.460]  神所選擇工作的方式
[00:02:42.460 --> 00:02:46.840]  也一定不是按照我們所預期的方式
[00:02:46.840 --> 00:02:47.960]  但多少時候你看見
[00:02:47.960 --> 00:02:51.640]  我們人所能夠看見就是這麼有限
[00:02:51.640 --> 00:02:55.400]  我們人所能夠想像的也是這麼有限
[00:02:55.400 --> 00:02:58.600]  而我們常常就是按照我們所能夠看見
[00:02:58.600 --> 00:03:02.740]  所能夠想像來限制神的作為
[00:03:02.740 --> 00:03:06.860]  我們以為神只能夠按照我們所想的來成就
