
[00:00:00.000 --> 00:00:06.500]  (主席)各位早晨 見到很多都是這麼年輕的樣子
[00:00:06.500 --> 00:00:11.000]  再講一個題目名 可能沒有講過 都想了很久
[00:00:11.000 --> 00:00:15.200]  可能你都聽過很多題目 這個題目是未試過的
[00:00:15.200 --> 00:00:20.800]  過範不如恩賜 剛才那一課我見到彈琴的那個女生
[00:00:20.800 --> 00:00:26.800]  很面熟 原來以前她幾歲的時候上過那一課
[00:00:26.800 --> 00:00:32.300]  時間過得很快 但這個題目名永遠都是常新的
[00:00:32.300 --> 00:00:38.800]  在我讀犯罪學的時候 有個案是講一個犯
[00:00:38.800 --> 00:00:43.800]  他犯的罪名太多 後來那個法官計了數
[00:00:43.800 --> 00:00:51.300]  就要坐超過200年監 200年 那個犯笑到卡卡聲
[00:00:51.300 --> 00:00:55.300]  200多年就你講啦 那個法官是個外國人
[00:00:55.300 --> 00:01:02.300]  他就講一句說話 Try your best 你盡坐啦
[00:01:02.300 --> 00:01:05.300]  這句說話都很有意思 在教會
[00:01:05.300 --> 00:01:09.300]  可能會想起我做的事很多都不好
[00:01:09.300 --> 00:01:14.300]  自問如果上帝要懲罰我都不知道要多少年
[00:01:14.300 --> 00:01:19.800]  但上帝從來沒有叫你用你的方法 用你的努力
[00:01:19.800 --> 00:01:22.800]  他沒有講過 他說用我的方法
[00:01:22.800 --> 00:01:26.800]  這個就是今天我們福音主義所講的 因此
[00:01:26.800 --> 00:01:33.800]  我做輔導的時候都見到很多人很有愛心
[00:01:33.800 --> 00:01:38.800]  我試過一次有個人叫我輔導一個家庭
[00:01:38.800 --> 00:01:43.800]  他叫我不要給家庭知道是他想幫他
[00:01:43.800 --> 00:01:47.800]  一直這麼多年他代他出錢
[00:01:47.800 --> 00:01:55.800]  有時我見到一些人都很感動 這個都市經常有些活生生的慈愛故事
[00:01:55.800 --> 00:01:59.800]  其中一個我很有感受就是講一個巴士司機
[00:01:59.800 --> 00:02:04.800]  他第一班車他晚了上班
[00:02:04.800 --> 00:02:09.800]  怎知道那班車已經很多客人上了樓上 樓下坐滿了
[00:02:09.800 --> 00:02:14.800]  那些人在那裏罵 甚麼巴士公司來的 都沒有人來開車
[00:02:14.800 --> 00:02:20.800]  終於他走進來司機位 人們已經很生氣
[00:02:20.800 --> 00:02:25.800]  你知不知道我晚了上班要罰錢 維尼市民不停地罵他
[00:02:25.800 --> 00:02:29.800]  他不說話 後來他就開車了
