
[00:00:00.000 --> 00:00:02.100]  踏入十一月的夏春
[00:00:02.100 --> 00:00:06.000]  是西方傳統的感恩季節
[00:00:06.000 --> 00:00:10.200]  十一月的最後一個主日
[00:00:10.200 --> 00:00:12.100]  即將到來的星期四 二十八號
[00:00:12.100 --> 00:00:14.800]  是美國的感恩節
[00:00:14.800 --> 00:00:17.000]  是一個很大的節日
[00:00:17.000 --> 00:00:20.800]  那天是假期
[00:00:20.800 --> 00:00:24.600]  所有公開的娛樂場所都休息
[00:00:24.600 --> 00:00:27.400]  家家戶戶回家
[00:00:27.900 --> 00:00:30.000]  晚上在街上團聚
[00:00:30.000 --> 00:00:32.400]  吃飯、吃火雞
[00:00:32.400 --> 00:00:36.200]  好像我們中國人過冬一樣
[00:00:36.200 --> 00:00:38.900]  當然美國的感恩節
[00:00:38.900 --> 00:00:44.100]  有它的歷史、文化和宗教的背景
[00:00:44.100 --> 00:00:46.700]  我們沒有一個感恩節
[00:00:46.700 --> 00:00:49.800]  不過都是引發我們想起
[00:00:49.800 --> 00:00:53.400]  究竟我們有沒有一個感恩的心呢?
[00:00:53.400 --> 00:00:57.800]  如果是的話我們向誰感恩呢?
[00:00:58.800 --> 00:01:01.000]  我們為甚麼事感恩呢?
[00:01:01.000 --> 00:01:07.400]  人生很多的事不是必然的
[00:01:07.400 --> 00:01:11.400]  我們所擁有的我們都要珍惜
[00:01:11.400 --> 00:01:14.800]  因為很多時候當我們失去的時候
[00:01:14.800 --> 00:01:17.200]  才知道原來是這麼寶貴的
[00:01:17.200 --> 00:01:20.300]  一個人曉得感恩
[00:01:20.300 --> 00:01:24.400]  他又能夠去欣賞別人
[00:01:25.000 --> 00:01:29.600]  以及去滿足自己所擁有的
[00:01:29.600 --> 00:01:33.100]  一個人不懂得去感恩
[00:01:33.100 --> 00:01:36.100]  他就會對很多事情很不滿
[00:01:36.100 --> 00:01:40.500]  而且有很多的埋怨
[00:01:40.500 --> 00:01:44.500]  所以感恩帶給我喜樂的心
[00:01:44.500 --> 00:01:47.100]  聖經說要凡事謝恩
[00:01:47.100 --> 00:01:50.500]  基督徒當然要向上帝感恩
