
[00:00:00.000 --> 00:00:02.000]  丙姊妹,大家好
[00:00:02.000 --> 00:00:04.000]  如我們都預備好我們的心
[00:00:04.000 --> 00:00:06.000]  去迎見神之餘
[00:00:06.000 --> 00:00:08.000]  都要開我們的心
[00:00:08.000 --> 00:00:11.000]  去容納神跟我們講說話
[00:00:11.000 --> 00:00:15.000]  我們一起在神的面前有一個禱告
[00:00:15.000 --> 00:00:17.000]  求上帝我們都多謝你
[00:00:17.000 --> 00:00:20.000]  因為你的說話是大有能力
[00:00:20.000 --> 00:00:22.000]  你賜下你的說話
[00:00:22.000 --> 00:00:24.000]  讓我們能夠透過聖經
[00:00:24.000 --> 00:00:26.000]  去明白神的心意
[00:00:26.000 --> 00:00:28.000]  求上帝叫我們不要只是明白
[00:00:28.000 --> 00:00:30.000]  而是行神的道
[00:00:30.000 --> 00:00:32.000]  這才是你的意思
[00:00:32.000 --> 00:00:34.000]  求上帝帶領我們開你的眼睛
[00:00:34.000 --> 00:00:37.000]  用你的眼光去看你的說話
[00:00:37.000 --> 00:00:39.000]  祈禱奉耶穌的聖名
[00:00:39.000 --> 00:00:41.000]  阿們
[00:00:41.000 --> 00:00:44.000]  今天聖經剛讀完
[00:00:44.000 --> 00:00:46.000]  你知不知道它說什麼
[00:00:46.000 --> 00:00:48.000]  你覺不覺得很零碎
[00:00:48.000 --> 00:00:51.000]  是吧,大家都在額頭
[00:00:51.000 --> 00:00:53.000]  那邊是說
[00:00:53.000 --> 00:00:58.000]  耶穌跟那些人討論大衛後裕的問題
[00:00:58.000 --> 00:01:00.000]  突然間又跳了線
[00:01:00.000 --> 00:01:02.000]  轉了台45節
[00:01:02.000 --> 00:01:04.000]  開始又說
[00:01:04.000 --> 00:01:06.000]  民事啊,怎麼壞法
[00:01:06.000 --> 00:01:09.000]  之後又說奉獻
[00:01:09.000 --> 00:01:12.000]  那我們究竟說什麼呢
[00:01:12.000 --> 00:01:14.000]  如果遊客
[00:01:14.000 --> 00:01:16.000]  遊覽一個主題樂園
[00:01:16.000 --> 00:01:18.000]  很大的主題樂園
[00:01:18.000 --> 00:01:20.000]  入場之後
[00:01:20.000 --> 00:01:23.000]  第一樣要做什麼呢
[00:01:23.000 --> 00:01:25.000]  除了買票之外
[00:01:25.000 --> 00:01:27.000]  地圖啊
[00:01:27.000 --> 00:01:30.000]  你要了解整個園區的佈局
[00:01:30.000 --> 00:01:32.000]  然後找出自己的位置
[00:01:32.000 --> 00:01:34.000]  你才不會迷路
[00:01:34.000 --> 00:01:36.000]  然後你才可以
[00:01:36.000 --> 00:01:40.000]  去找你想找的地方
[00:01:40.000 --> 00:01:42.000]  驟眼看這段經文
[00:01:42.000 --> 00:01:45.000]  三段好像不相干的內容
[00:01:45.000 --> 00:01:46.000]  但是
[00:01:46.000 --> 00:01:49.000]  如果你想了解老家想說什麼呢
[00:01:49.000 --> 00:01:51.000]  我們要看整張
[00:01:51.000 --> 00:01:53.000]  完整一點的地圖
[00:01:53.000 --> 00:01:55.000]  從上文下理
[00:01:55.000 --> 00:01:57.000]  用高角度去看下去
[00:01:57.000 --> 00:01:59.000]  你可能會知道
[00:01:59.000 --> 00:02:00.000]  他說什麼
[00:02:00.000 --> 00:02:02.000]  當你知道他說什麼的時候
[00:02:02.000 --> 00:02:04.000]  發現是非常精彩的
