
[00:00:00.000 --> 00:00:05.600]  不知你人生你會覺得你花最多的時間是在哪一方面
[00:00:05.600 --> 00:00:08.560]  不知你會覺得你會花時間在哪裏
[00:00:08.560 --> 00:00:12.640]  粗略的估計
[00:00:12.640 --> 00:00:16.560]  就會覺得我們人生其實花了我們三分一的時間
[00:00:16.560 --> 00:00:18.280]  就在工作的上面
[00:00:18.280 --> 00:00:20.280]  因爲如果你工作一天八小時
[00:00:20.280 --> 00:00:22.120]  那你三分一 是不是
[00:00:22.120 --> 00:00:25.160]  在灣區的有些都不止八小時 是不是
[00:00:25.160 --> 00:00:26.000]  多一點
[00:00:26.000 --> 00:00:28.880]  那星期六日可能你不用回來 多除少補
[00:00:28.880 --> 00:00:30.600]  大概三分一的時間
[00:00:30.600 --> 00:00:33.960]  人生就用了三分一的時間在工作上面
[00:00:33.960 --> 00:00:35.760]  那另外的三分一呢
[00:00:35.760 --> 00:00:38.680]  另外的三分一 我不知你會覺得你會花在哪裏
[00:00:38.680 --> 00:00:41.200]  花在哪裏
[00:00:41.200 --> 00:00:44.080]  剛纔第一堂的弟兄姐妹立刻答到的
[00:00:44.080 --> 00:00:45.800]  花在哪裏
[00:00:45.800 --> 00:00:47.520]  睡覺嘛 是不是
[00:00:47.520 --> 00:00:48.480]  睡覺那裏
[00:00:48.480 --> 00:00:50.880]  很嚮往很醉心的一個
[00:00:50.880 --> 00:00:52.760]  大家的活動 是不是
[00:00:52.760 --> 00:00:53.720]  睡覺
[00:00:53.720 --> 00:00:56.880]  那當然睡覺有不同的睡法
[00:00:56.880 --> 00:00:59.640]  所以就是說如果你
[00:00:59.640 --> 00:01:01.680]  工作不如意
[00:01:01.680 --> 00:01:04.480]  但是你睡得挺好的 睡得挺甜的
[00:01:04.480 --> 00:01:07.160]  那你人生起碼有三分一的時間呢
[00:01:07.160 --> 00:01:10.480]  其實是OK的 挺好的 不錯
[00:01:10.480 --> 00:01:11.960]  但如果你工作又不如意
[00:01:11.960 --> 00:01:14.440]  但是你睡覺又睡得不好
[00:01:14.440 --> 00:01:17.360]  你不是扯鼻汗那個嘛 可能 是不是
[00:01:17.360 --> 00:01:20.720]  所以你人生三分二的時間呢
[00:01:20.720 --> 00:01:23.720]  都真是 都不知道怎麼過 很辛苦
[00:01:23.720 --> 00:01:26.000]  工作又不好 睡又睡得不好
[00:01:26.000 --> 00:01:28.480]  所以我們就說原來我們能夠睡得好
[00:01:28.480 --> 00:01:31.120]  能夠工作投入 享受工作
[00:01:31.120 --> 00:01:33.680]  其實這個都真是完全是神的恩典
[00:01:33.680 --> 00:01:35.880]  神給我們莫大的禮物
[00:01:35.880 --> 00:01:40.160]  我不知道你上班之前有沒有一個習慣是靈脩的
[00:01:40.160 --> 00:01:41.320]  這個是很習慣來的
[00:01:41.320 --> 00:01:43.920]  我不知道你們有沒有弟兄姐妹是這樣做
[00:01:43.920 --> 00:01:47.080]  話說有個弟兄他上班之前靈脩
[00:01:47.080 --> 00:01:51.960]  他就打開聖經 他就看傳道書第一章
[00:01:51.960 --> 00:01:55.000]  看傳道書第一章 第一二節
[00:01:55.000 --> 00:01:56.760]  看到他說什麼嗎
[00:01:56.760 --> 00:01:58.080]  他就說 傳道者說
[00:01:58.080 --> 00:02:03.040]  虛空的虛空 虛空的虛空 一切都是虛空
[00:02:03.040 --> 00:02:04.760]  他就帶着這個空虛的心情
[00:02:04.760 --> 00:02:07.320]  開始他一個空虛的一天
[00:02:07.320 --> 00:02:09.680]  見到一個虛空的同事
[00:02:09.680 --> 00:02:11.320]  見到他虛空的上司
[00:02:11.320 --> 00:02:13.920]  做一些很虛空的工作
[00:02:13.920 --> 00:02:16.360]  八個小時之後他放了工了
[00:02:16.360 --> 00:02:18.200]  他又再打開聖經
[00:02:18.200 --> 00:02:20.240]  他仍然打開傳道書
[00:02:20.240 --> 00:02:23.440]  但是這次說我不看第一章 我看最後那一章
[00:02:23.440 --> 00:02:26.560]  但當他看最後那一章的時候 他看到第十二章第八節
[00:02:26.560 --> 00:02:29.240]  竟然這句說話又再出現一次
[00:02:29.240 --> 00:02:32.800]  虛空的虛空 凡事都是虛空
[00:02:32.800 --> 00:02:35.240]  當然這是個話說
[00:02:35.240 --> 00:02:40.480]  但我不知道這個會不會是你每天上班工作的時候的一個寫照
[00:02:40.480 --> 00:02:44.360]  每天回去都不知道是爲了什麼
[00:02:44.360 --> 00:02:46.480]  在傳道書
[00:02:46.480 --> 00:02:48.920]  虛空這個字其實出現很多次
[00:02:48.920 --> 00:02:51.080]  出現很多次虛空這個字
[00:02:51.080 --> 00:02:56.040]  但你知不知道有另外兩個字呢 其實在傳道書也出現很多次
[00:02:56.040 --> 00:02:59.720]  有沒有人知道是什麼字
[00:02:59.720 --> 00:03:00.960]  有沒有人啊
[00:03:00.960 --> 00:03:03.120]  暴風 不是暴風
[00:03:03.120 --> 00:03:05.800]  即是你一想起那些螞蟻啊
[00:03:05.800 --> 00:03:06.880]  那些啊
[00:03:06.880 --> 00:03:09.080]  你會想起的呢
[00:03:09.080 --> 00:03:10.800]  不是殺絕
[00:03:10.800 --> 00:03:14.320]  奴獨 是了 想起蜜蜂螞那些就是奴獨
[00:03:14.320 --> 00:03:16.560]  其實傳道書經常都在問這個問題
[00:03:16.560 --> 00:03:17.800]  傳道主一直在問這個問題
[00:03:17.800 --> 00:03:20.800]  他問這個問題就是人一切的奴獨
[00:03:20.800 --> 00:03:22.480]  在日光之下的奴獨
[00:03:22.480 --> 00:03:24.120]  其實有什麼益處
[00:03:24.120 --> 00:03:26.040]  他第一章的時候 剛纔講完空虛之後
[00:03:26.040 --> 00:03:28.880]  他就第一章第三次就已經問
[00:03:28.880 --> 00:03:30.800]  他問這個問題 他問到第二章的時候
[00:03:30.800 --> 00:03:32.120]  他同樣問這個問題
[00:03:32.120 --> 00:03:34.080]  但在第二章的時候之前他加了些東西
[00:03:34.080 --> 00:03:38.760]  他說他因爲人用智慧 知識和技能所奴獨得來的
[00:03:38.760 --> 00:03:42.400]  他發現竟然是留給一些沒有奴獨過的人
[00:03:42.400 --> 00:03:43.440]  要和他分
[00:03:43.440 --> 00:03:45.480]  他說這件事是極大的空虛
[00:03:45.480 --> 00:03:48.720]  是極大的慨嘆的一件事情
[00:03:48.720 --> 00:03:51.160]  接着他又問人一切的奴獨
[00:03:51.160 --> 00:03:52.800]  在日光之下的奴獨
[00:03:52.800 --> 00:03:57.000]  到底對自己有什麼意義
[00:03:57.000 --> 00:03:58.040]  他問完這兩個問題
[00:03:58.040 --> 00:04:00.320]  第一章問完 第二章問完的時候
[00:04:00.320 --> 00:04:03.760]  傳道者在第三章有一個領悟
[00:04:03.760 --> 00:04:05.480]  他領悟了什麼呢
[00:04:05.480 --> 00:04:10.480]  他就說我知道世人莫強於終身喜樂行善
[00:04:10.480 --> 00:04:14.920]  並且人人喫喝在他一切的奴獨中享福
[00:04:14.920 --> 00:04:18.240]  怎樣啊 這也是神的恩賜
[00:04:18.240 --> 00:04:19.920]  傳道者領悟到就是說
[00:04:19.920 --> 00:04:25.080]  原來你能夠喜樂 行善 喫喝
[00:04:25.080 --> 00:04:26.960]  奴獨中享福
[00:04:26.960 --> 00:04:30.080]  其實這個真是神給你一個很大的禮物
[00:04:30.080 --> 00:04:32.840]  這個經文講到的奴獨中享福
[00:04:32.840 --> 00:04:36.720]  你要注意 不是享清福這樣的意思
[00:04:36.720 --> 00:04:39.280]  應該是解作是你自得其樂
[00:04:39.280 --> 00:04:41.720]  在你奴獨工作裏面你能夠自得其樂
[00:04:41.720 --> 00:04:43.280]  你能夠有那份滿足感
[00:04:43.280 --> 00:04:45.880]  你能夠投入 你能夠享受
[00:04:45.880 --> 00:04:49.000]  這個是神給我們的恩賜
[00:04:49.000 --> 00:04:51.400]  但如果你回顧自己
[00:04:51.400 --> 00:04:53.680]  或者你看現實情況的時候
[00:04:53.680 --> 00:04:55.560]  你會發覺好像不是這樣
[00:04:55.560 --> 00:04:58.120]  很多人不滿足於自己的工作
[00:04:58.120 --> 00:04:59.520]  不享受自己的工作
[00:04:59.520 --> 00:05:02.840]  我想問一下在座的朋友弟兄姊妹
[00:05:02.840 --> 00:05:05.360]  有誰是很享受 很投入
[00:05:05.360 --> 00:05:07.960]  很滿意自己的工作的
[00:05:07.960 --> 00:05:09.480]  有沒有啊
[00:05:09.480 --> 00:05:11.080]  都有啊 都有啊
[00:05:11.080 --> 00:05:12.840]  剛纔第一堂的都有
[00:05:12.840 --> 00:05:16.280]  比例大一點 因爲人多一點 你們都有
[00:05:16.280 --> 00:05:17.520]  看你們的舉手
[00:05:17.520 --> 00:05:20.600]  都和現在這個粗略的估計都很吻合
[00:05:20.600 --> 00:05:21.680]  這個粗略估計是什麼呢
[00:05:21.680 --> 00:05:24.200]  粗略估計就是說有80%的人
[00:05:24.200 --> 00:05:26.840]  其實他是不滿意自己的工作
[00:05:26.840 --> 00:05:28.840]  不享受自己的工作
[00:05:28.840 --> 00:05:30.920]  而有90%的人
[00:05:30.920 --> 00:05:32.960]  他就不滿他的上司 他的同事
[00:05:32.960 --> 00:05:36.840]  或者他的下屬 他很不滿意
[00:05:36.840 --> 00:05:39.560]  但是就差不多有100%
[00:05:39.560 --> 00:05:42.080]  99%的人
[00:05:42.080 --> 00:05:45.200]  是不滿意他自己的那份工資
[00:05:45.200 --> 00:05:48.040]  我不知道在座大家會不會都是這樣
[00:05:48.040 --> 00:05:49.480]  很多人不滿意 很多人不滿意
[00:05:49.480 --> 00:05:50.600]  所以我們上班的時候
[00:05:50.600 --> 00:05:52.920]  很多人不滿意 很多人不滿意
[00:05:52.920 --> 00:05:55.800]  所以如果你今天在你的工作上
[00:05:55.800 --> 00:05:57.880]  你覺得你是很滿足你的工作
[00:05:57.880 --> 00:05:59.120]  很滿意你的工作
[00:05:59.120 --> 00:06:00.400]  你很投入
[00:06:00.400 --> 00:06:03.520]  你又覺得你的工資挺好的
[00:06:03.520 --> 00:06:05.560]  你要真的好好地去感謝
[00:06:05.560 --> 00:06:08.880]  我覺得這件事真的不是那麼容易的事情
[00:06:08.880 --> 00:06:12.000]  以至我們大家都能夠成爲一個TGIM
[00:06:12.000 --> 00:06:13.800]  不是TGIF
[00:06:13.800 --> 00:06:15.400]  你知道什麼是TGIF嗎
[00:06:15.400 --> 00:06:16.520]  Thank God It's Friday
[00:06:16.520 --> 00:06:18.160]  很多時候一到Friday
[00:06:18.160 --> 00:06:20.520]  我們就把工資包折 拋到不知道去哪裏
[00:06:20.520 --> 00:06:22.800]  找不回來 星期一找的時候很辛苦
[00:06:22.800 --> 00:06:25.760]  但是我們要做的是TGIM
[00:06:25.760 --> 00:06:27.880]  Thank God It's Monday
[00:06:27.880 --> 00:06:30.760]  今天很好 今天是TGIS
[00:06:30.760 --> 00:06:32.600]  Thank God It's Sunday
[00:06:32.600 --> 00:06:36.520]  其實我都是一個TGIM的人
[00:06:36.520 --> 00:06:38.080]  我Thank God It's Monday
[00:06:38.080 --> 00:06:39.400]  我感謝主
[00:06:39.400 --> 00:06:43.720]  因爲我們做傳導人的星期一是放假的
[00:06:43.720 --> 00:06:47.080]  其實每天我都是Thank God的
[00:06:47.080 --> 00:06:50.240]  MTWTFFSS
[00:06:50.240 --> 00:06:51.080]  全部都是的
[00:06:51.080 --> 00:06:52.640]  都很感謝神
[00:06:52.640 --> 00:06:57.280]  但是TGIM是不容易的
[00:06:57.280 --> 00:06:59.840]  有很多人就享受不了工作
[00:06:59.840 --> 00:07:01.960]  我們發覺其中一個原因
[00:07:01.960 --> 00:07:03.160]  今天神要我們去學習
[00:07:03.160 --> 00:07:07.480]  原來工作實在是帶來給我們很多不同的壓力
[00:07:07.480 --> 00:07:09.520]  所以今天神願意我們一起去學習
[00:07:09.520 --> 00:07:13.200]  如何去處理工作帶給我們的壓力
[00:07:13.200 --> 00:07:16.400]  有人說工作的壓力就好像血壓
[00:07:16.400 --> 00:07:17.880]  血壓是怎樣的
[00:07:17.880 --> 00:07:19.400]  太高的不行
[00:07:19.400 --> 00:07:20.640]  太低的不行
[00:07:20.640 --> 00:07:24.480]  爲什麼太高的時候壓力會爆
[00:07:24.480 --> 00:07:26.800]  太低的時候很無力
[00:07:26.800 --> 00:07:30.200]  軟弱無力 很累 很沒幹勁
[00:07:30.200 --> 00:07:34.760]  那不是這個
[00:07:34.760 --> 00:07:38.760]  工作壓力有人會說
[00:07:38.760 --> 00:07:41.240]  它就像膽固醇一樣
[00:07:41.240 --> 00:07:42.320]  膽固醇是怎樣的
[00:07:42.320 --> 00:07:45.560]  有好的膽固醇有不好的膽固醇
[00:07:45.560 --> 00:07:48.280]  好的壓力和有不好的壓力
[00:07:48.280 --> 00:07:51.280]  好的壓力可以令你進步
[00:07:51.280 --> 00:07:53.440]  不好的壓力令你卻步
[00:07:53.440 --> 00:07:55.560]  好的壓力令你工作投入
[00:07:55.560 --> 00:07:59.200]  不好的壓力令你工作頭痛
[00:07:59.200 --> 00:08:02.000]  我不知道今天你們工作的情況如何
[00:08:02.000 --> 00:08:05.520]  不知道你們工作上會不會遇到很多壓力
[00:08:05.520 --> 00:08:06.640]  有個姐妹跟我說
[00:08:06.640 --> 00:08:08.240]  她說我工作壓力很大
[00:08:08.240 --> 00:08:11.200]  我就問她爲什麼工作壓力這麼大
[00:08:11.200 --> 00:08:12.120]  她怎麼說呢
[00:08:12.120 --> 00:08:15.600]  她說是因爲工作這段時間沒什麼做
[00:08:15.600 --> 00:08:17.040]  公司沒什麼讓我做
[00:08:17.040 --> 00:08:17.960]  壓力很大
[00:08:17.960 --> 00:08:20.200]  我不敢跟我老闆說我沒什麼做
[00:08:20.200 --> 00:08:20.840]  壓力很大
[00:08:20.840 --> 00:08:22.640]  不知道公司什麼時候會不要我
[00:08:22.640 --> 00:08:24.920]  壓力很大
[00:08:24.920 --> 00:08:26.960]  最近又和一個弟兄聊天的時候
[00:08:26.960 --> 00:08:32.240]  發現原來他早幾個禮拜公司派他去韓國
[00:08:32.240 --> 00:08:34.320]  去公幹
[00:08:34.320 --> 00:08:35.640]  一個大客來的
[00:08:35.640 --> 00:08:37.280]  韓國一個大客
[00:08:37.280 --> 00:08:39.520]  很大的公司在韓國
[00:08:39.520 --> 00:08:42.040]  我想你們都知道哪一間
