
[00:00:00.000 --> 00:00:04.540]  台灣有一名很有名的繪本作家
[00:00:04.540 --> 00:00:06.540]  叫做紀米
[00:00:06.540 --> 00:00:09.240]  紀米本身有一個很動人的生命故事
[00:00:09.240 --> 00:00:12.420]  所以他的作品很簡單
[00:00:12.420 --> 00:00:16.040]  用簡單的故事 簡單的線條
[00:00:16.040 --> 00:00:20.840]  帶我們去用另一個眼睛去看這個世界
[00:00:20.840 --> 00:00:22.940]  在紀米的作品當中
[00:00:22.940 --> 00:00:27.760]  有一個作品最受歡迎 也最有來頭
[00:00:27.760 --> 00:00:31.240]  美國的華立兄弟公司看了這個劇本
[00:00:31.240 --> 00:00:35.720]  是第一部投資拍攝的華語電影
[00:00:35.720 --> 00:00:39.480]  叫做《向左走向右走》
[00:00:39.480 --> 00:00:42.400]  由當年最紅的金城武
[00:00:42.400 --> 00:00:48.740]  和當年仍然很有少女情懷的梁詠琪合作拍攝
[00:00:48.740 --> 00:00:50.480]  很多人的故事
[00:00:50.480 --> 00:00:53.720]  香港電影 台灣拍攝
[00:00:53.720 --> 00:00:57.280]  新加坡的孫燕姿主唱主題曲
[00:00:57.280 --> 00:01:01.600]  是橫掃華語電影界
[00:01:01.600 --> 00:01:05.600]  電影講述男女主角偶然相遇
[00:01:05.600 --> 00:01:07.600]  有一種觸電的感覺
[00:01:07.600 --> 00:01:10.320]  一觸電就分開了
[00:01:10.320 --> 00:01:17.880]  分開之後彼此都失去了聯絡的地址和電話
[00:01:17.880 --> 00:01:20.880]  於是茫茫人海
[00:01:20.880 --> 00:01:23.880]  每天去尋尋覓覓
[00:01:23.880 --> 00:01:27.360]  始終未能遇上
[00:01:27.360 --> 00:01:30.480]  故事的情節就是講到原來他們兩個
[00:01:30.480 --> 00:01:33.280]  是住在同一間公寓
[00:01:33.280 --> 00:01:35.600]  A座 B座
[00:01:35.600 --> 00:01:39.080]  不過上班的時候一個向左走
[00:01:39.080 --> 00:01:41.080]  一個向右走
[00:01:41.080 --> 00:01:45.320]  於是一直都未能再次相遇
[00:01:45.320 --> 00:01:48.440]  直到影片結束時
[00:01:48.440 --> 00:01:51.240]  台北地震一震之下
[00:01:51.240 --> 00:01:52.800]  震了一面牆
[00:01:52.800 --> 00:01:55.600]  原來發覺你找了那個人
[00:01:55.600 --> 00:01:57.040]  茫茫人海不斷找人
[00:01:57.040 --> 00:01:58.800]  就住在你旁邊
[00:01:58.800 --> 00:02:00.560]  當然這就是一個很有
[00:02:00.560 --> 00:02:04.000]  講到現代人生活的疏離
[00:02:04.000 --> 00:02:05.440]  接近
[00:02:05.440 --> 00:02:10.000]  我們要珍惜每一次相遇的時間
[00:02:10.000 --> 00:02:12.640]  儘管我經常在不同的場景
[00:02:12.640 --> 00:02:15.280]  不同的教會 不同的群體去
[00:02:15.280 --> 00:02:17.600]  講道去分享
[00:02:17.600 --> 00:02:19.720]  但每一次我都很珍惜
[00:02:19.720 --> 00:02:20.960]  很珍惜就是
[00:02:20.960 --> 00:02:24.880]  我來了之後 我以後會不會再來呢
[00:02:24.880 --> 00:02:26.680]  我今次跟大家分享之後
[00:02:26.680 --> 00:02:30.200]  有沒有機會再聽我分享呢
[00:02:30.200 --> 00:02:32.640]  這個不是說自視甚麼
[00:02:32.640 --> 00:02:36.480]  而是我珍惜每次和不同的人
[00:02:36.480 --> 00:02:41.200]  包括主內或者一般的市民的相遇
[00:02:41.200 --> 00:02:43.520]  中國人很相信緣份
[00:02:43.520 --> 00:02:45.240]  你發現有些東西你無法解釋
[00:02:45.240 --> 00:02:46.800]  我說為甚麼會認識呢
[00:02:46.800 --> 00:02:47.920]  解釋不了
[00:02:47.920 --> 00:02:49.800]  因為我們有緣
[00:02:49.800 --> 00:02:52.600]  這些緣字很特別
[00:02:52.600 --> 00:02:56.200]  在茫茫人海當中認識的人
[00:02:56.200 --> 00:02:59.000]  其實不容易的
[00:02:59.000 --> 00:03:03.080]  在浩瀚的人海當中
[00:03:03.080 --> 00:03:05.280]  你遇見耶穌
[00:03:05.280 --> 00:03:10.600]  更加是非常難得的福分
[00:03:10.600 --> 00:03:13.560]  有些人遇見耶穌之後
