
[00:00:00.000 --> 00:00:02.200]  最後今日訊息之前我們再有個禱告
[00:00:30.000 --> 00:00:32.200]  以致我們在我們的生活行為裏面
[00:00:32.200 --> 00:00:35.000]  能夠作無愧的工人去見證祢
[00:00:35.000 --> 00:00:36.600]  求祢帶領我們多謝主
[00:00:36.600 --> 00:00:38.000]  奉耶穌基督的命求
[00:00:38.000 --> 00:00:39.000]  阿門
[00:00:39.000 --> 00:00:42.000]  在經文裏面
[00:00:42.000 --> 00:00:44.200]  剛剛我們所讀裏面提及了兩個人物
[00:00:44.200 --> 00:00:47.000]  一個叫許米乃和肥利圖
[00:00:47.000 --> 00:00:48.400]  大家不記得也不要緊的
[00:00:48.400 --> 00:00:50.000]  因為在聖經裏面
[00:00:50.000 --> 00:00:51.600]  許米乃只是出現過兩次
[00:00:51.600 --> 00:00:53.800]  肥利圖就是在這裏出現過一次
[00:00:53.800 --> 00:00:57.600]  許米乃在提摩太前書一章二十節都有再提及過
[00:00:57.600 --> 00:01:00.800]  他是一個離經叛道的人
[00:01:00.800 --> 00:01:02.600]  將上帝的遺語扭曲了
[00:01:02.600 --> 00:01:04.800]  可謂十八字形容他們偏離了正道
[00:01:04.800 --> 00:01:05.600]  偏離了什麼呢
[00:01:05.600 --> 00:01:07.400]  就說復活的事已過
[00:01:07.400 --> 00:01:08.200]  意思就是說
[00:01:08.200 --> 00:01:11.600]  耶穌基督復活的事已經是過去的事了
[00:01:11.600 --> 00:01:16.200]  我們眾信徒在這裏也不會再見到耶穌基督復活
[00:01:16.200 --> 00:01:18.200]  在我們生命當中有什麼意思
[00:01:18.200 --> 00:01:19.400]  不知道大家明不明白意思
[00:01:19.400 --> 00:01:22.200]  就是說我們的盼望就是我們見到耶穌基督復活
[00:01:22.200 --> 00:01:24.200]  我們將來也能夠和耶穌基督復活
[00:01:24.200 --> 00:01:26.000]  他已經說這件事已經過去了
[00:01:26.000 --> 00:01:27.400]  敗壞了很多人的信心
[00:01:27.400 --> 00:01:28.800]  多麼嚴重
[00:01:28.800 --> 00:01:31.600]  形容這些將上帝遺語扭曲的事
[00:01:31.600 --> 00:01:33.000]  好像毒瘡一樣
[00:01:33.000 --> 00:01:35.600]  搞到好像癌細胞一樣
[00:01:35.600 --> 00:01:37.000]  越來越嚴重
[00:01:37.000 --> 00:01:38.400]  整個生命都會枯萎
[00:01:38.400 --> 00:01:39.800]  都會扭曲的
[00:01:39.800 --> 00:01:46.600]  我想這裏不是很多人面對毒瘡和身體腐爛這麼嚴重的事
[00:01:46.600 --> 00:01:47.600]  大家都是很健康的
[00:01:47.600 --> 00:01:48.800]  感謝主
[00:01:48.800 --> 00:01:51.800]  說我家裏的一些好像很小事
[00:01:51.800 --> 00:01:53.200]  但是又很嚴重的事
[00:01:53.200 --> 00:01:54.400]  讓大家警惕
[00:01:54.400 --> 00:02:01.400]  原來一些小小的壞的問題可以衍生得很嚴重
[00:02:01.400 --> 00:02:04.800]  問題就是我家裏最近發現有木塞
[00:02:04.800 --> 00:02:07.600]  大家看到大家已經很震驚
[00:02:07.600 --> 00:02:09.600]  特別是長了一年多的
[00:02:09.600 --> 00:02:11.600]  知道是很嚴重的事
[00:02:11.600 --> 00:02:13.600]  不是說家裏有蟑螂
[00:02:13.600 --> 00:02:14.600]  有老鼠那些
[00:02:14.600 --> 00:02:16.000]  老鼠的姐妹都很害怕
[00:02:16.000 --> 00:02:17.600]  老鼠嚇不掂
[00:02:17.600 --> 00:02:19.600]  木塞為什麼這麼嚴重
