
[00:00:00.000 --> 00:00:06.000]  今日我哋嚟到提摩太前書最後一個講到嘅部份啦
[00:00:06.000 --> 00:00:08.000]  咁我哋之前講多兩個禮拜嘅
[00:00:08.000 --> 00:00:11.000]  咁好簡單嘅recap就係
[00:00:11.000 --> 00:00:14.000]  雖然呢卷係一卷有啲悶嘅書
[00:00:14.000 --> 00:00:17.000]  即係我諗聖經都有啲係好悶嘅書㗎嘛
[00:00:17.000 --> 00:00:20.000]  即係我諗就算大家唔係好熟聖經呢
[00:00:20.000 --> 00:00:23.000]  你都會知有啲書係好難明呀
[00:00:23.000 --> 00:00:25.000]  好似唔關我事咁樣嘅
[00:00:25.000 --> 00:00:29.000]  即係我相信我哋中間嘅manner可能都有啲同感
[00:00:29.000 --> 00:00:32.000]  即係點解要講卷咁難搞嘅書呀咁樣
[00:00:32.000 --> 00:00:35.000]  我諗雖然佢好似好悶
[00:00:35.000 --> 00:00:39.000]  雖然卷書有好多內容好似同我哋有啲緣
[00:00:39.000 --> 00:00:41.000]  但係裏面有啲嘅原則
[00:00:41.000 --> 00:00:44.000]  有啲嘅諗法可能對今日
[00:00:44.000 --> 00:00:47.000]  即係就算我哋只係一個青少年又好
[00:00:47.000 --> 00:00:49.000]  都有啲提醒嘅
[00:00:49.000 --> 00:00:51.000]  咁所以點解會繼續講呢
[00:00:51.000 --> 00:00:54.000]  同埋點解今日會講埋佢呢咁樣
[00:00:54.000 --> 00:00:56.000]  就係咁嘅原因
[00:00:56.000 --> 00:01:00.000]  今日就嚟到提摩太前書最後一章嘅部分
[00:01:00.000 --> 00:01:05.000]  咁少少recap嘅話呢就係呢卷書係講緊提摩太
[00:01:05.000 --> 00:01:10.000]  保羅教提摩太點樣處理喺二忽所入面嘅問題
[00:01:10.000 --> 00:01:15.000]  即係我諗就算冇聽晒兩個sermon嘅explorer
[00:01:15.000 --> 00:01:19.000]  即係你哋如果係啲junior小組都會有少少接觸到呢卷書
[00:01:19.000 --> 00:01:23.000]  即係提摩太前書去面對嘅教會係有好多嘅
[00:01:23.000 --> 00:01:26.000]  即係講埋啲好奇怪嘅道理
[00:01:26.000 --> 00:01:29.000]  有啲人嘅道德同生活係好有問題
[00:01:29.000 --> 00:01:31.000]  咁所以去到處理
[00:01:31.000 --> 00:01:33.000]  即係呢卷書係一卷係多啲規則
[00:01:33.000 --> 00:01:38.000]  多啲去到講我哋應該點樣做基督徒嘅例子
[00:01:38.000 --> 00:01:44.000]  但係裏面都有啲事情呢其實值得我哋去反思去思考
[00:01:44.000 --> 00:01:46.000]  咁今日呢就只要講第六章
[00:01:46.000 --> 00:01:48.000]  第六章係個結尾嘅部分啦
[00:01:48.000 --> 00:01:52.000]  咁保羅喺呢個結尾嘅部分呢都再次去講返
[00:01:52.000 --> 00:01:55.000]  當時嘅教會係有啲唔好嘅人啦
[00:01:55.000 --> 00:01:58.000]  即係一啲當時叫假教師啦
[00:01:58.000 --> 00:02:02.000]  或者今日可能講一啲唔啱嘅道理嘅人
[00:02:02.000 --> 00:02:07.000]  咁後面呢就講到保羅叫提摩太點樣先叫做好嘅基督徒呢
