
[00:00:00.000 --> 00:00:02.000]  感謝讚美主
[00:00:02.000 --> 00:00:06.000]  我們是不是一個幸福的教會呢?
[00:00:06.000 --> 00:00:12.000]  我們是不是一個幸福的教會呢?
[00:00:12.000 --> 00:00:14.000]  感謝讚美神
[00:00:14.000 --> 00:00:16.000]  教會應該是全世界
[00:00:16.000 --> 00:00:19.000]  應該是要最幸福的地方
[00:00:19.000 --> 00:00:21.000]  對不對?
[00:00:21.000 --> 00:00:25.000]  教會應該是要全世界最幸福的地方
[00:00:25.000 --> 00:00:28.000]  最幸福的地方是在神的家裡面
[00:00:28.000 --> 00:00:30.000]  所以我今天要跟大家分享
[00:00:30.000 --> 00:00:32.000]  約翰二書
[00:00:32.000 --> 00:00:34.000]  雖然最近我們在讀的是
[00:00:34.000 --> 00:00:36.000]  約翰寫的啟示錄
[00:00:36.000 --> 00:00:39.000]  但是當我們讀通了這卷書
[00:00:39.000 --> 00:00:42.000]  再去看看啟示錄的七間教會
[00:00:42.000 --> 00:00:45.000]  我們就會明白他們的問題出在哪裡
[00:00:45.000 --> 00:00:50.000]  這是約翰他寫的書信裡面
[00:00:50.000 --> 00:00:53.000]  就是整個書卷裡面最短的一封
[00:00:53.000 --> 00:00:56.000]  全文只有13節
[00:00:56.000 --> 00:00:58.000]  那也恭喜各位
[00:00:58.000 --> 00:01:00.000]  我們聖經裡面總共有66卷書
[00:01:00.000 --> 00:01:04.000]  剛剛大家已經讀完了一卷了
[00:01:04.000 --> 00:01:06.000]  所以還有65卷
[00:01:06.000 --> 00:01:08.000]  大家可以接著努力
[00:01:08.000 --> 00:01:10.000]  這時候我們先做一個禱告
[00:01:10.000 --> 00:01:12.000]  也邀請你開口禱告
[00:01:12.000 --> 00:01:13.000]  為自己禱告
[00:01:13.000 --> 00:01:16.000]  為神的話語能夠進入我們的心
[00:01:16.000 --> 00:01:19.000]  讓我們的教會真是被聖靈來帶領
[00:01:19.000 --> 00:01:22.000]  好不好?我們一同來禱告
[00:01:22.000 --> 00:01:24.000]  主我們讚美祢
[00:01:24.000 --> 00:01:25.000]  祢是活著的神
[00:01:25.000 --> 00:01:28.000]  祢是我們所傳講的耶穌基督
[00:01:28.000 --> 00:01:29.000]  祢是我們的主
[00:01:29.000 --> 00:01:30.000]  與我們同在
[00:01:30.000 --> 00:01:31.000]  主啊
[00:01:31.000 --> 00:01:33.000]  孩子把這個降臺交在祢手裡
[00:01:33.000 --> 00:01:34.000]  願聖靈運行
[00:01:34.000 --> 00:01:35.000]  主啊
