
[00:00:00.000 --> 00:00:05.480]  我不知道大家有沒有機會嘗試在一個伸手不見五指
[00:00:05.480 --> 00:00:09.240]  看不見的地方來生活一段日子
[00:00:09.240 --> 00:00:12.240]  也許我們在座的大部分的弟兄姊妹
[00:00:12.240 --> 00:00:16.680]  都沒有這樣的機會在一個黑暗的世界當中生存
[00:00:16.680 --> 00:00:19.320]  但是我們今天所講的這個故事
[00:00:19.320 --> 00:00:23.640]  這個瞎子卻是一個生來就瞎眼的人
[00:00:23.640 --> 00:00:28.040]  他從一出生就是在黑暗當中伸手不見五指
[00:00:28.040 --> 00:00:33.040]  在一個看不見的地方要學習怎麼樣地去生存
[00:00:33.040 --> 00:00:37.280]  那幾年前當我還在另外一間教會服侍的時候
[00:00:37.280 --> 00:00:41.360]  我就有機會跟教會的一羣年輕的弟兄姊妹
[00:00:41.360 --> 00:00:44.240]  我們去香港長沙灣的一個地方
[00:00:44.240 --> 00:00:47.560]  玩一個遊戲叫《黑暗中對話》
[00:00:47.560 --> 00:00:50.880]  不曉得有沒有弟兄姊妹來玩過這個遊戲
[00:00:50.880 --> 00:00:52.400]  那去到那個地方
[00:00:52.400 --> 00:00:57.480]  那裏的前臺接待的工作人員是可以看得見的
[00:00:57.480 --> 00:01:01.440]  但是他們當中最核心的工作就是導賞員
[00:01:01.440 --> 00:01:03.440]  是全部都是視障者
[00:01:03.440 --> 00:01:06.920]  有的是非常弱只有0.1 0.2的視力
[00:01:06.920 --> 00:01:11.320]  有的真的就是全盲的是完全都看不見的
[00:01:11.320 --> 00:01:13.120]  那你去到那邊之後
[00:01:13.120 --> 00:01:15.960]  他們會給你一個導賞
[00:01:15.960 --> 00:01:18.200]  大概有75分鐘的時間
[00:01:18.200 --> 00:01:23.080]  我們會進入到一個全黑的完全看不見的地方
[00:01:23.080 --> 00:01:27.400]  跟你的隊友跟着導賞者一起來走一段的路
[00:01:27.400 --> 00:01:30.240]  當然整個的過程是相當的安全的
[00:01:30.240 --> 00:01:34.760]  因爲我們有CCTV有遠紅外的CCTV可以看着
[00:01:34.760 --> 00:01:38.720]  而且那個路大概上都是比較平坦的
[00:01:38.720 --> 00:01:42.120]  可是當人面對黑暗的時候
[00:01:42.120 --> 00:01:45.160]  當人面對未知的時候
[00:01:45.160 --> 00:01:49.120]  當人面對看不見無法掌控的時候
[00:01:49.120 --> 00:01:52.560]  原來還是一種很深的恐懼在裏面的
[00:01:52.560 --> 00:01:56.480]  我記得當時我們幾個人在進去之前
[00:01:56.480 --> 00:01:58.400]  就商量好一個對策
[00:01:58.400 --> 00:02:02.000]  我們先編好號誰是1,2,3,4,5,6,7,8號
[00:02:02.000 --> 00:02:05.560]  然後呢就跟大家說1號跟着2號,2號跟着3號
[00:02:05.560 --> 00:02:09.160]  我們要排着隊一個一個的來往前走
[00:02:09.160 --> 00:02:12.120]  我們以爲這樣就萬無一失
[00:02:12.120 --> 00:02:16.960]  但是進到場景裏面的時候發現還是會懼怕
[00:02:16.960 --> 00:02:19.000]  真的是非常的黑暗
[00:02:19.000 --> 00:02:21.520]  有一些路也比較的難走
[00:02:21.520 --> 00:02:23.640]  有一些地方甚至比較的窄
[00:02:23.640 --> 00:02:25.160]  還有一些的坡路
[00:02:25.160 --> 00:02:27.080]  不僅需要一個接着一個
[00:02:27.080 --> 00:02:30.840]  還需要一個拉着一個這樣的往前過
[00:02:30.840 --> 00:02:32.120]  那也很有意思
[00:02:32.120 --> 00:02:34.280]  因爲在黑暗裏面大家都看不見
[00:02:34.280 --> 00:02:37.520]  經常會發現踩了對方的腳
[00:02:37.520 --> 00:02:42.480]  或者是說一揮手就打到對方的身體這樣的狀況
[00:02:42.480 --> 00:02:44.640]  那如果是在平時的
[00:02:44.640 --> 00:02:47.600]  這就好像我們團隊當中的小摩擦
[00:02:47.600 --> 00:02:50.840]  人與人之間合作總會會出現一些的摩擦
[00:02:50.840 --> 00:02:53.480]  但是在那樣的一個環境當中
[00:02:53.480 --> 00:02:56.400]  大家卻沒有互相的指責對方
[00:02:56.400 --> 00:02:58.680]  而是說沒關係沒關係沒問題
[00:02:58.680 --> 00:03:01.400]  你小心腳下注意點小心一點
[00:03:01.400 --> 00:03:02.600]  誰誰誰還在嗎
[00:03:02.600 --> 00:03:04.480]  你到走到什麼地方了
[00:03:04.480 --> 00:03:07.560]  是一種非常信任彼此
[00:03:07.560 --> 00:03:09.360]  非常支持彼此
[00:03:09.360 --> 00:03:11.240]  非常接納彼此
[00:03:11.240 --> 00:03:16.320]  也非常的有愛的這樣的一個團隊的合作精神
[00:03:16.320 --> 00:03:18.760]  所以當走出那一個黑屋子
[00:03:18.760 --> 00:03:21.960]  結束了這個75分鐘的旅程的時候
