
[00:00:00.000 --> 00:00:02.660]  這段經文記載
[00:00:02.660 --> 00:00:04.300]  你一讀,讀到下去
[00:00:04.300 --> 00:00:05.500]  就是讀到
[00:00:05.500 --> 00:00:07.200]  有方工作
[00:00:07.200 --> 00:00:09.020]  遇到什麼難阻
[00:00:09.020 --> 00:00:11.940]  有個叫以雷瑪
[00:00:11.940 --> 00:00:13.940]  又叫巴耶蘇
[00:00:13.940 --> 00:00:16.240]  很多名字的,很有趣
[00:00:16.240 --> 00:00:18.580]  有一個猶太人,有一個術士
[00:00:18.580 --> 00:00:21.340]  他難阻
[00:00:21.340 --> 00:00:23.840]  今天不知道我們有沒有想到
[00:00:23.840 --> 00:00:28.140]  有什麼難阻著我們去服侍主
[00:00:28.140 --> 00:00:31.940]  或者在歷史上
[00:00:31.940 --> 00:00:35.340]  我們研究過很多方工作
[00:00:35.340 --> 00:00:38.440]  為什麼會被難阻
[00:00:38.440 --> 00:00:40.540]  以前讀教會歷史
[00:00:40.540 --> 00:00:45.980]  讀到1517年馬丁路德改革
[00:00:45.980 --> 00:00:49.840]  基督教和天主教分裂出來
[00:00:49.840 --> 00:00:56.640]  以前都問為什麼教會會有內部的分裂
[00:00:56.640 --> 00:01:00.640]  你看到在中世紀時代
[00:01:00.640 --> 00:01:02.880]  不是很多宣教的工作
[00:01:02.880 --> 00:01:07.640]  福音工作是因為內部的內耗
[00:01:07.640 --> 00:01:10.840]  或者很多不同的原因
[00:01:10.840 --> 00:01:14.540]  停頓了很多
[00:01:14.540 --> 00:01:16.340]  在世界歷史,你看到
[00:01:16.340 --> 00:01:18.240]  福音工作被難阻
[00:01:18.240 --> 00:01:20.240]  有很多層面
[00:01:20.240 --> 00:01:24.940]  其中一個,我聽過很有意思
[00:01:24.940 --> 00:01:28.640]  當福音傳得最廣傳的時候
[00:01:28.640 --> 00:01:30.140]  你看初期教會
[00:01:30.140 --> 00:01:32.140]  或者在不同的時代
[00:01:32.140 --> 00:01:34.240]  福音傳得最廣傳的時候
