
[00:00:00.000 --> 00:00:04.240]  弟兄姊妹,今天我們來思想《羅馬書》第九章
[00:00:04.240 --> 00:00:06.720]  思想完《羅馬書》第八章
[00:00:06.720 --> 00:00:11.020]  基本上保羅在一至八章就講述到
[00:00:11.020 --> 00:00:16.000]  神對人的救贖計劃
[00:00:16.000 --> 00:00:18.400]  頭三章講到那個需要
[00:00:18.400 --> 00:00:19.880]  然後就講到
[00:00:19.880 --> 00:00:24.160]  如何藉著基督的恩信稱義
[00:00:24.160 --> 00:00:27.160]  基督成為新亞當的代表
[00:00:27.160 --> 00:00:32.880]  然後信的人如何去經歷在信仰當中的生活
[00:00:32.880 --> 00:00:35.480]  如何去勝過律法的權勢
[00:00:35.480 --> 00:00:37.280]  勝過罪惡的權勢
[00:00:37.280 --> 00:00:41.080]  以及去過屬靈的生活
[00:00:41.080 --> 00:00:45.400]  然後也等候著將來的萬物得贖
[00:00:45.400 --> 00:00:47.520]  身體得贖的盼望
[00:00:47.520 --> 00:00:50.760]  而去到第八章上一次講到的時候
[00:00:50.760 --> 00:00:54.240]  我們等候著這個得贖的盼望的時候
[00:00:54.240 --> 00:00:58.280]  今天這個世界雖然有很多事情
[00:00:58.280 --> 00:01:00.920]  好像是和我們敵對
[00:01:00.920 --> 00:01:03.320]  萬物都好像未得救贖的時候
[00:01:03.320 --> 00:01:06.200]  我們現在都活在嘆息牢庫當中
[00:01:06.200 --> 00:01:12.400]  也有很多事情對基督徒來說都是很困難的
[00:01:12.400 --> 00:01:16.560]  有患難、困苦、危險、刀劍諸如此類
[00:01:16.560 --> 00:01:22.760]  但是無論什麼都不能夠被我們和神的愛隔絕
[00:01:22.760 --> 00:01:25.360]  講完第一到第八章之後
[00:01:25.360 --> 00:01:28.680]  《南無阿彌陀佛》第九章到第十一章
[00:01:28.680 --> 00:01:33.200]  基本上就將話題有少許轉一轉
[00:01:33.200 --> 00:01:36.760]  因為那個問題就是說
[00:01:36.760 --> 00:01:38.440]  沒有作神的救贖的計劃
[00:01:38.440 --> 00:01:42.840]  對於全人類保羅很清楚地擺在我們面前
[00:01:42.840 --> 00:01:45.040]  但是接著就有一個問題
[00:01:45.040 --> 00:01:48.320]  當時的人都會問的
[00:01:48.320 --> 00:01:53.440]  究竟屬神的子民就是在舊約的時候
[00:01:53.440 --> 00:01:56.480]  那些被稱為屬神的子民的就是以色列人
[00:01:56.480 --> 00:01:59.640]  當時他們的時代教會也有很多猶太人
[00:01:59.640 --> 00:02:01.240]  是其中一份子
[00:02:01.240 --> 00:02:08.880]  究竟神對以色列人或者神對猶太人的計劃又如何呢?
[00:02:08.880 --> 00:02:12.720]  是不是和教會是等同的呢?
[00:02:12.720 --> 00:02:18.120]  還是神已經取消了神對舊約以色列人的計劃
[00:02:18.120 --> 00:02:22.040]  或者以色列人這個群體神的計劃當中
[00:02:22.040 --> 00:02:30.400]  已經完全被融化在新約教會的新計劃裡面呢?
[00:02:30.400 --> 00:02:34.480]  這些問題在當時的猶太人來講
[00:02:34.480 --> 00:02:35.920]  或者當時的基督徒
[00:02:35.920 --> 00:02:39.480]  都是非常真實、非常密切的
[00:02:39.480 --> 00:02:43.880]  所以保羅在《羅馬書》第九章到第十一章
[00:02:43.880 --> 00:02:50.160]  就嘗試去解釋清楚這個問題
[00:02:50.160 --> 00:02:53.400]  但是對於今天我們現在的人來講
[00:02:53.400 --> 00:02:56.920]  都是有非常重要的教導
[00:02:56.920 --> 00:03:00.600]  因為在背後其實也讓我們思想到
[00:03:00.600 --> 00:03:03.560]  究竟神的救贖計劃
[00:03:03.560 --> 00:03:06.800]  從舊約開始延伸到新約
[00:03:06.800 --> 00:03:12.240]  那個continuity和discontinuity究竟在哪裡呢?
[00:03:12.240 --> 00:03:15.360]  就是那個延續和那個不同究竟在哪裡呢?
[00:03:15.360 --> 00:03:21.240]  而今天我們怎樣去看以色列人呢?
[00:03:21.240 --> 00:03:23.840]  而舊約那些的以色列人
[00:03:23.840 --> 00:03:26.720]  和今天現代的以色列人又有沒有什麼不同呢?
[00:03:26.720 --> 00:03:32.080]  就是以色列人和基督徒的關係又是怎樣呢?
[00:03:32.080 --> 00:03:33.880]  就是神的一個約
[00:03:33.880 --> 00:03:36.240]  特別是在舊約的時候
[00:03:36.240 --> 00:03:43.960]  簡宣亞伯拉罕那些的英許又是不是在新約的時候就完全取代了
[00:03:43.960 --> 00:03:48.600]  所以也都再沒有任何需要再看舊約那些呢?
[00:03:48.600 --> 00:03:51.680]  諸如此類的很多這些衍生出來的問題
[00:03:51.680 --> 00:03:56.280]  我相信對於今天我們的信仰都是非常重要的
[00:03:56.280 --> 00:03:59.480]  而特別背後也都有一個很重要的問題
[00:03:59.480 --> 00:04:00.800]  我們今天會討論的
[00:04:00.800 --> 00:04:04.440]  就是神的簡宣究竟是什麼意思呢?
[00:04:04.440 --> 00:04:07.120]  因為這個是核心關鍵的所在
[00:04:07.120 --> 00:04:09.160]  因為在整個舊約的時候
[00:04:09.160 --> 00:04:12.440]  都講到以色列人就是神簡宣的子民
