
[00:00:00.000 --> 00:00:07.400]  針研教導我們怎樣做一個智慧的人
[00:00:07.400 --> 00:00:11.320]  基督徒和非基督徒究竟分別在哪裏呢
[00:00:11.320 --> 00:00:15.440]  分別在於他們怎樣去選擇
[00:00:15.440 --> 00:00:17.440]  怎樣選擇
[00:00:17.440 --> 00:00:22.040]  智慧人和愚昧人分別在哪裏呢
[00:00:22.040 --> 00:00:25.640]  分別亦在於他們怎樣去選擇
[00:00:25.640 --> 00:00:30.440]  所以選擇是我們基督徒
[00:00:30.440 --> 00:00:33.080]  一個人生很重要的
[00:00:33.080 --> 00:00:35.080]  一個要學習
[00:00:35.080 --> 00:00:38.960]  並且要來跟隨神的事
[00:00:38.960 --> 00:00:42.760]  你怎樣做出一個智慧的選擇
[00:00:42.760 --> 00:00:44.200]  聖經說
[00:00:44.200 --> 00:00:46.360]  《馬特福音》第七章
[00:00:46.360 --> 00:00:49.840]  第十三至第十四節這樣說
[00:00:49.840 --> 00:00:51.840]  你們要進閘門
[00:00:51.840 --> 00:00:56.320]  因為引渡滅亡的那門是寬的路是大的
[00:00:56.320 --> 00:00:58.040]  進去的人亦都多
[00:00:58.040 --> 00:01:02.120]  引渡永生的那門是窄的路是少的
[00:01:02.120 --> 00:01:05.400]  找著的人亦都是少
[00:01:05.400 --> 00:01:08.440]  人生是需要選擇
[00:01:08.440 --> 00:01:12.240]  路大、路闊、人多去的
[00:01:12.240 --> 00:01:16.920]  不是一定要你選擇的那條路
[00:01:16.920 --> 00:01:19.960]  很多不是基督徒去選擇這樣
[00:01:19.960 --> 00:01:23.840]  作為基督徒我們的選擇又如何呢
[00:01:23.840 --> 00:01:28.720]  他說引渡永生的路是窄的路是少的
[00:01:28.720 --> 00:01:30.720]  門是窄的
[00:01:30.720 --> 00:01:33.880]  找著的人亦都是少
[00:01:33.880 --> 00:01:37.440]  你怎樣做你人生的抉擇
[00:01:37.440 --> 00:01:39.800]  在你的生活裏面
[00:01:39.800 --> 00:01:42.320]  我們在基督裏面長進
[00:01:42.320 --> 00:01:44.720]  在信仰裏面的生活
[00:01:44.720 --> 00:01:46.520]  其實是一種選擇
[00:01:46.520 --> 00:01:48.520]  你選擇走甚麼路
[00:01:48.520 --> 00:01:50.520]  你選擇怎樣做決定
[00:01:50.520 --> 00:01:53.520]  你選擇怎樣跟隨神
[00:01:53.520 --> 00:01:56.280]  有一個公司的大老闆
[00:01:56.280 --> 00:02:00.160]  他死後被送到天堂
[00:02:00.160 --> 00:02:03.400]  開門的天使找不到他的紀錄
[00:02:03.400 --> 00:02:06.840]  因為很少老闆上天堂
[00:02:06.840 --> 00:02:15.360]  所以這個天使找不到紀錄的時候
[00:02:15.360 --> 00:02:19.080]  他就問這個老闆現在給你一個抉擇
[00:02:19.080 --> 00:02:21.920]  究竟你想留在天堂還是去地獄呢
[00:02:21.920 --> 00:02:24.320]  不過都給你試一下
[00:02:24.320 --> 00:02:26.960]  在天堂24小時在地獄24小時
[00:02:26.960 --> 00:02:28.800]  然後你做一個決定
[00:02:28.800 --> 00:02:32.600]  這個老闆首先被送到地獄裏面
[00:02:32.600 --> 00:02:35.560]  地獄正在開聖誕派對
[00:02:35.560 --> 00:02:38.760]  所以他以前的同事朋友都在那裏
[00:02:38.760 --> 00:02:40.760]  大家瘋狂慶祝
[00:02:40.760 --> 00:02:44.040]  很多很美好的食物
[00:02:44.040 --> 00:02:46.200]  美酒佳餚
[00:02:46.200 --> 00:02:48.560]  還有美女陪伴
[00:02:48.560 --> 00:02:52.440]  24小時他的朋友跟他說道別
[00:02:52.440 --> 00:02:55.160]  希望很快見到你
[00:02:55.160 --> 00:02:58.000]  接著他就上到天堂
[00:02:58.000 --> 00:03:01.040]  在那裏24小時很寧靜
[00:03:01.040 --> 00:03:02.440]  很平安
[00:03:02.440 --> 00:03:03.520]  很舒服
[00:03:03.520 --> 00:03:04.880]  很美麗
[00:03:04.880 --> 00:03:07.760]  舒舒服服過了24小時
[00:03:07.760 --> 00:03:09.760]  到選擇的時間
[00:03:09.760 --> 00:03:12.720]  天使問你選擇去天堂還是去地獄
[00:03:12.720 --> 00:03:16.560]  這個老闆對天使說
[00:03:16.560 --> 00:03:19.040]  他說天堂固然好
[00:03:19.040 --> 00:03:22.920]  但是地獄更加令我刺激興奮
[00:03:22.920 --> 00:03:26.240]  所以他就選擇去地獄
[00:03:26.240 --> 00:03:31.480]  誰知當他被送到地獄門打開的時候
[00:03:31.480 --> 00:03:33.120]  他大吃一驚
[00:03:33.120 --> 00:03:36.160]  因為他眼前看到的東西
[00:03:36.160 --> 00:03:38.800]  跟他24小時之前看的不同
[00:03:38.800 --> 00:03:41.760]  竟然一片荒涼
[00:03:41.760 --> 00:03:45.680]  他的朋友竟然上刀山下油鍋
[00:03:45.680 --> 00:03:48.640]  他就問守護地獄的人
[00:03:48.640 --> 00:03:50.440]  為何突然變成這樣
[00:03:50.440 --> 00:03:53.880]  上一次我來到的時候不是這樣的
[00:03:53.880 --> 00:03:58.160]  守護地獄的門對他說了一句很重要的話
[00:03:58.160 --> 00:03:59.640]  上一次來
[00:03:59.640 --> 00:04:01.080]  你是面試
[00:04:01.080 --> 00:04:05.720]  你現在是正式在這裏住的人
[00:04:05.720 --> 00:04:08.520]  所以是不同的
[00:04:08.520 --> 00:04:11.840]  所以弟兄姊妹,你現在是正式在面試
