
[00:00:00.000 --> 00:00:03.000]  我們一起低頭同心祈禱
[00:00:03.000 --> 00:00:05.000]  親愛的天父,多謝你
[00:00:05.000 --> 00:00:07.000]  撐起耶穌來到這個世界
[00:00:07.000 --> 00:00:10.000]  多謝耶穌來到這個世界
[00:00:10.000 --> 00:00:13.000]  你藉著十字架拯救我們這班罪人
[00:00:13.000 --> 00:00:15.000]  離開死亡
[00:00:15.000 --> 00:00:18.000]  得著你給我們新的生命
[00:00:18.000 --> 00:00:21.000]  多謝聖靈更生我們
[00:00:21.000 --> 00:00:27.000]  以致我們能夠將上帝的恩典來反映
[00:00:27.000 --> 00:00:30.000]  讓你的說話深藏我們心裡
[00:00:30.000 --> 00:00:32.000]  讓我們低頭敬拜你
[00:00:32.000 --> 00:00:36.000]  我們這樣禱告奉耶穌聖名祈禱,阿們
[00:00:36.000 --> 00:00:39.000]  在聖誕節的時間
[00:00:39.000 --> 00:00:44.000]  究竟為什麼耶穌要來到這個世界
[00:00:44.000 --> 00:00:50.000]  為什麼對我們來說這麼重要
[00:00:50.000 --> 00:00:53.000]  究竟他帶來什麼影響呢
[00:00:53.000 --> 00:00:58.000]  剛才我們在敬拜的時候
[00:00:58.000 --> 00:01:00.000]  讀到一節經文
[00:01:00.000 --> 00:01:03.000]  他說:耶穌鍍成了肉身
[00:01:03.000 --> 00:01:05.000]  鑄在我們中間
[00:01:05.000 --> 00:01:10.000]  充充滿滿的有恩典和真理
[00:01:10.000 --> 00:01:14.000]  耶穌就是恩典和真理
[00:01:14.000 --> 00:01:16.000]  如果一個世界沒有了耶穌
[00:01:16.000 --> 00:01:18.000]  這個世界會是怎樣
[00:01:18.000 --> 00:01:21.000]  如果一個世界沒有了恩典
[00:01:21.000 --> 00:01:24.000]  這個世界又會變成一個怎樣的世界
[00:01:24.000 --> 00:01:28.000]  我記得我看過一本書
[00:01:28.000 --> 00:01:31.000]  叫做《恩典多奇異》
[00:01:31.000 --> 00:01:34.000]  《恩典多奇異》這本書說到
[00:01:34.000 --> 00:01:36.000]  恩典為什麼這麼重要
[00:01:36.000 --> 00:01:41.000]  其中記載一個四代之間的關係
[00:01:41.000 --> 00:01:43.000]  一個沒有恩典的人生
[00:01:43.000 --> 00:01:46.000]  一個沒有恩典的世界
[00:01:46.000 --> 00:01:49.000]  是一個怎樣的處境
[00:01:49.000 --> 00:01:52.000]  這個沒有恩典的人生是怎樣呢
[00:01:52.000 --> 00:01:56.000]  這個故事的主人翁一個小菊
[00:01:56.000 --> 00:01:58.000]  他爸爸和他爸爸的關係
[00:01:58.000 --> 00:01:59.000]  他和他女兒的關係
[00:01:59.000 --> 00:02:01.000]  他女兒和他兒子的關係
[00:02:01.000 --> 00:02:03.000]  他兒子和他太太的關係
[00:02:03.000 --> 00:02:05.000]  在這個關係裡面
[00:02:05.000 --> 00:02:09.000]  反映一個沒有恩典的世界是怎樣
[00:02:09.000 --> 00:02:12.000]  這個小菊他爸爸是一個走鬼
[00:02:12.000 --> 00:02:17.000]  他爸爸是一個在家庭有暴力傾向
[00:02:17.000 --> 00:02:21.000]  他們小時候經常拳打腳踢
[00:02:21.000 --> 00:02:24.000]  甚至把他老婆趕走
[00:02:24.000 --> 00:02:30.000]  所以小菊很小就很憎恨他爸爸
[00:02:30.000 --> 00:02:32.000]  他爸爸突然走了
[00:02:32.000 --> 00:02:35.000]  走了很多年突然回來家裡
