
[00:00:00.000 --> 00:00:08.400]  今天當你來到教會的時候,你發現整個教會的停車場都在修護當中,進出非常不方便。
[00:00:08.400 --> 00:00:14.600]  一方面,真的是要請弟兄姐妹在施工期間多多包容,Amen?
[00:00:14.600 --> 00:00:22.700]  另一方面,我們更加期盼在Shekinah Glory聖殿的工程完畢之後,
[00:00:22.700 --> 00:00:28.600]  神能夠藉著我們Shekinah Glory聖殿來彰顯祂自己的榮美,Amen?
[00:00:28.600 --> 00:00:35.100]  我就想到多少時候在我們人生活的道路中,不常常也是這樣嗎?
[00:00:35.100 --> 00:00:40.800]  常常我們的眼睛會看見眼前、目前的光景。
[00:00:40.800 --> 00:00:45.100]  當我們眼睛只看見現在的光景的時候,
[00:00:45.100 --> 00:00:50.400]  我們常常會落入到灰心、埋怨跟失望當中。
[00:00:50.400 --> 00:00:56.400]  因為我們常常看不見前景,也看不見出路,看不見盼望。
[00:00:56.400 --> 00:01:05.000]  但對基督徒來講,弟兄姐,我們的明天並不是被今天的環境所定奪的。
[00:01:05.000 --> 00:01:08.900]  我們的明天是在神的手中,Amen?
[00:01:08.900 --> 00:01:12.900]  跟媽媽說,我們明天在神的手中。
[00:01:12.900 --> 00:01:17.100]  這個世界雖然可以奪去我們所擁有的,
[00:01:17.100 --> 00:01:20.900]  但只要有神,我們就有明天。
[00:01:20.900 --> 00:01:24.900]  只要有神,我們永遠有盼望,Amen?
[00:01:24.900 --> 00:01:28.900]  這就是為什麼神在以希節書37章裡面,
[00:01:28.900 --> 00:01:36.900]  當神讓以希節看見在平原上有骸骨這樣一個絕望的景象當中,
[00:01:36.900 --> 00:01:43.900]  神卻吩咐以希節說,你要起來向你的未來發預言,
[00:01:43.900 --> 00:01:48.400]  好叫這些枯骨能夠復活起來,
[00:01:48.400 --> 00:01:52.400]  而且為神成為一支極大的軍隊。
[00:01:52.400 --> 00:01:56.900]  同樣我就想到今天無論我們所面對的環境是如何,
[00:01:56.900 --> 00:02:01.400]  我們也可以向我們的未來發出預言來。
[00:02:01.400 --> 00:02:04.900]  你說我們怎麼向未來發預言呢?
[00:02:04.900 --> 00:02:09.400]  不是按照我們的心意隨便發預言,不是。
[00:02:09.400 --> 00:02:14.400]  我們要向未來發預言,必須按照神的應許,
[00:02:14.400 --> 00:02:20.400]  按照神所說他要做的事情,我們來發預言。
[00:02:20.400 --> 00:02:24.900]  只有當我們按照神的應許來發預言的時候,
[00:02:24.900 --> 00:02:29.400]  神所應許的他必定成就,Amen?
[00:02:29.400 --> 00:02:34.400]  那什麼是神所應許要成就的事呢?
[00:02:34.400 --> 00:02:37.400]  首先我們看見在剛才所讀的這段經文當中,
[00:02:37.400 --> 00:02:42.900]  十一節這裡很清楚的指出這些骸骨是指的誰呀?
[00:02:42.900 --> 00:02:47.400]  這些骸骨其實是指的以色列全家。
[00:02:47.400 --> 00:02:53.900]  換句話說這一段經文是針對神的百姓而說的,
[00:02:53.900 --> 00:02:57.400]  換句話說是針對我們而說的。
[00:02:57.400 --> 00:03:00.400]  從十二節到十四節當中,
[00:03:00.400 --> 00:03:06.400]  我們看見神應許在他的百姓身上要做三件事情。
[00:03:06.400 --> 00:03:10.900]  第一件事情,神要在絕路中為我們開路。
[00:03:10.900 --> 00:03:15.900]  各位同學說,來,神要在絕路中為我們開路。
[00:03:15.900 --> 00:03:18.400]  我們看見在十二節怎麼說呢?
[00:03:18.400 --> 00:03:24.900]  在十二節神很清楚的說,我要打開你們的墳墓。
[00:03:24.900 --> 00:03:26.900]  什麼是墳墓?
[00:03:26.900 --> 00:03:30.400]  墳墓就是一個不可能的環境。
[00:03:30.400 --> 00:03:33.400]  人死了,什麼都不能做。
[00:03:33.400 --> 00:03:35.400]  什麼是墳墓?
