
[00:00:00.000 --> 00:00:04.840]  當我來到禱告有什麼訊息和你分享的時候
[00:00:04.840 --> 00:00:09.980]  我特別和大家分享一個題目、一個訊息
[00:00:09.980 --> 00:00:14.340]  就是教會怎樣能夠在黑暗裏面成為光
[00:00:14.340 --> 00:00:16.560]  你看到有個燈台
[00:00:16.560 --> 00:00:20.800]  其實聖經裏面耶穌說我們是這個世界的燈
[00:00:20.800 --> 00:00:22.420]  是這個世界的光
[00:00:22.420 --> 00:00:24.160]  要照亮黑暗的地方
[00:00:24.160 --> 00:00:27.860]  我們知道為什麼我們教會存在的目的
[00:00:27.860 --> 00:00:32.040]  除了我們很開心我們可以一齊回到去敬拜
[00:00:32.040 --> 00:00:34.700]  去有團契、有交通的時間
[00:00:34.700 --> 00:00:39.800]  但其實教會最重要的責任或者我們的功能是什麼呢
[00:00:39.800 --> 00:00:42.300]  就是要在這個世界上成為光
[00:00:42.300 --> 00:00:43.440]  大家同不同意
[00:00:43.440 --> 00:00:46.940]  雖然我們看這個世界似乎越來越黑暗
[00:00:46.940 --> 00:00:48.580]  似乎越來越多問題
[00:00:48.580 --> 00:00:51.880]  但是聖經神卻提醒我們
[00:00:51.880 --> 00:00:54.800]  教會要在黑暗裏面作光
[00:00:54.800 --> 00:00:59.200]  我相信根據聖經的預言
[00:00:59.200 --> 00:01:04.180]  雖然耶穌回來之前會越來越多問題、越來越多艱難
[00:01:04.180 --> 00:01:07.840]  但是同時間教會都會越來越復興
[00:01:07.840 --> 00:01:12.060]  都會越來越多人在教會裏面真的找到神的愛
[00:01:12.060 --> 00:01:13.880]  找到真理、找到生命
[00:01:13.880 --> 00:01:20.580]  所以今天我也會特別從一個書信來分享
[00:01:20.580 --> 00:01:26.680]  大家都知道《新約聖經》除了四福音、《使徒行傳》等等
[00:01:26.680 --> 00:01:28.900]  很多都是書信來的
[00:01:28.900 --> 00:01:31.620]  其中誰寫得最多書信?
[00:01:31.620 --> 00:01:32.560]  就是保羅
[00:01:32.560 --> 00:01:33.900]  除了保羅之外
[00:01:33.900 --> 00:01:41.320]  當然我們都知道有亞各、約翰、彼得、猶大等等
[00:01:41.320 --> 00:01:42.720]  他們都有寫書信
[00:01:42.720 --> 00:01:47.460]  但是原來其實耶穌都有寫信的
[00:01:47.460 --> 00:01:51.600]  那耶穌的信是記載在哪一本書呢?
[00:01:51.600 --> 00:01:54.880]  有些如果有看過的就是在《啟示錄》
[00:01:54.880 --> 00:02:01.160]  不知道誰有讀過《啟示錄》的舉手看看
[00:02:01.160 --> 00:02:03.960]  誰明白《啟示錄》說什麼的舉手看看
[00:02:03.960 --> 00:02:05.000]  沒有人敢舉手了
[00:02:05.000 --> 00:02:08.280]  馬上明白了 厲害啊
[00:02:08.280 --> 00:02:11.640]  其實《啟示錄》好像很難明白
[00:02:11.640 --> 00:02:13.880]  但是其實又不是真的那麼難明白
[00:02:13.880 --> 00:02:17.960]  簡單地說我們要知道《啟示錄》寫的對象是什麼
[00:02:17.960 --> 00:02:19.440]  是寫給教會的
[00:02:19.440 --> 00:02:20.140]  為什麼呢?
[00:02:20.140 --> 00:02:23.480]  一開始《啟示錄》已經說明了要給教會
[00:02:23.480 --> 00:02:25.960]  特別是一開始第二、第三章
[00:02:25.960 --> 00:02:30.400]  已經有七封信給當時的七間教會
[00:02:30.400 --> 00:02:34.000]  其實《啟示錄》從一個宏觀的角度看
[00:02:34.000 --> 00:02:35.080]  不是那麼難明白
[00:02:35.080 --> 00:02:37.320]  簡單地說就是耶穌得勝
[00:02:37.320 --> 00:02:38.400]  魔鬼被打敗
[00:02:38.400 --> 00:02:38.880]  說完了
[00:02:38.880 --> 00:02:39.480]  是不是?
[00:02:39.480 --> 00:02:40.320]  就是這樣
[00:02:40.320 --> 00:02:41.440]  然後耶穌會回來
