
[00:00:00.000 --> 00:00:05.560]  最近在微信的網絡看到一篇文章
[00:00:05.560 --> 00:00:08.560]  文章的題目是
[00:00:08.560 --> 00:00:15.960]  「神啊,別讓我成為你的敵人」
[00:00:15.960 --> 00:00:18.360]  為何會看這篇文章呢?
[00:00:18.360 --> 00:00:20.840]  其實微信有很多文章
[00:00:20.840 --> 00:00:24.000]  這篇文章的名字是我認識的人
[00:00:24.000 --> 00:00:26.000]  是一位國內的弟兄
[00:00:26.000 --> 00:00:33.400]  文章的內容是關於一位九歲的女兒患重病
[00:00:33.400 --> 00:00:35.000]  患上癌症
[00:00:35.000 --> 00:00:36.800]  當然已經有一段時間了
[00:00:36.800 --> 00:00:39.000]  我相信這篇文章不是第一篇
[00:00:39.000 --> 00:00:41.200]  可能是最近的一篇
[00:00:41.200 --> 00:00:45.520]  寫到病情越來越嚴重
[00:00:45.520 --> 00:00:48.800]  當然他一直祈禱,希望神醫治他
[00:00:48.800 --> 00:00:53.000]  我相信他可能還未得到盼望
[00:00:53.000 --> 00:00:56.600]  所以這篇文章裏面有些怨言
[00:00:56.600 --> 00:01:00.800]  裏面有一些對神的信仰
[00:01:00.800 --> 00:01:08.400]  「如果你不讓我女兒健健康康離開醫院」
[00:01:08.400 --> 00:01:11.600]  「我就不會放過你了」
[00:01:11.600 --> 00:01:14.000]  這種心情我都體會到
[00:01:14.000 --> 00:01:17.600]  作為一個父親,他很不捨得女兒
[00:01:17.600 --> 00:01:19.800]  但是他又知道他有一個信仰
[00:01:19.800 --> 00:01:22.400]  他很期望神有這能力幫助他
[00:01:22.400 --> 00:01:26.600]  但實際上好像沒有任何跡象
[00:01:26.600 --> 00:01:28.200]  所以他就寫了這篇文章
[00:01:28.200 --> 00:01:34.200]  這篇文章本來都是一般的抒發他的情感
[00:01:34.200 --> 00:01:39.200]  但原來這篇文章的點擊率有幾十萬
[00:01:39.200 --> 00:01:42.600]  在國內很快會有人看到,在微信裏面
[00:01:42.600 --> 00:01:45.400]  很多人在裏面寫了回應
[00:01:45.400 --> 00:01:50.200]  很多人是基督徒,在不同的角度回應
[00:01:50.200 --> 00:01:57.400]  讓我感覺到,這個人好像《道藥聖經》的約伯
[00:01:57.400 --> 00:02:01.200]  遇到苦難,很多人就向他解釋苦難是怎樣來的
[00:02:01.200 --> 00:02:02.800]  解釋怎樣的情況
[00:02:02.800 --> 00:02:05.200]  有些人說「你怎能這樣說神的」
[00:02:05.200 --> 00:02:06.600]  「怎能成為神的敵人」
[00:02:06.600 --> 00:02:10.400]  甚至說「將來我都不進天堂裏面了」等等的說話
[00:02:10.400 --> 00:02:12.400]  這些人就很同情他
[00:02:12.400 --> 00:02:16.800]  覺得他都是一時心裏有種焦急等等
[00:02:16.800 --> 00:02:19.200]  所以就有很大的回響
[00:02:19.200 --> 00:02:21.600]  所以我看到這篇文章都是因為人的回響
[00:02:21.600 --> 00:02:25.600]  我才慢慢追溯到這篇文章是這位弟兄所寫
[00:02:25.600 --> 00:02:27.000]  然後認識他
[00:02:27.000 --> 00:02:30.000]  今天讀的詩篇73篇
[00:02:30.000 --> 00:02:33.400]  都有一些類似的感受在裏面
[00:02:33.400 --> 00:02:36.600]  詩人是有這樣的情況
[00:02:36.600 --> 00:02:39.800]  詩篇裏面講的是一個亞薩的詩
[00:02:39.800 --> 00:02:44.600]  我們不是特別考究亞薩是否真是他本身
[00:02:44.600 --> 00:02:51.600]  因為亞薩本身在神的聖職人員裏面是負責音樂的
[00:02:51.600 --> 00:02:53.600]  可能是一個群體
[00:02:53.600 --> 00:02:56.200]  可能他們收集很多的詩章
[00:02:56.200 --> 00:02:59.000]  裏面有一篇這樣的詩篇
[00:02:59.000 --> 00:03:07.200]  這個詩篇裏面一開始是一個很正統的宣告
[00:03:07.200 --> 00:03:08.400]  第一節是甚麼呢
[00:03:08.400 --> 00:03:14.000]  「神實在因待以色列那些清心的人」
[00:03:14.000 --> 00:03:16.600]  這句話是完全很正統的信仰
[00:03:16.600 --> 00:03:19.000]  神是因待以色列人
[00:03:19.000 --> 00:03:22.200]  因待一些清心的以色列人
[00:03:22.200 --> 00:03:24.600]  如果你記得在八福裏面
[00:03:24.600 --> 00:03:30.600]  耶穌基督講「清心的人有福了,他們必得見神」
[00:03:30.600 --> 00:03:33.200]  清心的人是會見到神的
[00:03:33.200 --> 00:03:39.200]  所以這是一個很重要的宣告
[00:03:39.200 --> 00:03:41.800]  這也是我們常常對信仰裏面的提醒
[00:03:41.800 --> 00:03:45.800]  我們是「不見一人,只見耶穌」
[00:03:45.800 --> 00:03:48.600]  我們是專心仰望我們的神
[00:03:48.600 --> 00:03:51.600]  或者在約伯也好
[00:03:51.600 --> 00:03:54.600]  我們知道是「因順得生」
[00:03:54.600 --> 00:04:00.000]  或者我們知道我們的救贖主是活著的等等
[00:04:00.000 --> 00:04:03.800]  你不要想太多,你要去仰望我們的神
[00:04:03.800 --> 00:04:08.400]  這個詩人就是這樣開始這樣的宣告
[00:04:08.400 --> 00:04:14.200]  但是他的宣告其實對自己也是一個諷刺
[00:04:14.200 --> 00:04:17.200]  他的宣告開始了第一句之後
[00:04:17.200 --> 00:04:19.400]  第二節他接著說
[00:04:19.400 --> 00:04:24.000]  「至於我,我的腳幾乎閃失
[00:04:24.000 --> 00:04:26.200]  我的步伐險些走偏」
[00:04:26.200 --> 00:04:28.600]  這是本修定版所講
[00:04:28.600 --> 00:04:30.000]  馬上說「我自己」
[00:04:30.000 --> 00:04:36.000]  「我不是這樣,不過我現在也站不穩」
[00:04:36.000 --> 00:04:41.400]  「我的信仰的情況也是危危乎」
[00:04:41.400 --> 00:04:48.000]  如果用這首詩篇整體去看
[00:04:48.000 --> 00:04:49.400]  似乎從第一節開始
[00:04:49.400 --> 00:04:52.800]  一個正統的信仰我們提了出來
[00:04:52.800 --> 00:04:54.600]  但是慢慢這個詩人所講的
[00:04:54.600 --> 00:04:57.200]  反而是偏離了一個正統的信仰
[00:04:57.200 --> 00:05:00.800]  偏離了在信仰裏面
[00:05:00.800 --> 00:05:06.000]  這種稍為應該是古老的
[00:05:06.000 --> 00:05:07.400]  屬靈的方法
[00:05:07.400 --> 00:05:09.800]  或者這樣去跟隨神的方法
[00:05:09.800 --> 00:05:11.000]  他自己也偏離了
[00:05:11.000 --> 00:05:14.000]  慢慢偏離偏離偏離到一個地步
[00:05:14.000 --> 00:05:16.000]  好像迷失了方向
[00:05:16.000 --> 00:05:19.400]  甚至自己可能要去放棄
[00:05:19.400 --> 00:05:23.000]  但是最後當他這一刻要放棄的時候
[00:05:23.000 --> 00:05:27.200]  他又能夠去體會到一些東西
[00:05:27.200 --> 00:05:30.600]  當他的眼界有些轉變
[00:05:30.600 --> 00:05:33.600]  所以我的題目是「關轉眼界」
[00:05:33.600 --> 00:05:36.400]  從一個角度去再看的時候
[00:05:36.400 --> 00:05:38.000]  他有很大的轉變
[00:05:38.000 --> 00:05:45.600]  最後又回到正統傳統的信仰的理念裏面
[00:05:45.600 --> 00:05:49.000]  所以能夠有很美好的第二十五節出現
[00:05:49.000 --> 00:05:52.600]  「除你以外,在天上我有誰呢?」
[00:05:52.600 --> 00:05:56.600]  「除你以外,在地上我有沒有所愛無的?」
[00:05:56.600 --> 00:05:59.200]  這個我們很熟悉的經文,也很喜歡
[00:05:59.200 --> 00:06:02.800]  但原來情景不是那麼浪漫
[00:06:02.800 --> 00:06:06.400]  不像我們男女戀人拍拖
[00:06:06.400 --> 00:06:08.600]  「我們除你以外,我都看不到其他人了」
[00:06:08.600 --> 00:06:10.400]  「我很愛無你」
[00:06:10.400 --> 00:06:12.400]  經歷了很多的掙扎
[00:06:12.400 --> 00:06:14.600]  經歷了很多的不順
[00:06:14.600 --> 00:06:16.800]  經歷了很多的艱難
[00:06:16.800 --> 00:06:21.600]  真的再一次在信仰裏面站穩
[00:06:21.600 --> 00:06:26.200]  這就是整個詩篇的鋪排內容
[00:06:26.200 --> 00:06:31.000]  當然我再看回詩人為何會有這樣的情況
[00:06:31.000 --> 00:06:34.400]  為何會知道正統
[00:06:34.400 --> 00:06:40.000]  但為何不能夠持續呢?
[00:06:40.000 --> 00:06:44.800]  當然他開始說「我的腳幾乎是失閃」
[00:06:44.800 --> 00:06:46.200]  這個意思其實是
[00:06:46.200 --> 00:06:48.800]  「是呀,神你恩代清心的人」
[00:06:48.800 --> 00:06:50.800]  簡單來說,清心的人就是
[00:06:50.800 --> 00:06:56.400]  心靈裏面很專注的意思
[00:06:56.400 --> 00:06:59.000]  沒有其他雜念
[00:06:59.000 --> 00:07:03.000]  沒有其他忙其他的事物
[00:07:03.000 --> 00:07:04.600]  專心仰賴神
[00:07:04.600 --> 00:07:06.000]  所以這些人
