
[00:00:00.000 --> 00:00:02.440]  接著我們一起有個祈禱
[00:00:02.440 --> 00:00:05.660]  親愛的主,願意把我們聽的訊息
[00:00:05.660 --> 00:00:09.220]  交到你手裡,幫助我們明白
[00:00:09.220 --> 00:00:12.480]  或許我們都智慧有限,但求你讓我們
[00:00:12.480 --> 00:00:15.220]  能夠捉緊主祢給我們
[00:00:15.220 --> 00:00:18.200]  你的話語的應許,讓我們知道如何在地上
[00:00:18.200 --> 00:00:21.460]  活出一個真的生命,一個真的見證
[00:00:21.460 --> 00:00:24.000]  求主祢幫助我們,聽我們祈禱
[00:00:24.000 --> 00:00:27.220]  奉耶穌名字而求,阿們
[00:00:27.880 --> 00:00:30.740]  好,不知道你今天看這個題目的時候
[00:00:30.740 --> 00:00:32.040]  會不會想起這件事呢
[00:00:32.040 --> 00:00:35.560]  今天的題目是當歸給誰
[00:00:35.560 --> 00:00:37.600]  不知道你會不會馬上想起當歸
[00:00:37.600 --> 00:00:40.540]  就想起這個當歸呢,我自己也上網看一看
[00:00:40.540 --> 00:00:43.620]  原來當歸好像人心那樣
[00:00:43.620 --> 00:00:46.160]  一條條的形狀
[00:00:46.160 --> 00:00:49.300]  不過今天和大家思考的不是這個當歸
[00:00:49.300 --> 00:00:52.000]  當歸給誰呢,有些東西
[00:00:52.000 --> 00:00:54.560]  給哪一個好呢,我們有些東西
[00:00:54.560 --> 00:00:56.860]  給哪一個好呢,特別今天的題目裡面
[00:00:56.860 --> 00:00:59.800]  講什麼要給哪一個好呢
[00:00:59.800 --> 00:01:02.800]  就是講一些戰利品
[00:01:02.800 --> 00:01:05.820]  戰利品就是打仗裡面,我們所贏到
[00:01:05.820 --> 00:01:08.800]  所得到的東西,但為什麼會有
[00:01:08.800 --> 00:01:11.780]  這個戰利品呢,待會我們也會
[00:01:11.780 --> 00:01:14.820]  講解一下,但是我們先看一看
[00:01:14.820 --> 00:01:17.820]  今天我們讀的經文,其實不是很長
[00:01:17.820 --> 00:01:20.780]  幾節的經文,簡單來說
[00:01:20.780 --> 00:01:23.680]  我們會這樣去看流程,就會這樣
[00:01:23.680 --> 00:01:26.760]  今天的經文其實就是十七
[00:01:26.760 --> 00:01:29.740]  到二十四節,如果你留意這裡
[00:01:29.740 --> 00:01:33.100]  我的擺設,就是說第十七節就擺在左邊
[00:01:33.100 --> 00:01:36.100]  接著第十八節就擺在右邊
[00:01:36.100 --> 00:01:39.000]  接著下面再錄到第十九和二十節
