
[00:00:00.000 --> 00:00:03.280]  當你回到《撒姆爾記》的大圖畫時
[00:00:03.280 --> 00:00:07.080]  你發現大衛不單止上升
[00:00:07.080 --> 00:00:10.640]  他後來亦降落
[00:00:10.640 --> 00:00:13.160]  《撒姆爾記》不是一個平鋪直敘的書
[00:00:13.160 --> 00:00:14.600]  是一個迂迴曲折
[00:00:14.600 --> 00:00:16.840]  上升又墜落的書
[00:00:16.840 --> 00:00:19.480]  雖然大衛迴轉
[00:00:19.480 --> 00:00:22.040]  但我們開始知道
[00:00:22.040 --> 00:00:24.960]  真命天子是另有其人
[00:00:24.960 --> 00:00:29.960]  而這個真命天子是在書以外的其人
[00:00:30.640 --> 00:00:33.560]  是超越了《撒姆爾記》
[00:00:33.560 --> 00:00:37.240]  我想帶大家去看看這三個認許
[00:00:37.240 --> 00:00:39.680]  三個在《撒姆爾記》裏面
[00:00:39.680 --> 00:00:42.440]  撐著整本《撒姆爾記》的認許
[00:00:42.440 --> 00:00:47.000]  第一個認許是哈娜的禱告
[00:00:47.000 --> 00:00:48.280]  哈娜的詩歌禱告
[00:00:48.280 --> 00:00:51.320]  大家都記得哈娜是母子三個的結果
[00:00:51.320 --> 00:00:53.680]  求上帝 上帝給了她《撒姆爾記》
[00:00:53.680 --> 00:00:55.840]  於是哈娜開始祈禱
[00:00:55.840 --> 00:00:57.720]  但哈娜的祈禱很有趣
[00:00:57.720 --> 00:01:02.000]  她不是讚美她有個兒子撒姆爾那麼簡單
[00:01:02.000 --> 00:01:05.720]  她最後的祈禱是指向將來
[00:01:05.720 --> 00:01:08.200]  耶和華會通過撒姆爾
[00:01:08.200 --> 00:01:12.440]  為他們預備一個真正的君王
[00:01:12.440 --> 00:01:14.720]  我的心因耶和華快樂
[00:01:14.720 --> 00:01:16.720]  我因你的救恩
[00:01:16.720 --> 00:01:18.280]  歡欣耶和華
[00:01:18.280 --> 00:01:20.800]  將力量賜給所納的王
[00:01:20.800 --> 00:01:22.920]  高舉壽高的國
[00:01:22.920 --> 00:01:25.520]  無獨有偶很有意思的
[00:01:25.520 --> 00:01:27.000]  你去到撒姆爾記
[00:01:27.000 --> 00:01:28.520]  我們現在不是上帝了
[00:01:28.520 --> 00:01:32.200]  最後結局 近結局的時候
[00:01:32.200 --> 00:01:35.000]  第二十二章大衛的讚美詩歌
[00:01:35.000 --> 00:01:35.920]  大衛說什麼
[00:01:35.920 --> 00:01:38.440]  耶和華次極大的救恩
[00:01:38.440 --> 00:01:40.120]  給他所納的君王
[00:01:40.120 --> 00:01:42.640]  思慈愛給他的壽高者
[00:01:42.640 --> 00:01:44.920]  就是大衛和他的後裔
[00:01:44.920 --> 00:01:45.960]  直到永遠
[00:01:45.960 --> 00:01:47.280]  你看到那些字眼
[00:01:47.280 --> 00:01:48.200]  救恩
[00:01:48.200 --> 00:01:50.560]  所納的王
[00:01:50.560 --> 00:01:51.720]  壽高者
[00:01:51.720 --> 00:01:54.000]  重複再出現過
[00:01:55.480 --> 00:01:57.120]  大衛的讚美
[00:01:57.120 --> 00:01:59.400]  讚美上帝為他們預備一個
[00:01:59.400 --> 00:02:00.640]  所納的君王
[00:02:00.640 --> 00:02:01.880]  一個壽高者
[00:02:01.880 --> 00:02:03.760]  給他和他的後裔
[00:02:03.760 --> 00:02:05.200]  直到永遠
[00:02:05.200 --> 00:02:08.120]  如果他沒有直到永遠
[00:02:08.120 --> 00:02:09.480]  你可以覺得
[00:02:09.480 --> 00:02:10.960]  大衛就是真名天子
[00:02:10.960 --> 00:02:13.840]  但是他加了一句叫直到永遠
[00:02:13.840 --> 00:02:17.280]  帶我們回到撒姆爾記
