
[00:00:00.000 --> 00:00:02.680]  你見不見我今天穿得多紅
[00:00:02.680 --> 00:00:04.400]  聖誕節
[00:00:04.400 --> 00:00:07.280]  其實聖誕節是一個大家都很開心的日子
[00:00:07.280 --> 00:00:12.000]  而我對我來說一年最開心的日子就是聖誕節
[00:00:12.000 --> 00:00:14.000]  除了有禮物收之外
[00:00:14.000 --> 00:00:18.600]  就是可以去教會一起慶祝很開心
[00:00:18.600 --> 00:00:20.800]  但是其實很多年前
[00:00:20.800 --> 00:00:22.000]  我不是這樣的
[00:00:22.000 --> 00:00:24.280]  我是很不開心的有些聖誕節
[00:00:24.280 --> 00:00:27.880]  是過到躲起來哭的那種聖誕節
[00:00:27.880 --> 00:00:30.200]  今天想和大家分享一下
[00:00:30.200 --> 00:00:32.200]  什麼事發生在我身上
[00:00:32.200 --> 00:00:35.000]  其實我很小的時候就已經是一個基督徒了
[00:00:35.000 --> 00:00:36.800]  十多歲
[00:00:36.800 --> 00:00:40.200]  我一直都是一個認真的基督徒
[00:00:40.200 --> 00:00:41.600]  不是掛名的那些
[00:00:41.600 --> 00:00:47.600]  直到大家有沒有印象有六p半這件事呢
[00:00:47.600 --> 00:00:50.800]  咦 大家都差不多年紀了
[00:00:50.800 --> 00:00:51.800]  好
[00:00:51.800 --> 00:00:53.800]  立刻安樂很多
[00:00:53.800 --> 00:00:55.600]  唉
[00:00:55.600 --> 00:00:57.600]  在六p半的時候
[00:00:57.600 --> 00:01:02.600]  我有幸就進了這個商臺
[00:01:02.600 --> 00:01:04.600]  是六p半的一部分
[00:01:04.600 --> 00:01:06.600]  六p半的時候
[00:01:06.600 --> 00:01:10.600]  我想是DJ時間一個很旺盛的時間
[00:01:10.600 --> 00:01:12.600]  很多人都想做DJ
[00:01:12.600 --> 00:01:16.600]  很多人都會去聽針機那些時間
[00:01:16.600 --> 00:01:19.600]  我們也收到很多粉絲
[00:01:19.600 --> 00:01:24.600]  我們的粉絲很多時候都會送禮物
[00:01:24.600 --> 00:01:26.600]  寫信
[00:01:26.600 --> 00:01:28.600]  收到很多禮物
[00:01:28.600 --> 00:01:29.600]  有些小有些大
[00:01:29.600 --> 00:01:31.600]  最大的就是一個西瓜
[00:01:31.600 --> 00:01:36.600]  在熱的天時收到西瓜是很開心的
[00:01:36.600 --> 00:01:40.600]  有個粉絲寫了一封信給我
[00:01:40.600 --> 00:01:41.600]  他就這麼說
[00:01:41.600 --> 00:01:44.600]  他說曾奴多你真是幸福
[00:01:44.600 --> 00:01:46.600]  你又可以做DJ
[00:01:46.600 --> 00:01:49.600]  很多人都想做DJ
[00:01:49.600 --> 00:01:51.600]  你又可以錄歌
[00:01:51.600 --> 00:01:53.600]  你可以做歌星
[00:01:53.600 --> 00:01:56.600]  他說你最開心的是
[00:01:56.600 --> 00:01:58.600]  你可以結婚
[00:01:58.600 --> 00:02:00.600]  我承認的
