
[00:00:00.000 --> 00:00:07.000]  大概五年前,我的生命被《Cultivating Your Inner Life》
[00:00:07.000 --> 00:00:12.000]  大會將它翻譯成為《耕耘心靈土壤》
[00:00:12.000 --> 00:00:16.000]  這本書重新再次燃點起來
[00:00:16.000 --> 00:00:21.000]  當年,其實我仍然在我的服事崗位當中
[00:00:21.000 --> 00:00:24.000]  很努力來侍奉
[00:00:24.000 --> 00:00:29.000]  不過,我仍然感到在自己的生命當中
[00:00:29.000 --> 00:00:36.000]  特別在我的家庭當中,有很多不足的地方
[00:00:36.000 --> 00:00:42.000]  其實身邊的人,包括我的太太,我兩個兒子
[00:00:42.000 --> 00:00:47.000]  其實最清楚當時的狀況
[00:00:47.000 --> 00:00:52.000]  我就是被這本書提到
[00:00:52.000 --> 00:00:59.000]  生命需要深度,這件事深深吸引我
[00:00:59.000 --> 00:01:04.000]  其實一個生命很薄的信徒
[00:01:04.000 --> 00:01:09.000]  是有一些蛛絲馬跡的表徵
[00:01:09.000 --> 00:01:12.000]  是可以表現出來的
[00:01:12.000 --> 00:01:15.000]  分別有幾樣,列出來給你看
[00:01:15.000 --> 00:01:19.000]  第一,可能這個信徒
[00:01:19.000 --> 00:01:22.000]  其實他沒什麼動力
[00:01:22.000 --> 00:01:26.000]  不是很願意來參與侍奉
[00:01:26.000 --> 00:01:30.000]  就算他參與
[00:01:30.000 --> 00:01:34.000]  你會看到他的樣子很累
[00:01:34.000 --> 00:01:40.000]  在服事當中,有很多東西在顫抖
[00:01:40.000 --> 00:01:42.000]  當你和他聊天
[00:01:42.000 --> 00:01:46.000]  你感覺到那份沉重
[00:01:46.000 --> 00:01:51.000]  你不覺得這個人生命當中有喜樂
[00:01:51.000 --> 00:01:56.000]  第二,這一類的信徒
[00:01:56.000 --> 00:02:00.000]  他可能滿有熱情
[00:02:00.000 --> 00:02:03.000]  但是缺乏真知識
[00:02:03.000 --> 00:02:06.000]  上一次的講道,我講過了
[00:02:06.000 --> 00:02:10.000]  第三,這一類的信徒
[00:02:10.000 --> 00:02:19.000]  雖然和身邊的頂姐妹都保持一個平穩良好的關係
[00:02:19.000 --> 00:02:22.000]  但是你問真一點
[00:02:22.000 --> 00:02:26.000]  原來沒有心交
[00:02:26.000 --> 00:02:31.000]  第四,除了人際關係之外
[00:02:31.000 --> 00:02:35.000]  極有可能在生活當中
[00:02:35.000 --> 00:02:41.000]  其中一個範疇出現問題
[00:02:41.000 --> 00:02:46.000]  第五,通常這一類的信徒
[00:02:46.000 --> 00:02:48.000]  是很迷失的
[00:02:48.000 --> 00:02:51.000]  你可以繼續數下去
[00:02:51.000 --> 00:02:56.000]  我不知道剛才所提及的幾個表徵
[00:02:56.000 --> 00:03:05.000]  有哪一個或多於一個是講中了你呢?
[00:03:05.000 --> 00:03:08.000]  如果一個信徒的生命很薄
[00:03:08.000 --> 00:03:13.000]  自然會引申一些後果、結果出來
[00:03:13.000 --> 00:03:15.000]  我們來看看吧
[00:03:15.000 --> 00:03:24.000]  第一,可能他的內心像過山車一樣
[00:03:24.000 --> 00:03:26.000]  即是怎樣呢?
[00:03:26.000 --> 00:03:34.000]  當他遇到任何的外在衝擊或困難
[00:03:34.000 --> 00:03:40.000]  甚至身邊的人一句話就把他刺激得很厲害
[00:03:40.000 --> 00:03:44.000]  然後有很大的反應
[00:03:44.000 --> 00:03:49.000]  令他失去了內心的平安
