
[00:00:00.000 --> 00:00:02.960]  (主席)多謝施班,感謝主一首美麗的詩歌
[00:00:02.960 --> 00:00:08.300]  主說祂會差遣我們,然後我們會願意繼續去
[00:00:08.300 --> 00:00:12.660]  今天是猜拳的主日,所以我很想跟大家分享一節
[00:00:12.660 --> 00:00:17.540]  猜拳很重要或者甚至可能讀得最多的經文
[00:00:17.540 --> 00:00:20.400]  就是剛才我們所讀的聖經裏面
[00:00:20.400 --> 00:00:23.420]  《士徒行傳》的第一章第八節
[00:00:23.420 --> 00:00:26.060]  如果你有聖經的話,請你打開
[00:00:26.060 --> 00:00:33.700]  新約的士徒行傳的第一章,我們第六節至第十一節
[00:00:33.700 --> 00:00:36.960]  是今天我跟大家一起會思想的經文
[00:00:36.960 --> 00:00:43.920]  當我們讀到第八節的時候,我相信你和我都會很熟悉
[00:00:43.920 --> 00:00:48.480]  我們都很記得我們的主耶穌說
[00:00:48.480 --> 00:00:52.800]  但是聖靈降臨在我們身上的時候
[00:00:52.800 --> 00:00:56.800]  我們就必得著能力,並且要在耶路撒冷
[00:00:56.800 --> 00:01:02.400]  從大轉地、撒瑪利亞直到地極,做耶穌基督的見證
[00:01:02.400 --> 00:01:04.960]  是不是很熟悉這節聖經?沒錯
[00:01:04.960 --> 00:01:08.720]  這節聖經是我們猜拳的聚會裏面
[00:01:08.720 --> 00:01:13.160]  和這個信息當中時常引的一節聖經
[00:01:13.160 --> 00:01:16.000]  很多時候我們聽到這一節的聖經
[00:01:16.000 --> 00:01:19.880]  我們就會將重點放在地域的擴展
[00:01:19.880 --> 00:01:23.360]  沒有辦法,你不會留意到耶路撒冷
[00:01:23.360 --> 00:01:27.200]  由大傳地、撒瑪利亞直到地極
[00:01:27.200 --> 00:01:31.160]  所以我們今天一樣要去到遠方的時候
[00:01:31.160 --> 00:01:35.040]  都是我們的心願,越來越多的民族
[00:01:35.040 --> 00:01:37.360]  可以聽到神自己的福音
[00:01:37.360 --> 00:01:40.360]  這個是相信弟兄姊妹都很熟悉
[00:01:40.360 --> 00:01:44.280]  也都很支持,也都很深信的一段聖經
[00:01:44.280 --> 00:01:47.200]  不過今天我想用這一節聖經的時候
[00:01:47.200 --> 00:01:49.040]  不是再講這一節聖經
[00:01:49.040 --> 00:01:53.640]  我嘗試和大家從側面去看回這一節的聖經
[00:01:53.640 --> 00:01:56.640]  可能有些東西你沒有留意到
[00:01:56.640 --> 00:01:58.920]  在聖經裏面提醒我們的
[00:01:58.920 --> 00:02:01.040]  那怎麼側面呢?
[00:02:01.040 --> 00:02:04.200]  我們嘗試從這一句話
[00:02:04.200 --> 00:02:07.680]  主耶穌講這句話之前在講什麼
[00:02:07.680 --> 00:02:09.880]  和之後發生什麼
[00:02:09.880 --> 00:02:11.800]  來看回這一節好不好?
[00:02:11.800 --> 00:02:14.280]  我相信都是很大的幫助
