
[00:00:00.000 --> 00:00:03.520]  領召我們以禱告和應施班的獻唱
[00:00:03.520 --> 00:00:06.480]  以及預備我們心靈去領受主的道
[00:00:06.480 --> 00:00:11.280]  天父我們要對施班的獻唱說
[00:00:11.280 --> 00:00:15.600]  「阿門,感謝祢奇妙的恩典,永恆的大愛
[00:00:15.600 --> 00:00:17.600]  已經臨到我們身上
[00:00:17.600 --> 00:00:20.320]  祢的愛超過我們的想像
[00:00:20.320 --> 00:00:23.920]  亦向我們彰顯祢的榮耀
[00:00:23.920 --> 00:00:26.000]  我們知道當我們敬拜的時候
[00:00:26.000 --> 00:00:28.480]  天君天使都正在敬拜
[00:00:28.480 --> 00:00:31.680]  因為萬有都本來為祢而造
[00:00:31.680 --> 00:00:33.680]  亦都要苦乏在祢的面前
[00:00:33.680 --> 00:00:36.480]  我們一同在這個殿堂裡面聚集
[00:00:36.480 --> 00:00:38.000]  因為我們是祢的子民
[00:00:38.000 --> 00:00:39.680]  我們要聽祢的說話
[00:00:39.680 --> 00:00:41.280]  要進行祢的旨意
[00:00:41.280 --> 00:00:42.960]  求祢賜下祢的聖靈
[00:00:42.960 --> 00:00:44.400]  幫助我們明白
[00:00:44.400 --> 00:00:47.200]  又叫到我們內心有一份堅信
[00:00:47.200 --> 00:00:50.080]  勇敢去持守祢賜給我們的道
[00:00:50.080 --> 00:00:51.600]  禱告奉耶穌名給
[00:00:51.600 --> 00:00:52.720]  阿門
[00:00:52.720 --> 00:00:54.880]  我請大家翻開聖經的希伯來書
[00:00:54.880 --> 00:00:56.880]  我們剛才讀過聖經
[00:00:56.880 --> 00:01:00.880]  在唐永聖經1813頁
[00:01:00.880 --> 00:01:04.080]  我們看第二章的這部分經文
[00:01:04.080 --> 00:01:06.480]  我們在十月的第一個主日裡面
[00:01:06.480 --> 00:01:08.080]  看了第一章的經文
[00:01:08.080 --> 00:01:10.080]  其實開始的主題還未完的
[00:01:10.080 --> 00:01:13.280]  就是關於耶穌基督是超越天使
[00:01:13.280 --> 00:01:16.080]  比天使更榮美的主題
[00:01:16.080 --> 00:01:19.280]  剛才沒有讀到在二章的五到九節的地方
[00:01:19.280 --> 00:01:20.880]  但在我的分享裡面
[00:01:20.880 --> 00:01:25.680]  我都會跟大家簡略的講一講這部分的經文
[00:01:25.680 --> 00:01:29.280]  希伯來書第一二章處理關於
[00:01:29.280 --> 00:01:32.080]  耶穌基督比天使更超越的這個主題
[00:01:32.080 --> 00:01:34.480]  究竟有些什麼的重要性
[00:01:34.480 --> 00:01:38.480]  我們知道在聖經內外
[00:01:38.480 --> 00:01:41.680]  都有些不同的對天使的描述
[00:01:41.680 --> 00:01:44.880]  都給我們看到好像是一個很超然
[00:01:44.880 --> 00:01:48.880]  很有能力很有榮光的一個這樣的形象
[00:01:48.880 --> 00:01:50.480]  而在希臘哲學
[00:01:50.480 --> 00:01:52.080]  在西方的哲學思想裡面
[00:01:52.080 --> 00:01:54.880]  有一個其中一個的主流
[00:01:54.880 --> 00:02:00.480]  就是事有物質的軀體是次等的
[00:02:00.480 --> 00:02:02.080]  唯有完全的靈
[00:02:02.080 --> 00:02:05.280]  完全是一個靈體才是超然的
[00:02:05.280 --> 00:02:09.280]  所以在一個這樣的思想的影響下
[00:02:09.280 --> 00:02:11.280]  當時的信徒都可能會覺得
[00:02:11.280 --> 00:02:14.080]  為什麼耶穌基督會成為肉身
[00:02:14.080 --> 00:02:15.880]  成為肉身的耶穌
[00:02:15.880 --> 00:02:18.880]  豈不是比天使次等嗎?
[00:02:18.880 --> 00:02:22.080]  為什麼耶穌要受苦受羞辱
[00:02:22.080 --> 00:02:25.480]  看看天使多麼的榮耀
[00:02:25.480 --> 00:02:28.480]  這個問題跟他們自身的經歷
[00:02:28.480 --> 00:02:30.080]  是有密切的關係
[00:02:30.080 --> 00:02:33.480]  當信徒去持走他們的信仰
[00:02:33.480 --> 00:02:36.080]  去面對一個不順的世界的時候
[00:02:36.080 --> 00:02:39.480]  他們在當中會面對淪捨
[00:02:39.480 --> 00:02:42.480]  對他們的一些誤解、羞辱
[00:02:42.480 --> 00:02:44.480]  甚至一些的苦害
[00:02:44.480 --> 00:02:46.480]  所以耶穌基督受苦害
