
[00:00:00.000 --> 00:00:02.840]  如果問大家最熟悉
[00:00:02.840 --> 00:00:07.640]  我問大家最熟悉又可以背誦的四篇是哪一篇呢
[00:00:07.640 --> 00:00:15.360]  OK 第一篇還有十三篇
[00:00:15.360 --> 00:00:18.720]  大衛宣告 葉侯華是我的木子
[00:00:18.720 --> 00:00:21.160]  我必不會缺乏
[00:00:21.160 --> 00:00:26.080]  他使我躺臥在青草地上 寧我可安息的水邊
[00:00:26.080 --> 00:00:28.360]  這個是我很嚮往的
[00:00:28.360 --> 00:00:29.440]  特別現在
[00:00:29.840 --> 00:00:32.440]  不能去旅行的時候 我很嚮往
[00:00:32.440 --> 00:00:34.080]  青草地啊
[00:00:34.080 --> 00:00:38.560]  我已經盼望了三年去看那個油菜花田
[00:00:38.560 --> 00:00:39.760]  已經盼了三年
[00:00:39.760 --> 00:00:41.080]  還在盼著
[00:00:41.080 --> 00:00:45.920]  葉侯華是我的木子
[00:00:45.920 --> 00:00:48.040]  神使我們的保護
[00:00:48.040 --> 00:00:49.800]  給我們很多的安慰
[00:00:49.800 --> 00:00:52.840]  在教會裡面呢 我們有一個
[00:00:52.840 --> 00:00:54.480]  我們會
[00:00:54.480 --> 00:00:56.440]  叫我們做基督徒
[00:00:56.440 --> 00:00:58.080]  還有一個身份我們
[00:00:58.680 --> 00:01:00.600]  大家都會知道就是我們是
[00:01:00.600 --> 00:01:02.120]  主的羊
[00:01:02.120 --> 00:01:05.800]  耶穌是我們的牧者 我們是屬於祂的
[00:01:05.800 --> 00:01:07.600]  有時候我們唱詩歌也會唱
[00:01:07.600 --> 00:01:08.720]  我
[00:01:08.720 --> 00:01:09.800]  是主的羊
[00:01:09.800 --> 00:01:12.680]  OK
[00:01:12.680 --> 00:01:16.840]  現在呢 當時我們生活在2022年
[00:01:16.840 --> 00:01:21.440]  牧者跟羊的關係是到底是
[00:01:21.440 --> 00:01:24.360]  我怎麼去理解 怎麼去明白呢
[00:01:24.360 --> 00:01:26.920]  今天我會跟大家分享這
[00:01:26.920 --> 00:01:28.600]  約翰福音第十章
[00:01:28.880 --> 00:01:30.800]  主題是我是好牧人
[00:01:30.800 --> 00:01:33.920]  耶穌說我認識我的羊
[00:01:33.920 --> 00:01:36.160]  我的羊也認識我
[00:01:36.160 --> 00:01:39.760]  今天我們來一起來思想跟祂的關係
[00:01:39.760 --> 00:01:44.160]  為著我們一起來聆聽神的話 與我們再一次同心禱告
[00:01:44.160 --> 00:01:47.920]  主耶穌
[00:01:47.920 --> 00:01:50.280]  我們教會的主 我們生命的主
[00:01:50.280 --> 00:01:53.000]  我們感謝祢救贖我們
[00:01:53.000 --> 00:01:55.800]  原本我們都在救恩之外
[00:01:55.800 --> 00:01:57.560]  卻因著祢犧牲的愛
[00:01:58.040 --> 00:02:00.160]  祢親自預備 簡選
[00:02:00.160 --> 00:02:03.520]  護教我們 把我們生命翻轉
[00:02:03.520 --> 00:02:04.440]  能夠認識祢
[00:02:04.440 --> 00:02:06.880]  現在我們要聆聽祢的話
[00:02:06.880 --> 00:02:08.520]  思想祢的話語的時候
[00:02:08.520 --> 00:02:11.480]  聖靈啊求祢安靜我們每一顆的心
[00:02:11.480 --> 00:02:14.880]  也幫助在網絡上要
[00:02:14.880 --> 00:02:19.680]  看那個 錄播的朋友弟兄姊妹他們有專心
[00:02:19.680 --> 00:02:24.120]  聖靈啊求祢親自啟示祢自己讓我們認識祢
[00:02:24.120 --> 00:02:26.280]  幫助我們敞開心靈
[00:02:26.800 --> 00:02:28.920]  聽得明白祢的話語 我們同心禱告
[00:02:28.920 --> 00:02:30.280]  奉耶穌的名祈求
[00:02:30.280 --> 00:02:31.320]  Amen
[00:02:31.320 --> 00:02:36.280]  剛才忘記按著一個給大家看
[00:02:36.280 --> 00:02:40.240]  就是那個世邊23篇很美麗的圖畫
[00:02:40.240 --> 00:02:42.440]  我會畫畫也會畫這個
[00:02:42.440 --> 00:02:47.720]  很想畫那個青草地 那個漆水旁那個畫面
[00:02:47.720 --> 00:02:51.200]  真的很美麗 就是神跟我們的關係
[00:02:51.200 --> 00:02:53.000]  下面我會讀出
[00:02:53.000 --> 00:02:57.040]  今天我會看其實是十章一到十八節
[00:02:57.040 --> 00:02:59.120]  但是我會選讀不同的部分
[00:02:59.120 --> 00:03:02.840]  首先你們先聽我讀出
[00:03:02.840 --> 00:03:06.760]  第三節 開門的就給祂開門
[00:03:06.760 --> 00:03:08.600]  羊也聽祂的聲音
[00:03:08.600 --> 00:03:11.480]  祂按著名字叫自己的羊
[00:03:11.480 --> 00:03:14.600]  把羊鳴出來 祭奉出自己的羊來
[00:03:14.600 --> 00:03:16.480]  就在前頭走
[00:03:16.480 --> 00:03:18.040]  羊也跟著祂
[00:03:18.040 --> 00:03:20.360]  因為他們認得祂的聲音
[00:03:21.600 --> 00:03:23.400]  第九節 我就是門
[00:03:23.400 --> 00:03:26.920]  人若經過我而進來必得安全
[00:03:26.920 --> 00:03:30.000]  可以進來出去找到草藏
[00:03:30.000 --> 00:03:34.280]  這人來無非要偷要宰要毀壞
[00:03:34.280 --> 00:03:37.320]  我來了是要使他們的生命
[00:03:37.320 --> 00:03:39.520]  並且得到更奉上
[00:03:39.520 --> 00:03:42.720]  十一節 我是好牧人
[00:03:42.720 --> 00:03:45.240]  好牧人為羊捨棄生命
[00:03:45.240 --> 00:03:47.440]  十四節 我是好牧人
[00:03:47.440 --> 00:03:50.440]  我認識我的羊 我的羊也認識我
[00:03:51.040 --> 00:03:52.960]  正如佛認識我一樣
[00:03:52.960 --> 00:03:59.680]  我另外有羊 不是遮圓圈內的
[00:03:59.680 --> 00:04:01.200]  我必須領他們來
[00:04:01.200 --> 00:04:02.920]  他們也要聽我的聲音
[00:04:02.920 --> 00:04:06.560]  並且要合成一群 歸一個牧人
[00:04:06.560 --> 00:04:09.000]  我的羊聽我的聲音
[00:04:09.000 --> 00:04:11.560]  我也認識他們 他們也跟著我
[00:04:11.560 --> 00:04:13.880]  我有次給他們永生
[00:04:13.880 --> 00:04:18.080]  今天我會特別去講到
[00:04:19.200 --> 00:04:21.520]  好牧人跟我們的關係
[00:04:21.520 --> 00:04:27.600]  以色列民他們最初是以龍牧為生
[00:04:27.600 --> 00:04:29.280]  所以在耶穌的時代
[00:04:29.280 --> 00:04:34.240]  牧人跟羊比喻他們並不陌生的
[00:04:34.240 --> 00:04:37.200]  其實在舊約當中
[00:04:37.200 --> 00:04:41.080]  在以下亞書很多不同的書卷裡面
[00:04:41.080 --> 00:04:43.680]  以師節書四篇都有提到
[00:04:43.680 --> 00:04:47.720]  神跟祂的子民的關係
[00:04:47.880 --> 00:04:49.600]  以色列書四十章十節
[00:04:49.600 --> 00:04:53.400]  它說到祂必向牧人牧養自己的羊群
[00:04:53.400 --> 00:04:57.760]  用棒被罩具羊羔抱在懷中
[00:04:57.760 --> 00:05:01.160]  慢慢引到那育養小羊的
[00:05:01.160 --> 00:05:05.000]  有一個除了四篇二十三篇之外
[00:05:05.000 --> 00:05:08.120]  我很喜歡以師節書的另外一個
[00:05:08.120 --> 00:05:11.360]  關於牧人跟羊的關係
[00:05:11.360 --> 00:05:13.320]  其中一段我很喜歡就是
[00:05:13.320 --> 00:05:15.760]  我必親自捉我羊的牧人
[00:05:15.760 --> 00:05:18.120]  使他們得以躺臥
[00:05:18.120 --> 00:05:20.120]  失蹤的我必尋找
[00:05:20.120 --> 00:05:22.120]  被逐的我必領回
[00:05:22.120 --> 00:05:23.880]  受傷的我必懺悔
[00:05:23.880 --> 00:05:25.880]  有病的我必醫治
[00:05:25.880 --> 00:05:28.560]  我們的神我的牧人就是這樣
[00:05:28.560 --> 00:05:30.560]  去看顧保護我們
[00:05:30.560 --> 00:05:34.200]  在巴勒斯坦山區裡面
[00:05:34.200 --> 00:05:37.040]  常常都會有很多羊
[00:05:37.040 --> 00:05:41.560]  就是他們會在不同的地方山區裡面去吃草
[00:05:41.560 --> 00:05:44.520]  但是羊就是很溫馴的
[00:05:45.760 --> 00:05:47.920]  這些照片這幾副
[00:05:47.920 --> 00:05:48.720]  其他不是
[00:05:48.720 --> 00:05:51.040]  剛剛現在這幾副是我拍的
[00:05:51.040 --> 00:05:53.040]  我其實很喜歡羊
[00:05:53.040 --> 00:05:55.720]  可能我就覺得我是煮的羊的時候
[00:05:55.720 --> 00:05:57.640]  所以我去旅行的時候
[00:05:57.640 --> 00:05:59.880]  我會拍這些羊
[00:05:59.880 --> 00:06:03.480]  這個是我去青海湖的時候
[00:06:03.480 --> 00:06:06.160]  因為那個導遊他知道我很喜歡
[00:06:06.160 --> 00:06:07.840]  所以特意他要
[00:06:07.840 --> 00:06:08.720]  青海湖這上面
[00:06:08.720 --> 00:06:10.000]  它是山上面很多羊
[00:06:10.000 --> 00:06:11.120]  我就看這很小
[00:06:11.120 --> 00:06:14.520]  他就開車載我上去
[00:06:14.520 --> 00:06:16.200]  我為了要拍他們
[00:06:16.200 --> 00:06:17.600]  我就下車
